Class	Subsystem	Role	Reactions	Genes	AraCyc Cmpts	SUBA Cmpts	PPDB Cmpts	AraGEM Cmpts	Lit. Cmpts	Reference	Consensus location	Notes
Amino acids	Branched-chain amino acid metabolism	Dihydrolipoamide dehydrogenase of branched-chain alpha-keto acid dehydrogenase (EC 1.8.1.4)	rxn24412	AT3G17240	m	"d, m"	m			PMID:11598235	"d, m"	"SUBA: multiple MS data mito and 2 MS paltid; PPDB: curated and targetP mito; Predotar, mainly mito; WolfPsort:cyto: 5, mito: 5, chlo: 4; No signal peptide."
Amino acids	Branched-chain amino acid metabolism	Branched-chain amino acid aminotransferase (EC 2.6.1.42)	"rxn19240, rxn19241, rxn19242"	AT1G10070	d	"m, d"	m		d 	"PMID:12068099
"	"d, m"	SUBA: GFP mito and plastid; PPDB: targetP plastid; Plastid [PMID: 12068099] 
Amino acids	Branched-chain amino acid metabolism	Branched-chain amino acid aminotransferase (EC 2.6.1.42)	"rxn19240, rxn19241, rxn19242"	AT1G10060	m	m	m			PMID:15821880	m	"SUBA: GFP mitochondrion; PPDB: targetP mitochondrion; Predotar: 60 % mito; rest elsewhere; WolfPsort chlo: 12, mito: 2; No signal peptide."
Amino acids	Branched-chain amino acid metabolism	Dihydrolipoamide acyltransferase component of branched-chain alpha-keto acid dehydrogenase complex (EC 2.3.1.168)	rxn17464	AT3G06850	m	m	m			PMID:10681595 ; PMID:10933498	m	"SUBA: MS multiple data mito; PPDB: curation 3 data mito; targetP plastid; Predotar: mito; WolfPsort: chlo: 7, mito: 6; No signal peptide"
Amino acids	"Glutamine, glutamate, aspartate, asparagine metabolism"	Aconitate hydratase (EC 4.2.1.3)	"rxn00974, rxn15280"	AT2G05710		"c, d, m"	"c, m"			PMID:17013749	"c, d, m"	"SUBA: GFP mito and plastid; MS: mito, plastid  and cytosol; PPDB: curated locations mito and cytosol; "
Amino acids	"Glutamine, glutamate, aspartate, asparagine metabolism"	Aconitate hydratase (EC 4.2.1.3)	"rxn00974, rxn15280"	AT4G26970		"c, d, m"	m				"c, d, m"	"SUBA: GFP mito and plastid; MS: mito, plastid  and cytosol; PPDB: curated locations mito "
Amino acids	"Glutamine, glutamate, aspartate, asparagine metabolism"	Aconitate hydratase (EC 4.2.1.3)	"rxn00974, rxn15280"	AT4G35830		"c, m"	"c, m"				"c, m"	SUBA: GFP cytosol; MS: mito and cytosolic; Predotar and WolfPsort cytosolic; No signal peptide.
Amino acids	"Glutamine, glutamate, aspartate, asparagine metabolism"	Arginase (EC 3.5.3.1)	rxn00394	AT4G08870		"d, m"	m	c			"d, m"	SUBA: MS multiple data mito and plastid; PPDB: proteome and targetP mito
Amino acids	"Glutamine, glutamate, aspartate, asparagine metabolism"	Arginase (EC 3.5.3.1)	rxn00394	AT4G08900		"d, m"	m	c			"d, m"	SUBA: MS multiple data mito and plastid; PPDB: proteome and targetP mito
Amino acids	"Glutamine, glutamate, aspartate, asparagine metabolism"	Ferredoxin-dependent glutamate synthase (EC 1.4.7.1)	rxn19828	AT5G04140		"d, m"	d		"d, m"		"d, m"	SUBA: GFP platid and mito; MS data palstid; PPDB: in house experiments plastid; Predotar and WolfPsort plastid. Dual targeted Mitochondria and chloroplast [PMID:19223513]
Amino acids	"Glutamine, glutamate, aspartate, asparagine metabolism"	"Glutamine synthetase type II, eukaryotic (EC 6.3.1.2)"	rxn00187	AT5G35630	"d, m"	"d, m"	d	"c, d"	"d, m"	PMID:15273293	"d, m"	SUBA: GFP and MS mito and plastid; PPDB: targetP and in house experiments: plastid; [PMID:15215512];  Targeted to plastid and mito [PMID:15273293]
Amino acids	"Glutamine, glutamate, aspartate, asparagine metabolism"	Isocitrate dehydrogenase [NADP] (EC 1.1.1.42)	rxn15022	AT5G14590		d. m	m				"d, m"	SUBA: MS data mito and plastid; Curated: mito; TargetP predicted and experimental evidence plastid; 
Amino acids	"Glutamine, glutamate, aspartate, asparagine metabolism"	3-cyanoalanine hydratase (4.2.1.65)	rxn00937	AT5G22300		x	c				m	SUBAcon: peroxisome; PPDB: targetP cytosolic; Predotar elsewhere; WolfPsort unceratin with cytosol last option. Signal 3-L no signal peptide.
Amino acids	"Glutamine, glutamate, aspartate, asparagine metabolism"	Aspartate aminotransferase (EC 2.6.1.1) 	"rxn00260, rxn00527"	AT2G30970	m	m	m	"c, d, m"	m	PMID:9535706	m	"SUBA: GFP cytosolic (reference refers to peroxisome proteome though, so it is inconsistent; MS multiple data mitochondrial; Experimental data mitochondrial [PMID:7894512]; Predotar mitochondrial; Signal 3-L no signal peptide "
Amino acids	"Glutamine, glutamate, aspartate, asparagine metabolism"	Citrate synthase (si) (EC 2.3.3.1)	rxn19316	AT2G44350	m	m	m	"m, x"		PMID:24198232	m	SUBA: MS mito; PPDB: targetP and curated mito; 
Amino acids	"Glutamine, glutamate, aspartate, asparagine metabolism"	Citrate synthase (si) (EC 2.3.3.1)	rxn19316	AT3G60100		m	m	"m, x"		PMID:15923350	m	SUBA: MS mito; PPDB: curated mito
Amino acids	"Glutamine, glutamate, aspartate, asparagine metabolism"	Cyanoalanine nitrilase (EC 3.5.5.4) 	rxn00343	AT5G22300		x	c			PMID:11060302	m	"SUBAcon: peroxisome; PPDB: targetP cytosolic; Predotar elsewhere; WolfPsort unceratin with cytosol last option. Signal 3-L no signal peptide. Assumption: cyanoalanine might be somewhat unstable, so it would be better to process it fast into asp or asn instead of transporting it out of mito and then processing it."
Amino acids	"Glutamine, glutamate, aspartate, asparagine metabolism"	Delta-1-pyrroline-5-carboxylate dehydrogenase (EC 1.5.1.12)	rxn20649	AT5G62530	m	m	m		m	PMID:11532180	m	SUBA: MS data mito; PPDB: curated and targetP  mito ; Mitochondria [PMID:11532180]
Amino acids	"Glutamine, glutamate, aspartate, asparagine metabolism"	Isocitrate dehydrogenase [NAD] (EC 1.1.1.41)	rxn27955	AT3G09810	m	m	m	m	m		m	SUBA: MS multiple data mito; PPDB: targetP predicted mito; proteomes: mito; Mito [PMID:14671022]
Amino acids	"Glutamine, glutamate, aspartate, asparagine metabolism"	Isocitrate dehydrogenase [NAD] (EC 1.1.1.41)	rxn27955	AT5G03290	m	m	m	m	m		m	SUBA: GFP and MS mito; PPDB: Curated location and targetP mito. Mito [PMID:17137349] 
Amino acids	"Glutamine, glutamate, aspartate, asparagine metabolism"	L-3-cyanoalanine synthase (EC 4.4.1.9) 	rxn02516	AT3G61440		"d, m"	m			PMID:10889265	m	"SUBA: MS data mito and plastid; PPDB: curated mito. Predotar: mito; WolfPsort Mito and chloroplast; Assumption: cyanoalanine might be somewhat unstable, so it would be better to process it fast into asp or asn instead of transporting it out of mito and then processing it."
Amino acids	"Glutamine, glutamate, aspartate, asparagine metabolism"	Ornithine aminotransferase (EC 2.6.1.13) 	rxn20496	AT5G46180	m	m	m			PMID:18419821	m	SUBAcon: mito; PPDB: GFP mito
Amino acids	Methionine and cysteine metabolism	Cysteine synthase (EC 2.5.1.47)	rxn00649	AT2G43750	d	"d, m"	d	"c, d, m"	m	"PMID:22730323
"	"d, m"	"SUBA: GFP plastid  and MS plastid and mito; PPDB: targetP and in house experiments plastid; mitochondria [PMID:22730323];Predotar: plastid; WolfPsort:  chlo: 12, mito: 2; Does have signal peptide."
Amino acids	Methionine and cysteine metabolism	Cysteine synthase (EC 2.5.1.47)	rxn00649	AT3G59760	m	"d, m"	"d, m"	"c, d, m"		PMID:22511607	"d, m"	"SUBA: MS multiple results mito and plastid; PPDB: targetP plastid; curated location mito; Predotar: mito and elsewhere; WolfPsort: chlo: 9, mito: 5. Signal 3-L presence signal peptide."
Amino acids	Methionine and cysteine metabolism	Cysteine synthase (EC 2.5.1.47)	rxn00649	AT3G61440		"d, m"	"d, m"	"c, d, m"			"d, m"	SUBA: MS multiple results mito and plastid; PPDB: curated location mito and some experimental results point to stroma; 
Amino acids	Methionine and cysteine metabolism	Serine acetyltransferase (EC 2.3.1.30)	rxn00423	AT3G13110	m	m	m	"c, d"		PMID:18753283	m	SUBA: GFP and MS mito; PPDB: curated location mito; Predotar: mito; WolfPsort chloroplast and mito
Amino acids	Proline metabolism	Arginase (EC 3.5.3.1)	rxn00394	AT4G08870		"d, m"	m	c		PMID:22188168	"d, m"	SUBA: MS multiple data mito and plastid; PPDB: proteome and targetP mito
Amino acids	Proline metabolism	Arginase (EC 3.5.3.1)	rxn00394	AT4G08900		"d, m"	m	c		PMID:7770544	"d, m"	SUBA: MS multiple data mito and plastid; PPDB: proteome and targetP mito
Amino acids	Proline metabolism	Ornithine aminotransferase (EC 2.6.1.13)	rxn20496	AT5G46180	m	m	m		m	PMID:18419821	m	"SUBAcon: mitochondria; PPDB: curated location by GFP [PMID:
    18419821] and targetP  mito;"
Amino acids	Tryptophan metabolism	Tryptophan synthase beta chain (EC 4.2.1.20)	rxn26013	AT5G28237		"c, m"	m				"c, m"	SUBA: 1 MS result plasma membrane; SUBAcon mito; But TMHMM not membrane clasified; PPDB: targetP mito; Predotar: elsewhere and mito; WolfPsort plastid and mito; No signal peptide
Amino acids	Tyrosine and phenylalanine metabolism	Aspartate aminotransferase (EC 2.6.1.1)	"rxn00260, rxn00527"	AT2G30970	m	"c, m"	m	"c, d, m"			m	SUBA: MS mito multiple data; GFP cytosol
Nucleic acids	Pyrimidine de novo biosynthesis	Thioredoxin reductase (EC 1.8.1.9)	rxn27318	AT2G17420 		x	m		"c, m"	 	"c, m"	"SUBA: MS one result each: cytosol, extracellular and peroxisome; mitochondrial NADPH dependent [PMID:11717467]. Predotar and WolfPsort: mito. Does have signal peptide. Major form present in cytosol [PMID:11717467]"
Nucleic acids	Pyrimidine de novo biosynthesis	Thioredoxin reductase (EC 1.8.1.9)	rxn27318	AT4G35460   		m	"c, m"		"c, m"	 	"c, m"	SUBA: MS 1 cytosol and 2 mito; Cytosolic NADPH dependent [PMID:11717467]; PPDB:  Dual targeted cytosolic and mito [PMID:15642341] but targetP predicted chloroplast; Predotar: mito and elsewhere; WolfPsort: chloroplast; Does have signal peptide. Major form present in mito [PMID:11717467]
Nucleic acids	Purine de novo biosynthesis	Adenylate kinase (EC 2.7.4.3)	rxn00097	AT5G50370		m	m	"c, d"			"c, m"	SUBA: MS mito multiple data; PPDB: curated mito; targetP: cytosol; Predotar and WolfPsort cytosol; No signal peptide  
Nucleic acids	Purine de novo biosynthesis	Adenylate kinase (EC 2.7.4.3)	rxn00097	AT5G63400		m	m	"c, d"			"c, m"	SUBA: MS mito multiple data; PPDB: curated mito and not plastid in house experiments; targetP: cytosol; Predotar and WolfPsort cytosol; No signal peptide  
Nucleic acids	Purine de novo biosynthesis	Thioredoxin reductase (EC 1.8.1.9)	rxn27318	AT2G17420 		x	m		"c, m"	 	"c, m"	"SUBA: MS one result each: cytosol, extracellular and peroxisome; mitochondrial NADPH dependent [PMID:11717467]. Predotar and WolfPsort: mito. Does have signal peptide. Major form present in cytosol [PMID:11717467]"
Nucleic acids	Purine de novo biosynthesis	Thioredoxin reductase (EC 1.8.1.9)	rxn27318	AT4G35460   		m	"c, m"		"c, m"	 	"c, m"	SUBA: MS 1 cytosol and 2 mito; Cytosolic NADPH dependent [PMID:11717467]; PPDB:  Dual targeted cytosolic and mito [PMID:15642341] but targetP predicted chloroplast; Predotar: mito and elsewhere; WolfPsort: chloroplast; Does have signal peptide. Major form present in mito [PMID:11717467]
Nucleic acids	Purine de novo biosynthesis	"Phosphoribosylformylglycinamidine synthase, glutamine amidotransferase subunit (EC 6.3.5.3)"	rxn03084	AT1G74260		"d, m"	"d, m"	c			"d, m"	SUBA: GFP and MS: mito and plastid; PPDB: in house experiments and proteomes: plastid; Curated also mito; 
Nucleic acids	Purine de novo biosynthesis	"Phosphoribosylformylglycinamidine synthase, synthetase subunit (EC 6.3.5.3)"	rxn03084	AT1G74260		"d, m"	"d, m"	c		PMID:18441219	"d, m"	SUBA: GFP and MS: mito and plastid; PPDB: in house experiments and proteomes: plastid; Curated also mito
Nucleic acids	Purine de novo biosynthesis	Nucleoside diphosphate kinase (EC 2.7.4.6)	"rxn00117, rxn00237, rxn00409, rxn00839, rxn01353, rxn01673, rxn01678"	AT4G11010		m	m	c			m	"SUBA: GFP and MS multiple data: mito; PPDB: curated mito; targetP: plastid; Predotar: mainly plastid, some mito and elsewhere; WolfPsort: chlo: 7, mito: 7; Does have signal peptide"
Nucleic acids	Purine de novo biosynthesis	Nucleoside diphosphate kinase (EC 2.7.4.6)	"rxn00117, rxn00237, rxn00409, rxn00839, rxn01353, rxn01673, rxn01678"	AT4G23900		m	m	c			m	"SUBA: Multiple results mito; PPDB: targetP mito; not plastid by in house experiments; Predorar: mito, plastid and elsewhere; WolfPsort: mito: 9.5, chlo_mito: 7, chlo: 3.5"
Fatty acids	Fatty acid biosynthesis (plastidial)	Malonyl CoA-acyl carrier protein transacylase (EC 2.3.1.39)	rxn05465	AT2G30200		d	d	c			"d, m"	"SUBA: MS plastid multiple results; PPDB: plastid, curated, in house experiments and targetP. Predotar: mito; WolfPsort: chlo: 8, mito: 6; Has signal peptide"
Energy	F0F1-type ATP synthase (mitochondrial)	ATP synthase alpha chain (EC 3.6.3.14)	rxn38050	AT2G07698			m		m		mk	"SUBA: MS multiple data mito, plastid, plasma membrane; PPDB: not plastid in house experiments"
Energy	F0F1-type ATP synthase (mitochondrial)	ATP synthase alpha chain (EC 3.6.3.14)	rxn38050	ATMG01190		m	m		m		mk	"SUBA: MS multiple data mito; PDB: mito, curated; Identified by three dimensional gel electrophoresis [PMID:18189341]"
Energy	F0F1-type ATP synthase (mitochondrial)	ATP synthase beta chain (EC 3.6.3.14)	rxn38050	AT5G08670			m		m		mk	"SUBA: MS multiple results mito, plasma membrane and plastid; PPDB: targetP and tair curated mito;  Identified by three dimensional gel electrophoresis [PMID:18189341]"
Energy	F0F1-type ATP synthase (mitochondrial)	ATP synthase beta chain (EC 3.6.3.14)	rxn38050	AT5G08680			m		m		mk	"SUBA: MS multiple results mito,  and plastid; PPDB: targetP and tair curated mito;  Identified by three dimensional gel electrophoresis [PMID:18189341]"
Energy	F0F1-type ATP synthase (mitochondrial)	ATP synthase beta chain (EC 3.6.3.14)	rxn38050	AT5G08690			m		m		mk	"SUBA: MS multiple results mito,  and plastid; PPDB: targetP and tair curated mito;  Identified by three dimensional gel electrophoresis [PMID:18189341]"
Energy	F0F1-type ATP synthase (mitochondrial)	ATP synthase delta chain (EC 3.6.3.14)	rxn38050	AT5G13450			m		m	 	mk	SUBA: mito and plasma membrane;  PPDB: targetP and tair curated mito;  Identified by three dimensional gel electrophoresis [PMID:18189341]
Energy	F0F1-type ATP synthase (mitochondrial)	ATP synthase delta' chain (EC 3.6.3.14)	rxn38050	AT5G47030		m	m		m		mk	"SUBA: MS multiple results mito,  and plastid; PPDB: tair curated mito;  Identified by three dimensional gel electrophoresis [PMID:18189341]"
Energy	F0F1-type ATP synthase (mitochondrial)	ATP synthase epsilon chain (EC 3.6.3.14)	rxn38050	AT1G51650		m	m		m		mk	SUBA: MS multiple results mito; PPDB: tair curated mito;  Identified by three dimensional gel electrophoresis [PMID:18189341]
Energy	F0F1-type ATP synthase (mitochondrial)	ATP synthase gamma chain (EC 3.6.3.14)	rxn38050	AT2G33040		m	m				mk	SUBA: GFP mito; MS mito and plasma membrane; PPDB: tair curated and target P mito; Identified by three dimensional gel electrophoresis [PMID:18189341]
Cofactors	"Isoprenoid biosynthesis, nonmevalonate branch"	Isopentenyl-diphosphate delta-isomerase (EC 5.3.3.2)	rxn00830	AT5G16440		d	"c, d"	c	"d, m"	PMID:18988695	"c, d, m"	"SUBA: MS plastid; PPDB: curated, plastid and cytosol and targetP plastid;  Predotar and WolfPsort: plastid; Has signal peptide; Lit: GFP long transcript plastid mainly, some mito"
Cofactors	"Isoprenoid biosynthesis, nonmevalonate branch"	Isopentenyl-diphosphate delta-isomerase (EC 5.3.3.2)	rxn00830	AT3G02780		"d, m"	"c, m"	c	"d, m, x"	PMID:18988695	"c, d, m,  x"	"SUBA: GFP and MS plastid and mito; PPDB: curated mito and cytosol and targetP plastid; Predotar: elsewhere and mito; WolfPsort: plastid; No signal peptide; GFP of short transcript s located to peroxisome, while long transcript is located  mainly in mito and some to plastid [PMID:18988695]"
Cofactors	"Isoprenoid biosynthesis, mevalonate branch"	Isopentenyl-diphosphate delta-isomerase (EC 5.3.3.2)	rxn00830	AT3G02780		"d, m"	"c, m"	c		PMID:18319397	"c, d, m"	"SUBA: GFP and MS mito and plastid; PPDB: curated mito and cytosol; Predotar: ER and elsewhere; WolfPsort: cyto: 8, chlo: 4, mito: 1; No signal peptide "
Cofactors	"Isoprenoid biosynthesis, mevalonate branch"	Acetyl-CoA acetyltransferase (EC 2.3.1.9)	rxn00178	AT2G33150	"m, x"	"m, x"	x	c			"m, x"	"SUBA: GFP peroxisome and MS peroxisome and mito mainly; PPDB: curated peroxisome and mito; TargetP: mito; Predotar: elsewhere; WolfPsort:  cyto: 9, pero: 3, nucl: 1.5, cysk_nucl: 1.5; No signal peptide"
Cofactors	Plastoquinone biosynthesis	Solanesyl diphosphate synthase (EC 2.5.1.85)	"rxn29020, rxn29021"	AT2G34630		"d, m"	"d, m"			PMID:21950843	"d, m"	"SUBA: GFP mito and plastid; PPDB: curated mito and plastid; Predotar: mito and elsewhere; WolfPsort: mito: 10.5, chlo_mito: 7.5, chlo: 3.5; No signal peptide"
Cofactors	Plastoquinone biosynthesis	Aspartate aminotransferase (EC 2.6.1.1) 	"rxn00260, rxn00527"	AT2G30970	m	m	m	"c, d, m"	m	PMID:9535706	m	"SUBA: GFP cytosolic (reference refers to peroxisome proteome though, so it is inconsistent; MS multiple data mitochondrial; Experimental data mitochondrial [PMID:7894512]; Predotar mitochondrial; Signal 3-L no signal peptide "
Cofactors	Phyllooquinone biosynthesis	Geranylgeranyl pyrophosphate synthetase (EC 2.5.1.29)	rxn19689	AT1G49530		m	m			PMID:9349257	m	"SUBA: GFP and MS mito; PPDB: curated and targetP mito; Predotar: mito and elsewhere; WolfPsort:  mito: 6, chlo: 5, vacu: 2; No signal peptide"
Cofactors	Biotin biosynthesis	Adenine nucleotide transporter		AT4G01100		m	m		m		m	SUBA: MS mito; PPDB: curated mito; Lit: GFP mitochondrial [PMID:18923018] 
Cofactors	Biotin biosynthesis	Adenosylmethionine-8-amino-7-oxononanoate aminotransferase (EC 2.6.1.62)	rxn02312	AT5G57590		d	m	c			m	SUBA: MS plastid; PPDB: targetP predicted mito;  Mitochondrion predicted for bifunctional BIO3-BIO1 [PMID:17993549] 
Cofactors	Biotin biosynthesis	Adrenodoxin reductase; adrenodoxin-NADP+ reductase (EC 1.18.1.6)	rxn17731	AT4G32360		m	m				m	SUBA: GFP and MS mito; TargetP mito predicted
Cofactors	Biotin biosynthesis	"Adrenodoxin, mitochondrial ferredoxin"	rxn17731	AT4G05450		m	m		m		m	SUBA: GFP mito; TargetP mito; Experimental mitochondrion [PMID:12714594] 
Cofactors	Biotin biosynthesis	"Adrenodoxin, mitochondrial ferredoxin"	rxn17731	AT4G21090		m	m		m		m	SUBA:GFP mito; PPDB: targetP mito predicited; Experimental data mitochondrion location [PMID:12714594]
Cofactors	Biotin biosynthesis	Biotin synthase (EC 2.8.1.6)	rxn17731	AT2G43360	m	m	m		m		m	SUBAcon: mito; PPDB: targetP predicted mito; Experimental evidence: mitochondrion [PMID:16897469] [PMID:9428635]
Cofactors	Biotin biosynthesis	"Cysteine desulfurase (EC 2.8.1.7), IscS subfamily"	"rxn17731, rxn28649"	AT5G65720		"c, m"	m		m		m	Shown experimentally to be mitochondrion - E [PMID:11158531] [PMID:17137349]
Cofactors	Biotin biosynthesis	Dethiobiotin synthetase (EC 6.3.3.3)	rxn02277	AT5G57590		d	m	c			m	SUBA: MS plastid; PPDB: targetP predicted mito;  Mitochondrion predicted for bifunctional BIO3-BIO1 [PMID:17993549] 
Cofactors	Folate biosynthesis	Serine hydroxymethyltransferase (EC 2.1.2.1)	rxn19870	AT4G37930		"c, m, d"	m	m			"c, d, m"	"SUBA: GFP cytosol and mito; MS data plasma membrane; mito and plastid; PPDB: mito; According to signal_#L peptide does not have signal, so analyzing the other data probably is in several locations"
Cofactors	Folate biosynthesis	Dihydrofolate reductase (EC 1.5.1.3)	rxn00686	AT4G34570		m	m				m	"SUBA: mitochodrial by MS data [PMID:
 23444301];PPDB: mitochondrial predicted by targetP. "
Cofactors	Folate biosynthesis	Dihydrofolate synthase (EC 6.3.2.12)	rxn19488	AT5G41480	m	m	m		m		m	SUBA: SUBAcon mitochondrial; targetP predicts mitochondrial location; Mitochondrial (experimental evidence in pea leaves and potato tuber) [PMID:8621617]; DHFR enzyme activity was shown to be solely mitochondrial in pea leaves and potato tubers [PMID:8621617]. 
Cofactors	Folate biosynthesis	Dihydropteroate synthase (EC 2.5.1.15)	rxn02201	AT4G30000		m	m	c			m	"SUBA: mitochondrial determined by MS [PMID:21841088]; PPDB : predicted mitochondrial targetP. DHFS mitochondrial shown experimentallt GFP [PMID:
    11752472]"
Cofactors	Folate biosynthesis	Folylpolyglutamate synthase (EC 6.3.2.17)	"rxn00689, rxn06627, rxn27860, rxn27861"	AT3G10160	m	m	m		m		m	"SUBA: mitochodrial by MS data [PMID:
23444301];PPDB: mitochondrial predicted by targetP. "
Cofactors	Folate biosynthesis	Methenyltetrahydrofolate cyclohydrolase (EC 3.5.4.9)	"rxn01211, rxn24147"	AT2G38660		m	m	c			m	"SUBA: SUBAcon mitochondrial; GFP evidence shows it to be mitochondrial [PMID:
    11752472]"
Cofactors	Folate biosynthesis	 Serine hydroxymethyltransferase (EC 2.1.2.1)	rxn19870	AT5G26780		m	m	m			m	SUBA: mitochondrial by MS data. PPDB: mitochondrial predicted by targetP and given by proteome data
Cofactors	Folate biosynthesis	Dihydrofolate reductase/thymidilate synthase (EC 2.1.1.45)		AT4G34570		m	m				m	SUBA: mitochondrial MS; PPDB: targetP redicted mitochondrial
Cofactors	Folate biosynthesis	Methylenetetrahydrofolate dehydrogenase/methenyltetrahydrofolate cyclohydrolase (EC 1.5.1.5)		AT2G38660		m	m				m	SUBAcon: mito; PPDB: targetP mito but signal#L says it has no signal peptide?
Cofactors	Folate biosynthesis	Glycine cleavage system H protein 2 of glycine decarboxylase complex (EC 1.4.4.2) 		AT2G35120		m	m				m	SUBA: MS data mito; PPDB: tragetP predicition mito
Cofactors	Folate biosynthesis	Glycine cleavage system H protein 3 of glycine decarboxylase complex (EC 1.4.4.2)  		AT1G32470		m	m				m	SUBA: MS data mito; PPDB: curated mito 
Cofactors	Folate biosynthesis	Glycine cleavage system H protein 2 of glycine decarboxylase complex   (EC 1.8.1.4) 		AT2G35120		m	m				m	"SUBA: mito MS data; PPDB; Mito, curated data."
Cofactors	Folate biosynthesis	Glycine cleavage system H protein 3 of glycine decarboxylase complex   (EC 1.8.1.4) 		AT1G32470		m	m				m	SUBA: MS data mito; PPDB: curated mito 
Cofactors	Folate biosynthesis	Glycine cleavage system H protein 2 of glycine decarboxylase complex  (EC 2.1.2.10)		AT2G35120		m	m				m	"SUBA: mito MS data; PPDB; Mito, curated data."
Cofactors	Folate biosynthesis	Glycine cleavage system H protein 3 of glycine decarboxylase complex (EC 2.1.2.10)		AT1G32470		m	m				m	SUBA: MS data mito; PPDB: curated mito 
Cofactors	Folate biosynthesis	Dihydrolipoyl dehydrogenase of glycine decarboxylase complex (L-protein) (EC 1.8.1.4) 		AT2G35120		m	m				m	"SUBA: mito MS data; PPDB; Mito, curated data."
Cofactors	Folate biosynthesis	Dihydrolipoyl dehydrogenase of glycine decarboxylase complex (L-protein 2)(EC 1.8.1.4) 		AT3G17240 		m	m				m	SUBA: MS data mito; PPDB: Curated data mito
Cofactors	Folate biosynthesis	Dihydrolipoyl dehydrogenase of glycine decarboxylase complex (L-protein) (EC 1.8.1.4) 		AT1G48030		"m, c, d"	"m, d"				m	SUBA: MS data mito; PPDB: curated mito 
Cofactors	Folate biosynthesis	5-methyltetrahydropteroyltriglutamate-homocysteine methyltransferase (EC 2.1.1.13)		AT5G20980 		"m, d"	d				"d, m"	SUBA: MS data give mito and plastid; PPDB: curated plastid
Cofactors	Folate biosynthesis	5-formyltetrahydrofolate cyclo-ligase (EC 6.3.3.2)		AT5G13050		"m, d"	m		m		"d, m"	"SUBA: one MS data locate it plastidial; PPDB: Curated data mito. Located by enzyme assays and immunoblot analyses predominantly if not exclusively in  mitochondria in pea and cauliflower [PMID:
    12207015] "
Cofactors	Folate biosynthesis	Glycine dehydrogenase (decarboxylating) of glycine decarboxylase complex (Glycine cleavage system P protein 1) (EC 1.4.4.2)		AT4G33010		"m, d"	m				"d, m"	SUBA: mito and plastid by MS data. PPDB: curated location mito
Cofactors	Folate biosynthesis	Glycine dehydrogenase (decarboxylating) of glycine decarboxylase complex (Glycine cleavage system P protein 2) (EC 1.4.4.2)		AT2G26080		"m, d"	m				"d, m"	SUBA: MS data mito and plastid. PPDB: curated data mito
Cofactors	Folate biosynthesis	Aminomethyltransferase of the Glycine decarboxylase complex (T-protein) (EC 2.1.2.10) 		AT1G11860		"m, d"	m				"d, m"	"SUBA: mito and plastid by MS data; PPDB: mito and no plastid by inhouse data.  By logic ( only one T kind protein)and since SUBA are multiple independent dat, we will consider it  mito and plastid"
Cofactors	Folate biosynthesis	Glycine cleavage system H protein 1 of glycine decarboxylase complex (EC 1.4.4.2) 		AT2G35370		"m,d,n"	m				"d, m, n"	"SUBA: MS data for mito, plastid ; one for nucleus?"
Cofactors	Folate biosynthesis	Glycine cleavage system H protein 1 of glycine decarboxylase complex (EC 1.8.1.4) 		AT2G35370		"m,d,n"	m				"d, m, n"	"SUBA: MS data for mito, plastid ; one for nucleus?"
Cofactors	Folate biosynthesis	Glycine cleavage system H protein 1 of glycine decarboxylase complex  (EC 2.1.2.10)		AT2G35370		"m,d,n"	m				"d, m, n"	"SUBA: MS data for mito, plastid ; one for nucleus?"
Cofactors	Folate-mediated one-carbon metabolism	Aminomethyltransferase (glycine cleavage system T protein) (EC 2.1.2.10)	"rxn19763, rxn24149"	AT1G11860		"m, d"	m	m			m	"SUBA: mito and plastid by MS data; PPDB: mito and no plastid by inhouse data.  By logic ( only one T kind protein)and since SUBA are multiple independent dat, we will consider it  mito and plastid"
Cofactors	Folate-mediated one-carbon metabolism	Dihydrofolate reductase (EC 1.5.1.3)	rxn00686	AT4G34570		m	m				m	SUBA: SUBAcon mitochondrial; targetP predicts mitochondrial location; Mitochondrial (experimental evidence in pea leaves and potato tuber) [PMID:8621617]; DHFR enzyme activity was shown to be solely mitochondrial in pea leaves and potato tubers [PMID:8621617]. 
Cofactors	Folate-mediated one-carbon metabolism	"Dihydrolipoamide dehydrogenase of glycine cleavage system, L protein (EC 1.8.1.4)"	rxn19763	AT1G48030		"m, c, d"	"m, d"	m			m	"SUBA: MS for mito, plasma membrane and plastid; PPDB: chloroplast and curated mito"
Cofactors	Folate-mediated one-carbon metabolism	"Dihydrolipoamide dehydrogenase of glycine cleavage system, L protein (EC 1.8.1.4)"	rxn19763	AT3G17240	m	m	m	m			m	SUBA: MS data mito; PPDB: curated mito 
Cofactors	Folate-mediated one-carbon metabolism	Glycine dehydrogenase [decarboxylating] (glycine cleavage system P protein) (EC 1.4.4.2)	rxn19763	AT2G26080		"m, d"	m	m			m	SUBA: MS data mito and plastid. PPDB: curated data mito
Cofactors	Folate-mediated one-carbon metabolism	Glycine dehydrogenase [decarboxylating] (glycine cleavage system P protein) (EC 1.4.4.2)	rxn19763	AT4G33010		"m, d"	m	m			m	SUBA: mito and plastid by MS data. PPDB: curated location mito
