Class	Subsystem	Role	Reactions	Genes	AraCyc Cmpts	SUBA Cmpts	PPDB Cmpts	AraGEM Cmpts	Lit. Cmpts	Reference	Consensus location	Notes
Central Carbon	Calvin-Benson-Bassham cycle	Ribulose bisphosphate carboxylase small chain (EC 4.1.1.39)	rxn20788, rxn25701	AT5G38430	d	d	d	d		PMID:21922322	d	SUBA:  MS plastid, multiple data; PPDB: curated, in house experiments and targetP plastid; Predotar and WolfPsort: plastid; Has signal peptide
Central Carbon	Calvin-Benson-Bassham cycle	Ribulose-phosphate 3-epimerase (EC 5.1.3.1)	rxn01116	AT5G61410		d	d	c			d	SUBA: MS plastid multiple results; PPDB: Curated, in house experiments and targetP plastid. Predotar: elsewhere; WolfPsort: cyto: 8, extr: 3, nucl: 1.5, cysk_nucl: 1.5. No signalpeptide
Central Carbon	Calvin-Benson-Bassham cycle	Sedoheptulose-1,7-bisphosphatase (EC 3.1.3.37)	rxn01345	AT3G55800		d	d	c		PMID:15863701	d	SUBA: MS plastid multiple results; PPDB: proteomes, in house experiments and targetP plastid. Predotar and WolfPsort: plastid. No signal peptide
Central Carbon	Calvin-Benson-Bassham cycle	Transketolase (EC 2.2.1.1)	rxn01200, rxn15271	AT2G45290		d	d	c			d	SUBA:  MS plastid, multiple data; PPDB: curated, and targetP plastid; Predotar plastid; WolfPsort:chlo: 11, mito: 3; Has signal peptide
Central Carbon	Calvin-Benson-Bassham cycle	Transketolase (EC 2.2.1.1)	rxn01200, rxn15271	AT3G60750		b, d	d	c			d	SUBA: MS plastid and plasma membrane,  has 2 small intra membrane structures according toTMHMM result ; PPDB: proteomes and in house experiments plastid ; TargetP plastid: Predotar: plastid; WolfPsort: chlo: 10.5, chlo_mito: 7.5, mito: 3.5; Has  signal peptide 
Central Carbon	Rubisco shunt	2,3-bisphosphoglycerate-independent phosphoglycerate mutase (EC 5.4.2.12)	rxn01106	AT1G09780		d	c	c		PMID:12953116	c, d	SUBA: MS cytosol, plasma membrane and plastid; PPDB: curated cytosol [PMID:12953116] (outside mito) and targetP predicted idem; Predotar elsewhere; WolfPsort:  cyto: 9, chlo: 3, mito: 1; No signal peptide
Central Carbon	Rubisco shunt	Pyruvate kinase (EC 2.7.1.40)	rxn00148	AT3G25960			m	c, d			c, d	PPDB: targetP mito; Predotar: plastid and elsewhere; WolfPsort: nucl: 6, chlo: 4.5, cyto: 3, chlo_mito: 3; No signal peptide; Location very uncertain 
Central Carbon	Rubisco shunt	Enolase (EC 4.2.1.11)	rxn00459	AT1G74030	d	c, d, n	d	c, d		PMID:19223001	c, d, n	SUBA: GFP: cytosol, nucleous and plastid. MS majority plastid. PPDB: curated and targetP plastid; Predotar: elsewhere, mito and plastid; WolfPsort: chlo: 6.5, chlo_mito: 4.5, cyto: 3, pero: 2, mito: 1.5; No signal peptide
Central Carbon	Rubisco shunt	2,3-bisphosphoglycerate-dependent phosphoglycerate mutase (EC 5.4.2.11)		AT1G22170   		d	d				d	SUBA: GFP plastid; PPDB: targetP plastid; Predotar and WolfPsort plastid; Has signal peptide
Central Carbon	Rubisco shunt	2,3-bisphosphoglycerate-dependent phosphoglycerate mutase (EC 5.4.2.11)		AT1G78050 		d	d			PMID:21908688; PMID:15333754	d	SUBA:GFP plastid; PPDB: targetP plastid; Predotar: mito and elsewhere; WolfPsort: mito: 6, cyto: 3, chlo: 2, nucl: 2 ; No signal peptide
Central Carbon	Rubisco shunt	Phosphoribulokinase (EC 2.7.1.19)	rxn01111	AT1G32060		d	d	c			d	SUBA: MS plastid multiple results; PPDB: Curated, in house experiments and targetP plastid (thylakoid membrane). Predotar and WolfPsort: plastid; Has  signal peptide
Central Carbon	Rubisco shunt	Protein CP12, regulation of Calvin cycle via association/dissociation of PRK/CP12/GAPDH complex	rxn01111, rxn17199	AT1G76560		d	d	c		PMID:20399532	d	SUBA: MS plastid (one result); PPDB: targetP chloroplast; Predotar: elsewhere and plastid; WolfPsort: plastid; No signal peptide
Central Carbon	Rubisco shunt	Protein CP12, regulation of Calvin cycle via association/dissociation of PRK/CP12/GAPDH complex	rxn01111, rxn17199	AT2G47400		d	d	c			d	SUBA: MS plastid multiple results; PPDB: proteome, in house experiments and targetP: plastid; Predotar:  plastid and elsewhere; WolfPsort: plastid; No signal peptide
Central Carbon	Rubisco shunt	Protein CP12, regulation of Calvin cycle via association/dissociation of PRK/CP12/GAPDH complex	rxn01111, rxn17199	AT3G62410		d	d	c			d	SUBA: MS plastid multiple results; PPDB: proteome, in house experiments and targetP: plastid; Predotar:   elsewhere and plastid; WolfPsort:chlo: 10, mito: 3; No signal peptide
Central Carbon	Rubisco shunt	Pyruvate kinase (EC 2.7.1.40)	rxn00148	AT1G32440	d	d	d	c, d		PMID:17557808	d	SUBA: MS plastid (3 results); PPDB: curated and targetP plastid; Predotar: plastid and elsewhere; WolfPsort: plastid; No signal peptide
Central Carbon	Rubisco shunt	Pyruvate kinase (EC 2.7.1.40)	rxn00148	AT3G22960	d	d	d	c, d			d	SUBA: MS multiple plastid; PPDB: curated, in house experiments and targetP plastid; Predotar and WolfPsort plastid; Has signal peptide
Central Carbon	Rubisco shunt	Pyruvate kinase (EC 2.7.1.40)	rxn00148	AT5G52920	d	d	d	c, d			d	SUBA: GFP and MS plastid; PPDB: proteomes, in house experiments and targetP plastid; Predotar: plastid and elsewhere; WolfPsort: chlo: 12, mito: 2;  No signal peptide. Lit: Enzyme in cytosol but associated with outer mito membrane,[PMID:12953116]

Central Carbon	Rubisco shunt	Ribose 5-phosphate isomerase A (EC 5.3.1.6)	rxn00777	AT3G04790		d	d	c			d	SUBA: MS plastid, multiple data; PPDB: Curated, in house experiments and targetP plastid (thylakoid membrane). Predotar: Plastid; WolfPsort:  mito: 9, chlo: 5; Has signal peptide
Central Carbon	Rubisco shunt	Ribulose bisphosphate carboxylase large chain (EC 4.1.1.39)	rxn20788, rxn25701	ATCG00490	d	b, d	d	d		PMID:25733857	d	SUBA: MS plastid, multiple data and plasma membrane; PPDB: Curated, in house experiments plastid (thylakoid membrane). TargetP cytosol; Predotar:elsewhere; WolfPsort: cyto: 7, mito: 3, pero: 3 ; No signal peptide
Central Carbon	Rubisco shunt	Ribulose bisphosphate carboxylase small chain (EC 4.1.1.39)	rxn20788, rxn25701	AT5G38410	d	d	d	d		PMID:22223809
	d	SUBA: MS plastid, multiple data; PPDB: Curated, in house experiments plastid. TargetP plastid; Predotar and WolfPsort: plastid; Has signal peptide
Central Carbon	Rubisco shunt	Ribulose bisphosphate carboxylase small chain (EC 4.1.1.39)	rxn20788, rxn25701	AT5G38420	d	d	d	d		PMID:24682522	d	SUBA: MS plastid, multiple data; PPDB: Curated, in house experiments plastid . TargetP plastid; Predotar and WolfPsort: plastid; Has signal peptide
Central Carbon	Rubisco shunt	Ribulose bisphosphate carboxylase small chain (EC 4.1.1.39)	rxn20788, rxn25701	AT5G38430	d	d	d	d		PMID:21922322	d	SUBA: MS plastid, multiple data; PPDB: Curated, in house experiments plastid. TargetP plastid; Predotar and WolfPsort: plastid; Has signal peptide
Central Carbon	Rubisco shunt	Ribulose-phosphate 3-epimerase (EC 5.1.3.1)	rxn01116	AT5G61410		d	d	c			d	SUBA: MS plastid multiple results; PPDB: Curated, in house experiments and targetP plastid. Predotar: elsewhere; WolfPsort: cyto: 8, extr: 3, nucl: 1.5, cysk_nucl: 1.5. No signalpeptide
Central Carbon	Rubisco shunt	Transaldolase (EC 2.2.1.2)	rxn01333	AT1G12230		d	d	c			d	SUBA: MS plastid, multiple data; PPDB: Curated, in house experiments and targetP plastid. Predotar: plastid; WolfPsort: chlo: 13; No signal peptide
Central Carbon	Rubisco shunt	Transaldolase (EC 2.2.1.2)	rxn01333	AT5G13420		d	d	c			d	SUBA: MS plastid, multiple data; PPDB: Curated,  and targetP plastid. Mito in a proteome; Predotar: plastid and elsewhere; WolfPsort: chlo: 11, mito: 2; Has signal peptide
Central Carbon	Rubisco shunt	Transketolase (EC 2.2.1.1)	rxn01200, rxn15271	AT2G45290		d	d	c			d	SUBA: MS plastid, multiple data; PPDB: Curated and targetP plastid. Predotar: plastid; WolfPsort: chlo: 11, mito: 3; Has signal peptide
Central Carbon	Rubisco shunt	Transketolase (EC 2.2.1.1)	rxn01200, rxn15271	AT3G60750		d	d	c			d	SUBA: MS plastid, multiple data; PPDB: Curated in house experiments and targetP plastid. Predotar: plastid; WolfPsort: chlo: 10.5, chlo_mito: 7.5, mito: 3.5; Has signal peptide
Central Carbon	Rubisco shunt	Ribulose bisphosphate carboxylase small chain (EC 4.1.1.39)	rxn20788, rxn25701	AT1G67090	d	d, x	d	d		PMID:22223809
	d, x	SUBA: GFP peroxisome and plastid; MS plastid, multiple data; PPDB: Curated, in house experiments and targetP plastid (thylakoid membrane). Predotar and WolfPsort: plastid; Has signal peptide
Central Carbon	Acetyl-CoA biosynthesis	Acetolactate synthase large subunit (EC 2.2.1.6)	rxn00011, rxn15021, rxn19030	AT3G48560		d	d			PMID:16007690	d	SUBA: MS plastid multiple results; PPDB: curated and targetP chloroplast; Predotar: plastid and WolfPsort: chlo: 8, mito: 6; No signal peptide
Central Carbon	Acetyl-CoA biosynthesis	Acetolactate synthase small subunit (EC 2.2.1.6)	rxn00011, rxn15021, rxn19030	AT2G31810		d	d			PMID:10487214	d	SUBA: MS plastid multiple results; PPDB: curated and targetP chloroplast; Predotar: plastid and WolfPsort: chlo: 12, chlo_mito: 8; No signal peptide
Central Carbon	Acetyl-CoA biosynthesis	Acetolactate synthase small subunit (EC 2.2.1.6)	rxn00011, rxn15021, rxn19030	AT5G16290			d				d	PPDB: curated and targetP chloroplast; Predotar: plastid and elsewhere; WolfPsort: chloroplast; No signal peptide
Central Carbon	Acetyl-CoA biosynthesis	Dihydrolipoamide acetyltransferase component of pyruvate dehydrogenase complex (EC 2.3.1.12)	rxn25978, rxn30418	AT1G34430		d	d	c			d	SUBA: MS plastid and plasma membrane multiple results; PPDB: curated (envelope-inner-peripheral-stromal-side), in house experiments  and targetP chloroplast; Predotar:  elsewhere, mito and plastid; WolfPsort: chloroplast; No signal peptide. Has small intra membrane section according to TMHMM result
Central Carbon	Acetyl-CoA biosynthesis	Dihydrolipoamide acetyltransferase component of pyruvate dehydrogenase complex (EC 2.3.1.12)	rxn25978, rxn30418	AT3G25860		d	d	c		PMID:10364395	d	SUBA: MS plastid  multiple results; PPDB: curated, in house experiments and targetP chloroplast; Predotar:   plastid; WolfPsort: chloroplast; No signal peptide. 
Central Carbon	Acetyl-CoA biosynthesis	Dihydrolipoamide dehydrogenase of pyruvate dehydrogenase complex (EC 1.8.1.4)	rxn25977	AT4G16155		d	d				d	SUBA: GFP and MS plastid multiple results; PPDB: curated and in house experiments chloroplast; Predotar: plastid and elsewhere; WolfPsort: chloroplast; Has signal peptide. 
Central Carbon	Acetyl-CoA biosynthesis	Pyruvate decarboxylase (EC 4.1.1.1)	rxn00011, rxn00168	AT5G01330			d			 	d	PPDB: targetP chloroplast; Predotar: elsewhere; WolfPsort: chlo: 8, cyto: 2.5, vacu: 2, cyto_nucl: 2; Has signal peptide and has intra membrane section according to TMHMM result
Central Carbon	Acetyl-CoA biosynthesis	Pyruvate dehydrogenase E1 component alpha subunit (EC 1.2.4.1)	rxn00011, rxn22957	AT1G01090		d	d	c		PMID:9393637	d	SUBA: MS plastid multiple results; PPDB: curated and targetP chloroplast (envelope-inner-peripheral-stromal-side  Predotar and WolfPsort plastid; Has signal peptide
Central Carbon	Acetyl-CoA biosynthesis	Pyruvate dehydrogenase E1 component beta subunit (EC 1.2.4.1)	rxn00011, rxn22957	AT1G30120		d	d	c		PMID:9393637	d	SUBA: MS plastid multiple results; PPDB: curated and targetP chloroplast; Predotar and WolfPsort plastid; Has signal peptide
Central Carbon	Acetyl-CoA biosynthesis	Pyruvate dehydrogenase E1 component beta subunit (EC 1.2.4.1)	rxn00011, rxn22957	AT2G34590		d	d	c			d	SUBA: MS plastid multiple results; PPDB: curated and targetP chloroplast; Predotar  plastid; WolfPsort chlo: 11, vacu: 3; Has signal peptide
Central Carbon	Acetyl-CoA biosynthesis	Acetyl-coenzyme A synthase (EC 6.2.1.1)	rxn00175	AT5G36880 		d	d			PMID:18552233	d	SUBA: MS plastid multiple results; PPDB: curated, in house experiments and targetP chloroplast; Predotar: elsewhere and plastid; WolfPsort: chlo: 10, vacu: 3; Has signal peptide
Central Carbon	Acetyl-CoA biosynthesis	Aldehyde dehydrogenase (NAD+) (EC 1.2.1.3)		AT4G34240 		d	d		d		d	SUBA: GFP and MS: plastid; PPDB: curated plastid and targetP cytosol; Predotar: elsewhere; WolfPsort: plas: 9, E.R.: 3, chlo: 2; No signal peptide. Has intra membrane section [TMHMM result]; Lit: immunogold electron microscopy: plastid [PMID:11849595]
Central Carbon	Acetyl-CoA biosynthesis	Aldehyde dehydrogenase (NAD+) (EC 1.2.1.3)		AT3G48000		d, m	m			PMID:11999848	d, m	SUBA: MS mito multiple results; 2 results plastid; PPDB: curated and targetP: mito; Predotar: mito and elsewhere; WolfPsort: mito: 9.5, chlo_mito: 6, cyto: 3; No signal peptide
Central Carbon	Acetyl-CoA biosynthesis	Dihydrolipoamide dehydrogenase of pyruvate dehydrogenase complex (EC 1.8.1.4)	rxn25977	AT3G16950		d, n	d			PMID:11056213	d, n	SUBA: GFP: nucleous [PMID:15496452]; MS plastid multiple results and nucleous 2 results; PPDB: curated and targetP chloroplast; Predotar: plastid and elsewhere; WolfPsort: chloroplast; No signal peptide. 
Central Carbon	TCA cycle	Aconitate hydratase (EC 4.2.1.3)	rxn00974, rxn15280	AT2G05710		d, m	c, m				c, d, m	SUBA: GFP and MS mito and plastid; PPDB: curated mito and cytosol; TargetP chloroplast; Predotar and WolfPsort: plastid; No signal peptide
Central Carbon	TCA cycle	Acetolactate synthase large subunit (EC 2.2.1.6)	rxn00011, rxn15021, rxn19030	AT3G48560		d	d			PMID:16007690	d	SUBA: MS plastid multiple results; PPDB: curated and targetP chloroplast; Predotar: plastid and WolfPsort: chlo: 8, mito: 6; No signal peptide
Central Carbon	TCA cycle	Acetolactate synthase small subunit (EC 2.2.1.6)	rxn00011, rxn15021, rxn19030	AT2G31810		d	d			PMID:10487214	d	SUBA: MS plastid multiple results; PPDB: curated and targetP chloroplast; Predotar: plastid and WolfPsort: chlo: 12, chlo_mito: 8; No signal peptide
Central Carbon	TCA cycle	Acetolactate synthase small subunit (EC 2.2.1.6)	rxn00011, rxn15021, rxn19030	AT5G16290			d				d	PPDB: curated and targetP chloroplast; Predotar: plastid and elsewhere; WolfPsort: chloroplast; No signal peptide
Central Carbon	TCA cycle	Dihydrolipoamide acetyltransferase component of pyruvate dehydrogenase complex (EC 2.3.1.12)	rxn25978	AT1G34430		d	d	c			d	SUBA: MS plastid and plasma membrane multiple results; PPDB: curated (envelope-inner-peripheral-stromal-side), in house experiments  and targetP chloroplast; Predotar:  elsewhere, mito and plastid; WolfPsort: chloroplast; No signal peptide. Has small intra membrane section according to TMHMM result
Central Carbon	TCA cycle	Dihydrolipoamide acetyltransferase component of pyruvate dehydrogenase complex (EC 2.3.1.12)	rxn25978	AT3G25860		d	d	c		PMID:10364395	d	SUBA: MS plastid  multiple results; PPDB: curated, in house experiments and targetP chloroplast; Predotar:   plastid; WolfPsort: chloroplast; No signal peptide. 
Central Carbon	TCA cycle	Dihydrolipoamide dehydrogenase of pyruvate dehydrogenase complex (EC 1.8.1.4)	rxn25977	AT4G16155		d	d				d	SUBA: GFP and MS plastid multiple results; PPDB: curated and in house experiments chloroplast; Predotar: plastid and elsewhere; WolfPsort: chloroplast; Has signal peptide. 
Central Carbon	TCA cycle	Malate dehydrogenase (EC 1.1.1.37)	rxn20068	AT3G47520	d	d, m	d	d, m, x			d	SUBA: GFP plastid in house; MS plastid and mito multiple results; PPDB: plastid curated, in house experiments and targetP; Predotar: mainly plastid, a little mito: WolfPsort: plastid; No signal peptide
Central Carbon	TCA cycle	Pyruvate decarboxylase (EC 4.1.1.1)	rxn00011, rxn00168	AT5G01330			d			 	d	PPDB: targetP chloroplast; Predotar: elsewhere; WolfPsort: chlo: 8, cyto: 2.5, vacu: 2, cyto_nucl: 2; Has signal peptide and has intra membrane section according to TMHMM result
Central Carbon	TCA cycle	Pyruvate dehydrogenase E1 component alpha subunit (EC 1.2.4.1)	rxn00011, rxn22957	AT1G01090		d	d	c		PMID:9393637	d	SUBA: MS plastid multiple results; PPDB: curated and targetP chloroplast (envelope-inner-peripheral-stromal-side  Predotar and WolfPsort plastid; Has signal peptide
Central Carbon	TCA cycle	Pyruvate dehydrogenase E1 component beta subunit (EC 1.2.4.1)	rxn00011, rxn22957	AT1G30120		d	d	c		PMID:9393637	d	SUBA: MS plastid multiple results; PPDB: curated and targetP chloroplast; Predotar and WolfPsort plastid; Has signal peptide
Central Carbon	TCA cycle	Pyruvate dehydrogenase E1 component beta subunit (EC 1.2.4.1)	rxn00011, rxn22957	AT2G34590		d	d	c			d	SUBA: MS plastid multiple results; PPDB: curated and targetP chloroplast; Predotar  plastid; WolfPsort chlo: 11, vacu: 3; Has signal peptide
Central Carbon	TCA cycle	Aconitate hydratase (EC 4.2.1.3)	rxn00974, rxn15280	AT4G26970		d, m	m			PMID:17013749	d, m	SUBA: GFP and MS mito and plastid; PPDB: curated mito ; TargetP chloroplast; Predotar: mito and elsewhere; WolfPsort: chlo: 10, mito: 4 ; No signal peptide
Central Carbon	TCA cycle	Dihydrolipoamide dehydrogenase of pyruvate dehydrogenase complex (EC 1.8.1.4)	rxn25977	AT3G16950		d, n	d			PMID:11056213	d, n	SUBA: GFP: nucleous [PMID:15496452]; MS plastid multiple results and nucleous 2 results; PPDB: curated and targetP chloroplast; Predotar: plastid and elsewhere; WolfPsort: chloroplast; No signal peptide. 
Central Carbon	Photorespiration (oxidative_C2_cycle)	Phosphoglycolate phosphatase (EC 3.1.3.18)	rxn19871	AT5G36790		c, d, n	d	d			c, d, n	SUBA: GFP: cytosol and nucleous; MS plastid, multiple results; PPDB: plastid, curated, in house experiments and targetP; Predotar: plastid, mito and elsewhere; WolfPsort: chlo: 12, nucl: 1; has signal peptide 
Central Carbon	Photorespiration (oxidative_C2_cycle)	Serine hydroxymethyltransferase (EC 2.1.2.1)	rxn19870	AT4G37930		c, m, d	m	m			c, m, d	SUBA: GFP cytosol and mito; MS data plasma membrane; mito and plastid; PPDB: mito; According to signal 3L peptide does not have signal, so analyzing the other data probably is in several locations
Central Carbon	Photorespiration (oxidative_C2_cycle)	D-glycerate 3-kinase (EC 2.7.1.31), plant type	rxn01102	AT1G80380		d	d			PMID:15980259
	d	SUBA: MS plastid, multiple results; PPDB: plastid by curation, in house experiments and targetp; Predotar and WolfPsort: plastid; No signal peptide
Central Carbon	Photorespiration (oxidative_C2_cycle)	Phosphoglycolate phosphatase (EC 3.1.3.18)	rxn19871	AT5G36700		d	d	d			d	SUBA: MS plastid, multiple results; PPDB: plastid by curation, in house experiments and targetP; Predotar: plastid, mito and elsewhere; WolfPsort: chlo: 12, nucl: 1 ; Has signal peptide
Central Carbon	Photorespiration (oxidative_C2_cycle)	Phosphoglycolate phosphatase (EC 3.1.3.18)	rxn19871	AT5G47760		d	d	d			d	SUBA: MS plastid, multiple results; PPDB: plastid by curation but targetP, cytosol; Predotar: elsewhere; WolfPsort: chlo: 14;  No signal peptide
Central Carbon	Photorespiration (oxidative_C2_cycle)	Ribulose bisphosphate carboxylase large chain (EC 4.1.1.39)	rxn20788, rxn25701	ATCG00490	d	d	d	d		PMID:25733857; PMID:7410399	d	SUBA: MS plastid and plasma membrane, but has no intra embrane structure according toTMHMM result; PPDB: curated and in house experiments plastid; TargetP cytosol: Predotar: elsewhere; WolfPsort: cyto: 7, mito: 3, pero: 3; No signal peptide
Central Carbon	Photorespiration (oxidative_C2_cycle)	Ribulose bisphosphate carboxylase small chain (EC 4.1.1.39)	rxn20788, rxn25701	AT1G67090	d	d, x	d	d		PMID:22223809 	d	SUBA: GFP peroxisome and plastid: MS plastid, multiple data; PPDB: curated, in house experiments and targetP plastid; Predotar and WolfPsort: plastid; Has signal peptide
Central Carbon	Photorespiration (oxidative_C2_cycle)	Ribulose bisphosphate carboxylase small chain (EC 4.1.1.39)	rxn20788, rxn25701	AT5G38410	d	d	d	d		PMID:22223809 	d	SUBA: MS plastid, multiple data; PPDB: curated, in house experiments and targetP plastid; Predotar and WolfPsort: plastid; Has signal peptide
Central Carbon	Photorespiration (oxidative_C2_cycle)	Ribulose bisphosphate carboxylase small chain (EC 4.1.1.39)	rxn20788, rxn25701	AT5G38420	d	d	d	d		PMID:24682522	d	SUBA: MS plastid, multiple data; PPDB: curated, in house experiments and targetP plastid; Predotar and WolfPsort: plastid; Has signal peptide
Central Carbon	Photorespiration (oxidative_C2_cycle)	Ribulose bisphosphate carboxylase small chain (EC 4.1.1.39)	rxn20788, rxn25701	AT5G38430	d	d	d	d		PMID:21922322	d	SUBA: MS plastid, multiple data; PPDB: curated, in house experiments and targetP plastid; Predotar and WolfPsort: plastid; Has signal peptide
Central Carbon	Photorespiration (oxidative_C2_cycle)	Serine hydroxymethyltransferase (EC 2.1.2.1)	rxn19870	AT4G32520		d	d	m			d	SUBA: plastidial both by MS and GFP data; PPDB: curated and targetP predicted plastidial;
Central Carbon	Photorespiration (oxidative_C2_cycle)	Glycolate oxidase (EC 1.1.3.15)	rxn00333	AT3G14415		d, x	x				d, x	SUBA: MS peroxisome and plastid multiple results; PPDB: curated peroxisome, targetP: cytosol; Predotar: elsewhere; WolfPsort: cyto: 6, pero: 5, chlo: 2; No signal peptide
Central Carbon	Photorespiration (oxidative_C2_cycle)	Glycolate oxidase (EC 1.1.3.15)	rxn00333	AT3G14420		d, x	d, x			PMID:18685041	d, x	SUBA: MS peroxisome and plastid multiple results; PPDB: curated peroxisome and plastid, targetP: cytosol; Predotar: elsewhere; WolfPsort:  cyto: 6, pero: 4, chlo: 2, mito: 2; No signal peptide
Central Carbon	Photorespiration (oxidative_C2_cycle)	NADH-dependent hydroxypyruvate reductase (EC 1.1.1.29)	rxn19849	AT1G68010	d, x	d, x	x				d, x	SUBA: MS peroxisome and plastid multiple results; PPDB: curated peroxisome, targetP cytosol; Predotar: elsewhere; WolfPsort:  cyto: 6, chlo: 4, pero: 4; No signal peptide
Central Carbon	Photorespiration (oxidative_C2_cycle)	L-alanine:glyoxylate aminotransferase (EC 2.6.1.44)	rxn27695, rxn27909	AT1G23310	x	x, d	x	c, x		PMID:12631323, PMID:12529529	d, x	SUBA: GFP peroxisome; MS data peroxisome and plastid. PPDB: peroxisome experimental
Central Carbon	Photorespiration (oxidative_C2_cycle)	L-alanine:glyoxylate aminotransferase (EC 2.6.1.44)	rxn27695, rxn27909	AT1G70580	x	x, d	x	x		PMID:12631323, PMID:12529529	d, x	SUBA: MS data multiple data peroxisome, 2 results plastid. PPDB: peroxisome experimental.
Central Carbon	Photorespiration (oxidative_C2_cycle)	L-alanine:glyoxylate aminotransferase (EC 2.6.1.44)	rxn27695, rxn27909	AT2G13360	x	x, d	x	x		PMID:11309139	d, x	SUBA: MS repeated results peroxisome and plastid. PPDB: peroxisomal experimental evidence.
Central Carbon	Photorespiration (oxidative_C2_cycle)	Serine--glyoxylate aminotransferase (EC 2.6.1.45) 	rxn28986	AT2G13360	x	x, d	x	x		PMID:11309139	d, x	SUBA: MS repeated results peroxisome and plastid. PPDB: peroxisomal experimental evidence.
Amino acids	Alanine, serine, glycine metabolism	Cysteine desulfurase-like (EC 2.8.1.7), SufS subfamily	rxn28649	AT1G08490	d	d	d				d	SUBA: GFP and MS data plastid; PPDB: plastid proteome
Amino acids	Alanine, serine, glycine metabolism	D-3-phosphoglycerate dehydrogenase (EC 1.1.1.95)	rxn01101	AT1G17745		d	d	c		PMID:24058165	d	SUBA: MS data plastid;PPDB: plastid supported by in house experiments 
Amino acids	Alanine, serine, glycine metabolism	Phosphoserine aminotransferase (EC 2.6.1.52)	rxn02914	AT2G17630		d	d	c			d	SUBA: MS plastid; PPDB: plastid
Amino acids	Alanine, serine, glycine metabolism	Phosphoserine aminotransferase (EC 2.6.1.52) 	rxn02914	AT4G35630		d	d	c			d	SUBA: MS data plastid: PPDB plastid stroma curated
Amino acids	Alanine, serine, glycine metabolism	Phosphoserine phosphatase (EC 3.1.3.3)	rxn00420	AT1G18640			d	c		PMID:24368794	d	PPDB: plastid, in house experiments
Amino acids	Alanine, serine, glycine metabolism	Serine hydroxymethyltransferase (EC 2.1.2.1)	rxn19870	AT4G32520		d	d	m		PMID:20518745	d	SUBA: GFP and MS data plastid: PPDB curated location and TargetP predicted stroma.
Amino acids	Alanine, serine, glycine metabolism	Folate transporter (MC superfamily) into and out of chloroplast		AT5G66380		D	D				d	SUBA: GFP plastidial; PPDB: curated location chloroplast envelope
Amino acids	Alanine, serine, glycine metabolism	Folate transporter (MC superfamily) into and out of chloroplast		AT2G32040		D	D				d	SUBA: GFP data shows it is plastidial; PPDB: curated location envelope
Amino acids	Alanine, serine, glycine metabolism	Glutamate-glyoxylate aminotransferase (EC 2.6.1.4)	rxn27909	AT1G23310	x	x, d	x	c, x		PMID:12631323 	d, x	SUBA: GFP peroxisome; MS data peroxisome and plastid. PPDB: peroxisome experimental
Amino acids	Alanine, serine, glycine metabolism	Glutamate-glyoxylate aminotransferase (EC 2.6.1.4)	rxn27909	AT1G70580	x	x, d	x	x		PMID:12631323 	d, x	SUBA: MS data multiple data peroxisome, 2 results plastid. PPDB: peroxisome experimental.
Amino acids	Alanine, serine, glycine metabolism	L-alanine:glyoxylate aminotransferase (EC 2.6.1.44)	rxn27695, rxn27909	AT1G23310	x	x, d	x	c, x		PMID:12631323, PMID:12529529	d, x	SUBA: GFP peroxisome; MS data peroxisome and plastid. PPDB: peroxisome experimental
Amino acids	Alanine, serine, glycine metabolism	L-alanine:glyoxylate aminotransferase (EC 2.6.1.44)	rxn27695, rxn27909	AT1G70580	x	x, d	x	x		PMID:12631323, PMID:12529529	d, x	SUBA: MS data multiple data peroxisome, 2 results plastid.PPDB: peroxisome experimental.
Amino acids	Alanine, serine, glycine metabolism	L-alanine:glyoxylate aminotransferase (EC 2.6.1.44)	rxn27695, rxn27909	AT2G13360	x	x, d	x	x		PMID:11309139	d, x	SUBA: MS repeated results peroxisome and plastid. PPDB: peroxisomal experimental evidence.
Amino acids	Alanine, serine, glycine metabolism	Serine--glyoxylate aminotransferase (EC 2.6.1.45) 	rxn28986	AT2G13360	x	x, d	x	x		PMID:11309139	d, x	SUBA: MS repeated results peroxisome and plastid. PPDB: peroxisomal experimental evidence.
Amino acids	Arginine metabolism and urea cycle	Acetylglutamate kinase (EC 2.7.2.8)	rxn01917	AT3G57560		d	d	c			d	SUBA: MS data plastid; PPDB: stroma supported by in house experiments.
Amino acids	Arginine metabolism and urea cycle	Acetylornithine aminotransferase (EC 2.6.1.11)	rxn01637	AT1G80600		d	d	c			d	SUBA:GFP and MS data plastid; PPDB: plastid in house experiments.
Amino acids	Arginine metabolism and urea cycle	Argininosuccinate lyase (EC 4.3.2.1)	rxn00802	AT5G10920		d	d	c			d	SUBA: MS multiple data plastid; PPDB: plastid, in house experiments.
Amino acids	Arginine metabolism and urea cycle	Argininosuccinate synthase (EC 6.3.4.5)	rxn01434	AT4G24830		d	d	c			d	SUBA: MS multiple data plastid; PPDB: plastid, in house experiments.
Amino acids	Arginine metabolism and urea cycle	Carbamoyl-phosphate synthase large chain (EC 6.3.5.5)	rxn00414	AT1G29900		d	d	c		PMID:21265888	d	SUBA: MS multiple data plastid; PPDB: plastid, in house experiments.
Amino acids	Arginine metabolism and urea cycle	Carbamoyl-phosphate synthase small chain (EC 6.3.5.5)	rxn00414	AT3G27740		d	d	c		PMID:21265888	d	SUBA: MS multiple data plastid; PPDB: plastid, in house experiments.
