Arabidopsis Centroid	Function	Alyrata	Athaliana	Atrichopoda	Bdistachyon	Cclementina	Cgrandiflora	Cpapaya	Creinhardtii	Crubella	Csativus	Csinensis	CsubellipsoideaC169	Egrandis	Esalsugineum	Fvesca	Gmax	Graimondii	Lusitatissimum	Mdomestica	Mesculenta	Mguttatus	MspRCC299	Mtruncatula	Olucimarinus	Osativa	Ppatens	Ptrichocarpa	Pvulgaris	Rcommunis	Sbicolor	Sitalica	Slycopersicum	Smoellendorffii	Spolyrhiza	Stuberosum	Tcacao	Vcarteri	Vvinifera	Zmays
Athaliana|:|AT5G62575.2	Succinate dehydrogenase (ubiquinone) plant-specific subunit SDH7	496438					Cagra.4003s0045.1			Carubv10027971m	Cucsa.197150.1				Thhalv10005150m				Lus10042141, Lus10004231		cassava4.1_020000m, cassava4.1_020022m	Migut.D01788.1		Medtr3g078310.1				Potri.012G077100.1, Potri.015G072100.1	Phvul.009G181300.1, Phvul.009G150000.1	30147.m014001									GSVIVT01007813001	GRMZM2G122780_P01, GRMZM2G119950_P01
Athaliana|:|AT3G47833.1	Succinate dehydrogenase (ubiquinone) plant-specific subunit SDH7	906015		evm_27.model.AmTr_v1.0_scaffold00088.103	Bradi5g16680.2, Bradi4g29487.1	Ciclev10024649m	Cagra.13768s0005.1	evm.TU.contig_35589.2		Carubv10018302m		orange1.1g034253m		Eucgr.B00344.1	Thhalv10010853m	mrna09477.1-v1.0-hybrid	Glyma.06G185100.1, Glyma.04G179700.1	Gorai.008G297700.1	Lus10034122	MDP0000311406, MDP0000752388, MDP0000319405, MDP0000680670						LOC_Os09g21470.1	Phpat.007G032300.1				Sobic.002G190900.1	Si031661m	Solyc06g073360.2.1		Spipo0G0041500		Thecc1EG011992t1			
Athaliana|:|AT1G67730.1	Very-long-chain 3-oxoacyl-CoA reductase of elongase (EC 1.1.1.330)	475877		evm_27.model.AmTr_v1.0_scaffold00049.167, evm_27.model.AmTr_v1.0_scaffold00049.164, evm_27.model.AmTr_v1.0_scaffold00049.166	Bradi3g47840.1, Bradi1g43181.1, Bradi5g13760.1	Ciclev10033841m, Ciclev10032140m	Cagra.2261s0010.1	evm.model.supercontig_369.7, evm.model.supercontig_369.8		Carubv10020471m	Cucsa.394680.1	orange1.1g020854m, orange1.1g046244m	48005	Eucgr.H04717.1, Eucgr.B03234.1, Eucgr.H04704.1, Eucgr.H04715.1, Eucgr.H04707.1, Eucgr.H04705.1, Eucgr.H04702.1, Eucgr.H04703.1, Eucgr.H04708.1	Thhalv10018890m		Glyma.18G011600.1, Glyma.18G011500.1, Glyma.11G245700.1, Glyma.11G245600.1	Gorai.003G131700.1, Gorai.005G174100.1, Gorai.003G131200.1	Lus10006248, Lus10036940	MDP0000277678, MDP0000319474, MDP0000305808, MDP0000699158, MDP0000848695, MDP0000305623, MDP0000462822	cassava4.1_012002m, cassava4.1_011997m, cassava4.1_025074m	Migut.K01427.1, Migut.E00227.1, Migut.H00040.1, Migut.K00668.1		Medtr3g086210.1, Medtr3g086190.1	36064	LOC_Os06g19590.1, LOC_Os02g38440.1, LOC_Os06g19530.1, LOC_Os04g40730.1	Phpat.013G083100.1	Potri.010G052300.1, Potri.010G052400.1, Potri.008G181700.1	Phvul.001G257300.1, Phvul.001G257400.1	29929.m004766, 29929.m004763, 29929.m004767, 29929.m004765	Sobic.004G203900.1, Sobic.006G125600.1, Sobic.006G125800.1, Sobic.010G124300.1	Si017773m, Si010605m, Si012763m, Si030505m, Si010614m	Solyc02g093640.2.1	166350, 234639	Spipo7G0063400, Spipo4G0035000, Spipo7G0063000, Spipo7G0063800, Spipo7G0062700, Spipo7G0063200, Spipo7G0063700, Spipo7G0063500, Spipo7G0063100, Spipo7G0062800, Spipo7G0063300	PGSC0003DMP400022398	Thecc1EG010684t1, Thecc1EG010683t1		GSVIVT01000600001, GSVIVT01000603001, GSVIVT01000598001, GSVIVT01000597001	GRMZM2G087323_P01, AC205703.4_FGP006
Athaliana|:|AT1G22940.1	Hydroxymethylpyrimidine kinase (EC 2.7.1.49) / Hydroxymethylpyrimidine phosphate kinase ThiD (EC 2.7.4.7) / Thiamin-phosphate pyrophosphorylase (EC 2.5.1.3)	472545		evm_27.model.AmTr_v1.0_scaffold00071.97	Bradi4g40670.1	Ciclev10000782m	Cagra.0114s0010.1	evm.model.supercontig_31.103, evm.TU.contig_34456.1, evm.model.supercontig_31.102	Cre08.g365600.t1.2	Carubv10009472m	Cucsa.050460.1	orange1.1g010260m	2352	Eucgr.G00559.1	Thhalv10007358m	mrna11032.1-v1.0-hybrid	Glyma.08G188200.1, Glyma.12G169900.1	Gorai.013G038700.1	Lus10001365, Lus10015466	MDP0000632731, MDP0000245878, MDP0000301344, MDP0000252675, MDP0000135349, MDP0000132747, MDP0000128666	cassava4.1_004678m	Migut.B00813.1		Medtr2g006225.1, Medtr2g006350.1	17535	LOC_Os12g09000.1	Phpat.001G156900.1	Potri.003G017400.1, Potri.003G015700.1	Phvul.006G216300.1	28725.m000318, 32977.m000014	Sobic.008G067100.1	Si009759m	Solyc01g103950.2.1	132867	Spipo13G0019800	PGSC0003DMP400041143	Thecc1EG006934t1	Vocar20002249m	GSVIVT01023338001	GRMZM2G401934_P03
Athaliana|:|AT3G15730.1	Phospholipase D (EC 3.1.4.4)	479029		evm_27.model.AmTr_v1.0_scaffold00078.25	Bradi2g04480.2, Bradi1g60680.1, Bradi1g36580.1	Ciclev10024917m	Cagra.1336s0004.1	evm.model.supercontig_10.255		Carubv10012996m	Cucsa.162440.1, Cucsa.105380.1		38692	Eucgr.C01746.1	Thhalv10020083m	mrna31042.1-v1.0-hybrid, mrna32361.1-v1.0-hybrid, mrna11634.1-v1.0-hybrid	Glyma.13G364900.1, Glyma.06G068700.1, Glyma.08G211700.1, Glyma.15G008500.1		Lus10033706, Lus10031634	MDP0000196936, MDP0000233645, MDP0000280145	cassava4.1_001848m	Migut.K00452.1, Migut.I00777.1, Migut.E01798.1, Migut.K00450.1		Medtr3g107320.2, Medtr3g107360.1, Medtr2g103730.1		LOC_Os01g07760.2, LOC_Os03g27370.1, LOC_Os06g40170.1, LOC_Os06g40190.1, LOC_Os06g40180.1	Phpat.010G032800.1	Potri.006G253900.1, Potri.004G218900.1	Phvul.005G177200.1, Phvul.010G155000.1, Phvul.009G093400.1, Phvul.009G093500.1	29848.m004631, 29841.m002847	Sobic.008G183400.1, Sobic.001G349800.1, Sobic.003G050400.1, Sobic.009G062600.1	Si005868m, Si034266m, Si000337m, Si024724m, Si025978m	Solyc08g066790.2.1, Solyc12g011170.1.1, Solyc08g066800.2.1	165923, 82084, 441825		PGSC0003DMP400016959, PGSC0003DMP400016957	Thecc1EG037005t1		GSVIVT01017317001, GSVIVT01035853001, GSVIVT01015543001, GSVIVT01017316001	GRMZM2G019029_P01, GRMZM2G043340_P01, GRMZM2G054559_P01, GRMZM2G438378_P01, GRMZM2G442551_P01, GRMZM2G179792_P01, GRMZM2G061969_P01
Athaliana|:|AT5G25370.1	Phospholipase D (EC 3.1.4.4)	862932					Cagra.1110s0006.1			Carubv10000238m					Thhalv10003659m, Thhalv10003665m							Migut.N00739.1																		
Athaliana|:|AT1G52570.1	Phospholipase D (EC 3.1.4.4)	882914			Bradi2g34290.1	Ciclev10010712m	Cagra.4237s0011.1	evm.model.supercontig_259.1		Carubv10008323m	Cucsa.096440.1	orange1.1g003523m, orange1.1g004579m		Eucgr.C04222.1, Eucgr.F03862.1	Thhalv10011246m	mrna15700.1-v1.0-hybrid	Glyma.07G031100.1, Glyma.06G068600.1	Gorai.001G042400.1, Gorai.011G083000.1, Gorai.009G057800.1, Gorai.010G225600.1, Gorai.001G033300.1	Lus10039806, Lus10041787, Lus10018575	MDP0000274834, MDP0000300217	cassava4.1_026709m, cassava4.1_001860m	Migut.D01066.1		Medtr4g010650.1		LOC_Os05g07880.1	Phpat.020G053400.1, Phpat.023G027900.1, Phpat.008G029600.1, Phpat.007G078600.1, Phpat.020G053300.1	Potri.018G131200.1, Potri.001G193000.1, Potri.003G032800.1	Phvul.005G177300.1	28320.m001141	Sobic.005G222500.1, Sobic.010G185600.1		Solyc06g068090.2.1, Solyc03g116620.2.1		Spipo0G0089800	PGSC0003DMP400049710, PGSC0003DMP400001227, PGSC0003DMP400013832	Thecc1EG038087t1, Thecc1EG027158t2, Thecc1EG037006t1		GSVIVT01015542001	GRMZM2G029896_P01
Athaliana|:|AT1G80230.1	Cytochrome c oxidase subunit 5b	477231		evm_27.model.AmTr_v1.0_scaffold00042.10		Ciclev10026654m		evm.model.supercontig_10.219			Cucsa.300560.1	orange1.1g031107m		Eucgr.J03038.1	Thhalv10019226m	mrna11686.1-v1.0-hybrid, mrna06045.1-v1.0-hybrid	Glyma.15G010900.1, Glyma.07G032800.1, Glyma.08G209700.1, Glyma.13G362900.1	Gorai.N017100.1, Gorai.011G080500.1, Gorai.009G129600.1, Gorai.010G143500.1	Lus10011494	MDP0000186560	cassava4.1_017914m			Medtr2g103150.1	28952	LOC_Os01g42650.1	Phpat.022G062100.1		Phvul.005G174600.1	29841.m002797		Si025326m			Spipo0G0084200				GSVIVT01035815001	
Athaliana|:|AT3G15640.1	Cytochrome c oxidase subunit 5b	479016, 892286			Bradi1g51120.1, Bradi2g43320.1		Cagra.0946s0003.1, Cagra.1336s0013.1			Carubv10010443m, Carubv10014763m	Cucsa.096640.1		53359	Eucgr.F02551.1	Thhalv10021634m, Thhalv10021630m			Gorai.010G227300.1	Lus10023135, Lus10025745, Lus10035917	MDP0000174827, MDP0000174368	cassava4.1_017764m	Migut.I00805.1, Migut.D01052.1		Medtr4g011340.1		LOC_Os06g05080.1	Phpat.019G040800.1, Phpat.019G040700.1	Potri.003G060100.1, Potri.001G173800.1	Phvul.010G153300.1		Sobic.003G218400.1, Sobic.010G032600.1, Sobic.009G251600.1	Si024926m, Si007403m	Solyc06g067940.2.1, Solyc12g042900.1.1	418496	Spipo21G0005000	PGSC0003DMP400049865, PGSC0003DMP400049724	Thecc1EG047059t1		GSVIVT01017240001	GRMZM2G134738_P01, GRMZM2G338696_P06, GRMZM2G064753_P01
Athaliana|:|AT1G47420.1	Succinate dehydrogenase (ubiquinone) plant-specific subunit SDH5	473889		evm_27.model.AmTr_v1.0_scaffold00049.188	Bradi5g09750.1, Bradi1g50100.1	Ciclev10002311m	Cagra.0501s0002.1	evm.model.supercontig_8.57		Carubv10010154m	Cucsa.232700.1	orange1.1g026246m		Eucgr.F00243.1	Thhalv10011700m	mrna09076.1-v1.0-hybrid, mrna09071.1-v1.0-hybrid	Glyma.14G081700.1, Glyma.17G243600.1	Gorai.010G017800.1	Lus10042661, Lus10021742, Lus10009768, Lus10006480	MDP0000240442, MDP0000246877, MDP0000295921, MDP0000336599, MDP0000201288, MDP0000448621, MDP0000250376, MDP0000296656	cassava4.1_015116m, cassava4.1_030114m	Migut.D01835.1		Medtr1g019810.1		LOC_Os04g34100.1	Phpat.021G006900.1	Potri.014G032400.1	Phvul.001G020600.1	30170.m013906	Sobic.003G340700.1, Sobic.001G132100.1	Si002804m	Solyc04g079180.2.1, Solyc12g088900.1.1	439230	Spipo7G0038300	PGSC0003DMP400027058, PGSC0003DMP400014117	Thecc1EG033877t1		GSVIVT01009527001	GRMZM2G076524_P01, GRMZM2G146965_P01
Athaliana|:|AT3G02620.1	Probable acyl-ACP desaturase, Stearoyl-ACP desaturase (EC 1.14.19.2)				Bradi3g17670.1, Bradi1g72566.1																										Sobic.002G258500.1									
Athaliana|:|AT1G43800.1	Probable acyl-ACP desaturase, Palmitoyl-ACP 9-desaturase (EC 1.14.19.-)	891368			Bradi2g56850.1, Bradi4g32120.1	Ciclev10029890m, Ciclev10001443m		evm.model.supercontig_49.67		Carubv10012146m	Cucsa.077100.1	orange1.1g037659m		Eucgr.F02743.1	Thhalv10012283m, Thhalv10011783m	mrna32701.1-v1.0-hybrid	Glyma.14G121400.1, Glyma.13G038600.1	Gorai.009G284600.1, Gorai.003G093900.1	Lus10018926, Lus10028627	MDP0000126331, MDP0000233546, MDP0000610136	cassava4.1_009210m			Medtr3g090010.1, Medtr1g029150.1, Medtr3g090100.1, Medtr3g089025.1, Medtr3g090020.1		LOC_Os01g65830.1, LOC_Os08g09950.1		Potri.005G187600.1	Phvul.001G063500.1, Phvul.001G064100.1	27985.m000877	Sobic.003G377100.1	Si035756m, Si001818m, Si029999m	Solyc06g054670.1.1, Solyc06g059700.2.1, Solyc06g059710.2.1, Solyc06g059720.2.1		Spipo4G0091300	PGSC0003DMP400053604, PGSC0003DMP400053600, PGSC0003DMP400053602, PGSC0003DMP400066834, PGSC0003DMP400053603, PGSC0003DMP400053601	Thecc1EG035438t1		GSVIVT01010028001	GRMZM5G883417_P01
Athaliana|:|AT3G02630.1	Probable acyl-ACP desaturase, Stearoyl-ACP desaturase (EC 1.14.19.2)	477504		evm_27.model.AmTr_v1.0_scaffold00001.60	Bradi1g25010.1, Bradi3g43920.1	Ciclev10001456m, Ciclev10031784m, Ciclev10001415m, Ciclev10001459m	Cagra.1194s0040.1			Carubv10016203m		orange1.1g016462m, orange1.1g016490m, orange1.1g016230m, orange1.1g038880m			Thhalv10013733m, Thhalv10020875m	mrna21537.1-v1.0-hybrid					cassava4.1_009878m, cassava4.1_009202m, cassava4.1_011527m, cassava4.1_029631m						Phpat.012G060800.1, Phpat.010G071100.1, Phpat.004G033400.1, Phpat.003G111100.1	Potri.010G179400.1, Potri.T034100.1, Potri.008G077900.1, Potri.010G179500.1		29929.m004515			Solyc11g008680.1.1	272030, 418321, 416425, 411132, 108612, 231587		PGSC0003DMP400028382, PGSC0003DMP400028264	Thecc1EG017405t1, Thecc1EG023383t1	Vocar20010738m	GSVIVT01038149001	GRMZM2G073540_P01
Athaliana|:|AT5G16230.1	Probable acyl-ACP desaturase, Stearoyl-ACP desaturase (EC 1.14.19.2)	488473					Cagra.6845s0068.1			Carubv10001134m					Thhalv10013713m											LOC_Os08g10010.1					Sobic.007G071600.1, Sobic.010G235300.1	Si006571m		82227						GRMZM2G119305_P01
Athaliana|:|AT3G02610.1	Probable acyl-ACP desaturase, Stearoyl-ACP desaturase (EC 1.14.19.2)	871551					Cagra.1194s0041.1			Carubv10015903m																														
Athaliana|:|AT2G43710.2	Probable acyl-ACP desaturase, Stearoyl-ACP desaturase (EC 1.14.19.2)	903770		evm_27.model.AmTr_v1.0_scaffold00067.199, evm_27.model.AmTr_v1.0_scaffold00001.62, evm_27.model.AmTr_v1.0_scaffold00001.59, evm_27.model.AmTr_v1.0_scaffold00032.285	Bradi2g58930.1, Bradi5g07410.1	Ciclev10020487m	Cagra.3706s0061.1		Cre14.g630883.t1.1, Cre17.g701700.t1.2	Carubv10023356m	Cucsa.277640.1, Cucsa.394970.1	orange1.1g016050m	53735	Eucgr.H00304.1, Eucgr.H00296.1, Eucgr.H00294.1, Eucgr.K02580.1, Eucgr.K02579.1, Eucgr.H00298.1, Eucgr.L00008.1, Eucgr.H00301.1, Eucgr.H00297.1, Eucgr.H00307.1, Eucgr.K02583.1, Eucgr.H00306.1, Eucgr.H00305.1, Eucgr.H00295.1	Thhalv10001477m	mrna28815.1-v1.0-hybrid	Glyma.07G207200.1, Glyma.02G138100.1	Gorai.009G352200.1, Gorai.005G123300.1, Gorai.011G135100.1, Gorai.011G134800.1, Gorai.001G136700.1, Gorai.011G135200.1, Gorai.009G351900.1	Lus10039241, Lus10027486	MDP0000166468, MDP0000148102, MDP0000253638, MDP0000167510	cassava4.1_009173m, cassava4.1_009099m	Migut.N03062.1, Migut.F02090.1, Migut.G01174.1, Migut.N03061.1, Migut.F01841.1, Migut.G01169.1		Medtr4g087440.1, Medtr5g024130.1	15111	LOC_Os04g31070.1, LOC_Os03g30950.1, LOC_Os02g30200.1, LOC_Os01g69080.1	Phpat.012G008200.1, Phpat.004G084900.1, Phpat.013G019000.1	Potri.013G127300.1	Phvul.006G006500.1, Phvul.003G297200.1	28470.m000428, 29929.m004514, 30020.m000203	Sobic.006G048700.1, Sobic.003G404000.1, Sobic.004G153300.1, Sobic.001G265300.1	Si038622m, Si001758m, Si020063m, Si010296m	Solyc03g063110.2.1, Solyc06g053480.2.1	418337, 418317	Spipo0G0009200, Spipo9G0033500, Spipo32G0010700, Spipo5G0077600	PGSC0003DMP400028549, PGSC0003DMP400001861	Thecc1EG040800t1, Thecc1EG019858t1, Thecc1EG019861t1, Thecc1EG019859t1	Vocar20001721m	GSVIVT01038162001, GSVIVT01007184001, GSVIVT01038152001, GSVIVT01038175001, GSVIVT01006059001, GSVIVT01038172001	GRMZM2G003368_P02, GRMZM2G026793_P01, GRMZM2G180399_P01, GRMZM2G027673_P01, AC215690.3_FGP002, GRMZM5G852502_P01
Athaliana|:|AT5G16240.1	Probable acyl-ACP desaturase, Stearoyl-ACP desaturase (EC 1.14.19.2)	909604					Cagra.6845s0069.1			Carubv10001122m																														
Athaliana|:|AT5G49650.1	Xylulose kinase (EC 2.7.1.17)	495023		evm_27.model.AmTr_v1.0_scaffold00109.167	Bradi1g19920.1	Ciclev10000739m	Cagra.3474s0013.1	evm.model.supercontig_160.9	Cre07.g321100.t1.2	Carubv10026177m	Cucsa.005480.1	orange1.1g008692m	30441	Eucgr.F00471.1	Thhalv10013140m	mrna26907.1-v1.0-hybrid, mrna26910.1-v1.0-hybrid	Glyma.06G090400.1, Glyma.04G088400.1	Gorai.013G041400.1, Gorai.009G224700.1, Gorai.010G172000.1, Gorai.010G169800.1, Gorai.004G152700.1	Lus10007234, Lus10028235	MDP0000260087, MDP0000673678, MDP0000615027, MDP0000148702	cassava4.1_004778m, cassava4.1_017089m	Migut.C00423.1		Medtr3g110710.1		LOC_Os12g43664.1, LOC_Os07g44660.1	Phpat.004G036900.1, Phpat.013G054000.1	Potri.002G112000.1, Potri.019G077600.1	Phvul.009G114000.1	30170.m013631	Sobic.008G186500.1, Sobic.002G392700.1	Si025099m, Si029381m, Si021618m	Solyc04g077040.2.1, Solyc04g077030.2.1	125835	Spipo3G0108700	PGSC0003DMP400008776	Thecc1EG034608t1	Vocar20003181m	GSVIVT01009259001	GRMZM2G141510_P01
Athaliana|:|AT5G10160.1	3-hydroxyacyl-[acyl-carrier-protein] dehydratase, FabZ form (EC 4.2.1.59)	891940, 487843		evm_27.model.AmTr_v1.0_scaffold00010.193		Ciclev10026811m, Ciclev10029222m, Ciclev10030121m	Cagra.1085s0043.1	evm.model.supercontig_20.223	Cre03.g208050.t1.2	Carubv10001927m	Cucsa.145520.1, Cucsa.029490.1	orange1.1g027147m	53697	Eucgr.I02676.1	Thhalv10014496m		Glyma.15G052500.1, Glyma.05G118900.1, Glyma.08G073900.1, Glyma.05G118800.1			MDP0000232809, MDP0000157497, MDP0000299718, MDP0000164161, MDP0000606549	cassava4.1_015411m	Migut.B00624.1		Medtr2g008620.1	12372	LOC_Os05g36000.1	Phpat.023G037600.1, Phpat.024G034700.1	Potri.003G020300.1, Potri.001G209900.1	Phvul.002G207600.1, Phvul.006G207200.1	55600.m000024, 30200.m000354	Sobic.007G079600.1	Si024262m	Solyc01g105060.2.1	68476	Spipo10G0034500	PGSC0003DMP400022238		Vocar20005757m	GSVIVT01029788001, GSVIVT01006367001	GRMZM2G024482_P02, GRMZM2G055667_P01
Athaliana|:|AT2G22230.1	3-hydroxyacyl-[acyl-carrier-protein] dehydratase, FabZ form (EC 4.2.1.59)	481086			Bradi3g18310.1		Cagra.1393s0005.1			Carubv10024020m	Cucsa.029500.1				Thhalv10000316m, Thhalv10027997m	mrna16375.1-v1.0-hybrid	Glyma.08G179900.1	Gorai.011G112700.1, Gorai.003G044400.1	Lus10020419, Lus10015830	MDP0000322710, MDP0000202202, MDP0000170410				Medtr4g094265.1		LOC_Os08g12840.1	Phpat.014G029900.1				Sobic.009G150900.1	Si015973m					Thecc1EG046682t2		GSVIVT01006370001	
Athaliana|:|AT3G06350.1	3-dehydroquinate dehydratase I (EC 4.2.1.10) / Shikimate 5-dehydrogenase I alpha (EC 1.1.1.25)	477938		evm_27.model.AmTr_v1.0_scaffold00057.124, evm_27.model.AmTr_v1.0_scaffold00057.123, evm_27.model.AmTr_v1.0_scaffold00057.122	Bradi4g05897.1, Bradi2g13170.3	Ciclev10004711m, Ciclev10020342m, Ciclev10000874m	Cagra.24395s0005.1, Cagra.0922s0012.1	evm.model.supercontig_16.98	Cre08.g380201.t1.1	Carubv10013176m, Carubv10013287m	Cucsa.101380.1, Cucsa.250300.1	orange1.1g007151m, orange1.1g010050m, orange1.1g010101m	14592, 17823	Eucgr.H04428.1, Eucgr.J00263.1, Eucgr.H04427.1, Eucgr.H01214.1, Eucgr.B01770.1	Thhalv10020322m	mrna22235.1-v1.0-hybrid, mrna21109.1-v1.0-hybrid, mrna22244.1-v1.0-hybrid, mrna21107.1-v1.0-hybrid, mrna22236.1-v1.0-hybrid, mrna16394.1-v1.0-hybrid	Glyma.03G242400.1, Glyma.20G230300.1, Glyma.19G239800.1, Glyma.01G082200.1, Glyma.08G264000.1	Gorai.007G132000.1, Gorai.013G116200.1, Gorai.004G250400.1, Gorai.006G075100.1	Lus10012797, Lus10033981, Lus10001725, Lus10040908, Lus10004130	MDP0000193646, MDP0000158558, MDP0000189953, MDP0000709051, MDP0000951104, MDP0000189326, MDP0000279446, MDP0000193159, MDP0000124277, MDP0000123057, MDP0000306786, MDP0000170005, MDP0000186447, MDP0000176374, MDP0000283898	cassava4.1_030256m, cassava4.1_005332m, cassava4.1_004545m, cassava4.1_025923m, cassava4.1_008122m	Migut.L00292.1		Medtr4g090620.1, Medtr7g114190.1	39392	LOC_Os01g27750.1, LOC_Os12g34874.2, LOC_Os01g27760.1, LOC_Os01g27770.1	Phpat.003G094300.1	Potri.013G029800.1, Potri.T107000.1, Potri.010G020600.1, Potri.010G019000.1, Potri.013G029900.1, Potri.005G043400.1, Potri.014G135500.1, Potri.008G196100.1	Phvul.003G035000.1, Phvul.002G227400.1, Phvul.006G096400.1, Phvul.007G183800.1	30128.m008683, 30128.m008685, 29647.m002035, 30128.m008684, 29726.m003976	Sobic.003G169900.1, Sobic.008G116100.1, Sobic.008G116000.1	Si021701m, Si000995m, Si021763m	Solyc01g067750.2.1, Solyc06g084460.2.1, Solyc10g038080.1.1	233322	Spipo3G0042800	PGSC0003DMP400044433, PGSC0003DMP400041585, PGSC0003DMP400009377	Thecc1EG025936t1, Thecc1EG021117t2, Thecc1EG025933t3, Thecc1EG025937t1	Vocar20011054m	GSVIVT01021978001, GSVIVT01017822001, GSVIVT01021979001, GSVIVT01021977001	GRMZM5G804881_P01, GRMZM2G014376_P01, GRMZM2G314652_P02
Athaliana|:|AT2G44040.1	4-hydroxy-tetrahydrodipicolinate reductase (EC 1.17.1.8)	483522				Ciclev10020914m	Cagra.1517s0033.1		Cre14.g627850.t1.2	Carubv10023537m		orange1.1g024671m	11516		Thhalv10001534m				Lus10024047, Lus10041701			Migut.M00539.1				LOC_Os03g14120.1	Phpat.015G032300.1						Solyc01g098380.2.1	168311		PGSC0003DMP400049804	Thecc1EG024925t1	Vocar20001632m	GSVIVT01038260001	GRMZM2G090241_P01
Athaliana|:|AT3G59890.1	4-hydroxy-tetrahydrodipicolinate reductase (EC 1.17.1.8)	486453		evm_27.model.AmTr_v1.0_scaffold00066.89	Bradi3g11590.1, Bradi1g68380.1		Cagra.3527s0058.1	evm.model.supercontig_182.24		Carubv10017555m	Cucsa.007160.1				Thhalv10006083m	mrna31172.1-v1.0-hybrid	Glyma.07G060300.1, Glyma.16G028900.1	Gorai.007G347100.1, Gorai.001G202100.1		MDP0000265388	cassava4.1_012014m	Migut.M01184.1		Medtr8g028145.1	40454	LOC_Os02g24020.1		Potri.017G001900.1, Potri.007G145900.1	Phvul.001G003100.1, Phvul.010G108900.1	28266.m000195	Sobic.007G171200.1, Sobic.001G438600.1	Si040236m, Si018106m			Spipo3G0087300		Thecc1EG001303t1			GRMZM2G104575_P01
Athaliana|:|AT5G47760.1	Phosphoglycolate phosphatase (EC 3.1.3.18)	494186		evm_27.model.AmTr_v1.0_scaffold00061.217	Bradi2g40860.1	Ciclev10016051m	Cagra.15822s0002.1	evm.model.supercontig_27.211	Cre10.g438100.t1.2	Carubv10028554m	Cucsa.044500.1	orange1.1g022007m		Eucgr.E03838.1, Eucgr.L02395.1, Eucgr.E03837.1, Eucgr.E03839.1	Thhalv10000974m	mrna19847.1-v1.0-hybrid	Glyma.09G015500.1, Glyma.15G121300.1	Gorai.010G247900.1	Lus10039102, Lus10033024, Lus10038760, Lus10038761	MDP0000299401	cassava4.1_012605m	Migut.O00740.1		Medtr2g027270.1	5787	LOC_Os09g08660.1		Potri.016G004200.1	Phvul.006G136400.1	29358.m000046	Sobic.001G007000.1	Si030359m	Solyc04g015150.2.1		Spipo25G0019300	PGSC0003DMP400034302	Thecc1EG030458t1	Vocar20008980m, Vocar20002475m	GSVIVT01003477001	GRMZM2G417843_P01
Athaliana|:|AT5G36790.1	Phosphoglycolate phosphatase (EC 3.1.3.18)	493675		evm_27.model.AmTr_v1.0_scaffold00066.32	Bradi5g14210.1	Ciclev10012021m	Cagra.18326s0002.1	evm.model.supercontig_88.41	Cre03.g168700.t1.2, Cre06.g271400.t1.1	Carubv10005042m	Cucsa.356620.1	orange1.1g016293m	61099	Eucgr.B01439.1	Thhalv10027809m	mrna21533.1-v1.0-hybrid	Glyma.18G244900.1, Glyma.09G247900.1	Gorai.003G088000.1	Lus10042429, Lus10026241	MDP0000240000, MDP0000268323, MDP0000245346	cassava4.1_010432m	Migut.F01845.1		Medtr7g080530.1	33094	LOC_Os04g41340.1	Phpat.019G031200.1, Phpat.002G011400.1, Phpat.014G081000.1	Potri.010G180400.1, Potri.008G077400.1	Phvul.008G051700.1	29929.m004527	Sobic.006G130300.1	Si010403m	Solyc11g008620.1.1	417198	Spipo13G0020200	PGSC0003DMP400028271	Thecc1EG023152t1	Vocar20010097m	GSVIVT01005385001	GRMZM2G018441_P01
Athaliana|:|AT5G36700.1	Phosphoglycolate phosphatase (EC 3.1.3.18)																																							
