Class	Subsystem	Role	Reactions	Genes	AraCyc Cmpts	SUBA Cmpts	PPDB Cmpts	AraGEM Cmpts	Lit. Cmpts	Reference	Consensus location	Notes	
Central Carbon	Calvin-Benson-Bassham cycle	Phosphoglycerate kinase (EC 2.7.2.3)	rxn01100	AT3G12780		"c, d"	d	c			"c, d"	"SUBA: GFP and MS cytosol and plastid; PPDB: proteomes, in house experiments and targetP plastid; Predotar and WolfPsort: plastid; Has signal peptide"	
Central Carbon	Calvin-Benson-Bassham cycle	Triosephosphate isomerase (EC 5.3.1.1)	rxn27386	AT2G21170	d	"c, d, m"	"d, m"	d		PMID:20097871	"c, d"	"SUBA: GFP plastid and cytosol; MS: plastid, cytosol and mito; PPDB: curated plastid and mito; Predotar: mainly plastid; WolfPsort: chlo: 12.5, chlo_mito: 7.5; No signal peptide"	
Central Carbon	Calvin-Benson-Bassham cycle	Ribose 5-phosphate isomerase A (EC 5.3.1.6)	rxn00777	AT1G71100		"c, n"	c	c		PMID:17059404	"c, n"	"SUBA: GFP cytosol and nucleous; PPDB: curated and targetP cytosol; Predotar: elsewhere; WolfPsort: cyto: 10, chlo: 2, plas: 2; No signal peptide
"	
Central Carbon	Calvin-Benson-Bassham cycle	Ribose 5-phosphate isomerase A (EC 5.3.1.6)	rxn00777	AT2G01290		"c, n"	c	c		PMID:19744161	"c, n"	"SUBA: GFP cytosol and nucleous; PPDB: curated and targetP cytosol; Predotar: elsewhere; WolfPsort:  cyto: 10, chlo: 2, cysk: 2; No signal peptide
"	
Central Carbon	Rubisco shunt	"2,3-bisphosphoglycerate-independent phosphoglycerate mutase (EC 5.4.2.12)"	rxn01106	AT3G30841			c				c	"PPDB: targetP cytosol; Predotar: elsewhere; WolfPsort: cyto: 10, pero: 3; No signal peptide
"	
Central Carbon	Rubisco shunt	"2,3-bisphosphoglycerate-independent phosphoglycerate mutase (EC 5.4.2.12)"	rxn01106	AT4G09520			c				c	"PPDB: targetP cytosol; Predotar and WolfPsort: cytosol; No signal peptide
"	
Central Carbon	Rubisco shunt	"2,3-bisphosphoglycerate-independent phosphoglycerate mutase (EC 5.4.2.12)"	rxn01106	AT3G08590				c		"PMID:21813794
"	c	"SUBA: MS cytosol and plasma membrane; PPDB: not plastid in house experiments and targetP predicted: cytosol; Predotar: elsewhere, WolfPsort: cyto: 10, pero: 3; No signal peptide"	
Central Carbon	Rubisco shunt	Pyruvate kinase (EC 2.7.1.40)	rxn00148	AT2G36580			c	"c, d"			c	"SUBA: uncertain; PPDB: targetP predicted cytosol; Predotar: elsewhere; WolfPsort: cyto: 10, chlo: 3. No signal peptide"	
Central Carbon	Rubisco shunt	Pyruvate kinase (EC 2.7.1.40)	rxn00148	AT3G04050			c	"c, d"			c	"PPDB: targetP cytosol; Predotar: elsewhere and plastid; WolfPsort: chlo: 5.5, cyto: 4, chlo_mito: 3.5, nucl: 3; No signal peptide
"	
Central Carbon	Rubisco shunt	Pyruvate kinase (EC 2.7.1.40)	rxn00148	AT3G52990				"c, d"			c	"SUBA: MS 2 results plasma membrane but no intra membrane sections by TMHMM result; PPDB: not plastid supported in house experiments; Predotar: elsewhere; WolfPsort: cyto: 7, chlo: 5, pero: 1; No signal peptide"	
Central Carbon	Rubisco shunt	Pyruvate kinase (EC 2.7.1.40)	rxn00148	AT3G55650			c	"c, d"		PMID:12953116	c	"PPDB: curated and targetP cytosol; Predotar: plastid and elsewhere; WolfPsort: cyto: 6, nucl: 4, chlo: 3.5, chlo_mito: 2.5; No signal peptide. Lit: Enzyme in cytosol but associated with outer mito membrane,[PMID:12953116]
"	
Central Carbon	Rubisco shunt	Pyruvate kinase (EC 2.7.1.40)	rxn00148	AT3G55810			m	"c, d"			c	"PPDB: targetP mito; Predotar: mainly elsewhere; WolfPsort: chlo: 7, cyto: 4, nucl: 2; No signal peptide"	
Central Carbon	Rubisco shunt	Pyruvate kinase (EC 2.7.1.40)	rxn00148	AT4G26390			c	"c, d"			c	"PPDB: targetP cytoplasm; Predotar: mainly elsewhere; WolfPsort: chlo: 7, cyto: 5, nucl: 1;  No signal peptide"	
Central Carbon	Rubisco shunt	Pyruvate kinase (EC 2.7.1.40)	rxn00148	AT5G08570			c	"c, d"			c	"PPDB: curated location and targetP cytosol; Predotar: elsewhere; WolfPsort:  cyto: 10, chlo: 2, cysk: 2; No signal peptide"	
Central Carbon	Rubisco shunt	Pyruvate kinase (EC 2.7.1.40)	rxn00148	AT5G56350			c	"c, d"			c	"PPDB: targetP cytosol; Predotar: elsewhere and mito; WolfPsort: chlo: 10, E.R.: 4; No signal peptide"	
Central Carbon	Rubisco shunt	Pyruvate kinase (EC 2.7.1.40)	rxn00148	AT5G63680			c	"c, d"			c	PPDB: curated and targetP cytosolic; Predotar and WolfPsort cytosol; No signal peptide	
Central Carbon	Rubisco shunt	Ribulose-phosphate 3-epimerase (EC 5.1.3.1)	rxn01116	AT1G63290				c			c	"SUBA: MS one result each cytosol and plasma membrane; PPDB: targetP secreted; Predotar: elsewhere; WolfPsort: cyto: 8, chlo: 4, nucl: 1.5, cysk_nucl: 1.5; No signal peptide"	
Central Carbon	Rubisco shunt	Ribulose-phosphate 3-epimerase (EC 5.1.3.1)	rxn01116	AT3G01850				c			c	"PPDB: targetP secreted; Predotar: elsewhere; WolfPsort: cyto: 9, chlo: 2, nucl: 1.5, cysk_nucl: 1.5; No signal peptide"	
Central Carbon	Rubisco shunt	"2,3-bisphosphoglycerate-independent phosphoglycerate mutase (EC 5.4.2.12)"	rxn01106	AT1G09780		d	c	c		PMID:12953116	"c, d"	"SUBA: MS cytosol, plasma membrane and plastid; PPDB: curated cytosol [PMID:12953116] (outside mito) and targetP predicted idem; Predotar elsewhere; WolfPsort:  cyto: 9, chlo: 3, mito: 1; No signal peptide"	
Central Carbon	Rubisco shunt	Pyruvate kinase (EC 2.7.1.40)	rxn00148	AT3G25960			m	"c, d"			"c, d"	"PPDB: targetP mito; Predotar: plastid and elsewhere; WolfPsort: nucl: 6, chlo: 4.5, cyto: 3, chlo_mito: 3; No signal peptide; Location very uncertain "	
Central Carbon	Rubisco shunt	Enolase (EC 4.2.1.11)	rxn00459	AT1G74030	d	"c, d, n"	d	"c, d"		PMID:19223001	"c, d, n"	"SUBA: GFP: cytosol, nucleous and plastid. MS majority plastid. PPDB: curated and targetP plastid; Predotar: elsewhere, mito and plastid; WolfPsort: chlo: 6.5, chlo_mito: 4.5, cyto: 3, pero: 2, mito: 1.5; No signal peptide"	
Central Carbon	Rubisco shunt	Enolase (EC 4.2.1.11)	rxn00459	AT2G29560		"c, n"	c	"c, d"		PMID:20002588	"c, n"	"SUBA: GFP cytosol and nucleous; PPDB: curated and targetP cytosol; Predotar: elsewhere; WolfPsort:  cyto: 8, nucl: 3, chlo: 2; No signal peptide
"	
Central Carbon	Rubisco shunt	Enolase (EC 4.2.1.11)	rxn00459	AT2G36530		"c, n"	"c, n"	"c, d"		PMID:12032082 	"c, n"	"SUBA: GFP: cytosol and nucleous, MS: plasma membrane and vacuole; Predotar: elsewhere and mito; WolfPsort: cyto: 6.5, chlo: 4, cyto_nucl: 4, E.R.: 2; No signal peptide. Has intra membrane section TMHMM result, hence it could be attached to plasma membrane and active in the cytosol region;  Lit: Enzyme in cytosol but associated with outer mito membrane, determined by GFP [PMID:12953116]
"	
Central Carbon	Rubisco shunt	Ribose 5-phosphate isomerase A (EC 5.3.1.6)	rxn00777	AT1G71100		"c, n"	c	c		PMID:17059404	"c, n"	"SUBA: GFP cytosol and nucleous; PPDB: curated and targetP cytosol; Predotar: elsewhere; WolfPsort: cyto: 10, chlo: 2, plas: 2; No signal peptide
"	
Central Carbon	Rubisco shunt	Ribose 5-phosphate isomerase A (EC 5.3.1.6)	rxn00777	AT2G01290		"c, n"	c	c		PMID:19744161	"c, n"	"SUBA: GFP cytosol and nucleous; PPDB: curated and targetP cytosol; Predotar: elsewhere; WolfPsort:  cyto: 10, chlo: 2, cysk: 2; No signal peptide
"	
Central Carbon	Acetyl-CoA biosynthesis	Pyruvate decarboxylase (EC 4.1.1.1)	"rxn00011, rxn00168"	AT5G01320			c			 	"c, b"	"PPDB: targetP cytosol; Predotar: elsewhere; WolfPsort: cysk: 6, cyto: 5, plas: 1, vacu: 1; Has signal peptide. Has intra membrane section according to TMHMM result"	
Central Carbon	Acetyl-CoA biosynthesis	Pyruvate decarboxylase (EC 4.1.1.1)	"rxn00011, rxn00168"	AT5G54960		b	c			PMID:21952135	"c, b"	"SUBA: MS plasma membrane (2 results); PPDB: targetP cytosol; Predotar: elsewhere; Wolfpsort: cysk: 7, cyto: 3, plas: 2, E.R.: 1; Has signal peptide. Has intra membrane section according to TMHMM result"	
Central Carbon	Acetyl-CoA biosynthesis	Pyruvate decarboxylase (EC 4.1.1.1)	"rxn00011, rxn00168"	AT4G33070			c			 	"c, b, v"	"SUBA: MS one result each plasma membrane, vacuole and cytosol; PPDB: targetP cytosol; Predotar: elsewhere; WolfPsort: cysk: 7, E.R.: 4, cyto: 2; No signal peptide. Has intra membrane section according to TMHMM result. Identified as membrane protein [PMID:17432890]"	
Central Carbon	Acetyl-CoA biosynthesis	"ATP-citrate (pro-S-)-lyase, subunit 1 (EC 2.3.3.8)"	rxn00257	AT1G09430			c	"c, m, d"	c	PMID:12376641	c	"SUBA: MS cytosol, vacuole, golgi, plastid, hence uncertain. PPDB: curated and targetP cytosol; Predotar: elsewhere and mito; WolfPsort: chlo: 6, mito: 3, nucl: 2, cyto: 2; No signal peptide. Lit: cytosol [PMID:12376641]"	
Central Carbon	Acetyl-CoA biosynthesis	"ATP-citrate (pro-S-)-lyase, subunit 1 (EC 2.3.3.8)"	rxn00257	AT1G10670			c	"c, m, d"	c	PMID:12376641	c	"SUBA: MS cytosol, vacuole, golgi, hence uncertain. PPDB: curated and targetP cytosol; Predotar: elsewhere and mito; WolfPsort: cyto: 5, chlo: 3, mito: 3, nucl: 2; No signal peptide. Lit: cytosol [PMID:12376641]"	
Central Carbon	Acetyl-CoA biosynthesis	"ATP-citrate (pro-S-)-lyase, subunit 1 (EC 2.3.3.8)"	rxn00257	AT1G60810			c	"c, m, d"	c	PMID:12376641	c	"PPDB: curated and targetP cytosol; Predotar: elsewhere and mito; WolfPsort: cyto: 4, mito: 4, chlo: 3, nucl: 3; No signal peptide. Lit: cytosol [PMID:12376641]"	
Central Carbon	Acetyl-CoA biosynthesis	"ATP-citrate (pro-S-)-lyase, subunit 2 (EC 2.3.3.8)"	rxn00257	AT3G06650			c	"c, m, d"	c	PMID:12376641	c	"SUBA: MS cytosol 2 results, plasma membrane 2 results. PPDB: curated cytosol and targetP mito; Predotar: elsewhere; WolfPsort: chlo: 9, nucl: 2, cyto: 1, mito: 1; No signal peptide. Has small membrane section [TMHMM result]; Lit: cytosol [PMID:12376641]"	
Central Carbon	Acetyl-CoA biosynthesis	"ATP-citrate (pro-S-)-lyase, subunit 2 (EC 2.3.3.8)"	rxn00257	AT5G49460		b	c	"c, m, d"	c	PMID:12376641	c	"SUBA: MS cytoskeleton and 2 results plasma membrane. PPDB: curated cytosol and targetP mito; Predotar: elsewhere; WolfPsort: chlo: 10.5, chlo_mito: 6.5, mito: 1.5; No signal peptide. Has small membrane section [TMHMM result]; Lit: cytosol [PMID:12376641]"	
Central Carbon	Acetyl-CoA biosynthesis	L-lactate dehydrogenase (EC 1.1.1.27)	rxn00499	AT4G17260			d	c	b		c	"SUBA: MS one result each cytosol, mito, plasma membrane, extracellular, hence uncertain; PPDB: targetP plastid; Predotar: elsewhere; WolfPsort: chlo: 7, cyto: 4, nucl: 1, pero: 1; No signal peptide. Peripheral plasma membrane [PMID:17644812]"	
Central Carbon	Acetyl-CoA biosynthesis	Aldehyde dehydrogenase (NAD+) (EC 1.2.1.3)		AT1G44170  			c				c	"SUBA: MS 3 results vacuole; 3 results plasma membrane; 2 results ER, 2 results golgi; Hence uncertain; PPDB: targetP cytosol; Predotar: elsewhere; WolfPsort: cyto: 10, chlo: 3; No signal peptide"	
Central Carbon	Acetyl-CoA biosynthesis	Aldehyde dehydrogenase (NAD+) (EC 1.2.1.3)		AT1G54100 		c	c			PMID:15830124 	c	"SUBA: GFP and MS: cytosol; PPDB: curated and targetP cytosol; Predotar: elsewhere; WolfPsort: plas: 4, E.R.: 3, chlo: 2, nucl: 2, cyto: 2; No signal peptide. Has intra membrane section [TMHMM result]"	
Central Carbon	Acetyl-CoA biosynthesis	Aldehyde dehydrogenase (NAD+) (EC 1.2.1.3)		AT4G36250			c				c	"SUBA: MS 2 results each for ER and plasma membrane,  but it has no intra membrane structure, so it is not clear; PPDB: targetP cytosol; Predotar: elsewhere; WolfPsort: cyto: 7, nucl: 2, cysk: 2, chlo: 1, plas: 1; No signal peptide"	
Central Carbon	TCA cycle	Pyruvate decarboxylase (EC 4.1.1.1)	"rxn00011, rxn00168"	AT5G01320			c			 	"c, b"	"PPDB: targetP cytosol; Predotar: elsewhere; WolfPsort: cysk: 6, cyto: 5, plas: 1, vacu: 1; Has signal peptide. Has intra membrane section according to TMHMM result"	
Central Carbon	TCA cycle	Pyruvate decarboxylase (EC 4.1.1.1)	"rxn00011, rxn00168"	AT5G54960		b	c			PMID:21952135	"c, b"	"SUBA: MS plasma membrane (2 results); PPDB: targetP cytosol; Predotar: elsewhere; Wolfpsort: cysk: 7, cyto: 3, plas: 2, E.R.: 1; Has signal peptide. Has intra membrane section according to TMHMM result"	
Central Carbon	TCA cycle	Pyruvate decarboxylase (EC 4.1.1.1)	"rxn00011, rxn00168"	AT4G33070			c			 	"c, b, v"	"SUBA: MS one result each plasma membrane, vacuole and cytosol; PPDB: targetP cytosol; Predotar: elsewhere; WolfPsort: cysk: 7, E.R.: 4, cyto: 2; No signal peptide. Has intra membrane section according to TMHMM result
Identified as membrane protein [PMID:17432890]
"	
Central Carbon	TCA cycle	Fumarate hydratase class II (EC 4.2.1.2)	rxn00799	AT5G50950		"c, m"	m		c	PMID:20202172	c	"SUBA: GFP cytosol; MS mito multiple results; PPDB: curated mito; TargetP cytosol; Predotar: elsewhere; WolfPsort: nucl: 4, cyto: 3, cysk: 3, pero: 2, chlo: 1  No signal peptide."	
Central Carbon	TCA cycle	Isocitrate dehydrogenase [NAD] (EC 1.1.1.41)	rxn27955	AT1G32480			c	m			c	"PPDB: targetP: cytosol; Predotar: elsewhere; WolfPsort: cyto: 6, chlo: 5, plas: 2; No signal peptide
"	
Central Carbon	TCA cycle	Malate dehydrogenase (EC 1.1.1.37)	rxn20068	AT1G04410		"d, v"	c	"d, m, x"			c	"SUBA: plastid, vacuole and plasma membrane multiple results; According TMHMM results no membrane section; PPDB: curated and target P cytosol; Predotar: elsewhere; WolfPsort:  cyto: 6, chlo: 4.5, chlo_mito: 3, nucl: 1, vacu: 1; No signal peptide"	
Central Carbon	TCA cycle	Malate dehydrogenase (EC 1.1.1.37)	rxn20068	AT5G43330			c	"d, m, x"	c	PMID:21798377	c	"PPDB: targetP cytosol; Predotar: elsewhere; WolfPsort: cyto: 7, chlo: 3.5, chlo_mito: 2.5, nucl: 1, plas: 1; No signal peptide. Cytosolic [PMID:21798377]"	
Central Carbon	TCA cycle	Malate dehydrogenase (EC 1.1.1.37)	rxn20068	AT5G56720			c	"d, m, x"			c	"PPDB: targetP cytosol; Predotar: elsewhere; WolfPsort: cyto: 11, chlo: 1, pero: 1; No signal peptide"	
Central Carbon	TCA cycle	Aconitate hydratase (EC 4.2.1.3)	"rxn00974, rxn15280"	AT2G05710		"d, m"	"c, m"				"c, d, m"	SUBA: GFP and MS mito and plastid; PPDB: curated mito and cytosol; TargetP chloroplast; Predotar and WolfPsort: plastid; No signal peptide	
Central Carbon	TCA cycle	Aconitate hydratase (EC 4.2.1.3)	"rxn00974, rxn15280"	AT4G35830		"c, m"	"c, m"			PMID:17437406	"c, m"	"SUBA: GFP cytosol; MS mito 3 results; PPDB: curated: mito and cytosol; targetP: cytosol; Predotar: elsewhere; WolfPsort: cyto: 7, chlo: 2, mito: 2, nucl: 1, pero: 1; No signal peptide"	
Central Carbon	Photorespiration (oxidative_C2_cycle)	Serine hydroxymethyltransferase (EC 2.1.2.1)	rxn19870	AT1G22020		c	c	m			c	SUBAcon: cytosol predicited; PPDB: targetP cytosol predicted. No signal peptide according to signal 3L; predotar predicts elsewhere (not chloroplast or mito) Where does AraGEM get data to say it is mitochondrial?	
Central Carbon	Photorespiration (oxidative_C2_cycle)	Serine hydroxymethyltransferase (EC 2.1.2.1)	rxn19870	AT1G36370		c		m			c	SUBAcon mitochondrial prediction; SUBA: MS data puts it in cytoskeleton; PPDB: targetP predicts chloroplast location. No signal peptide according to signal 3L; Predotar predicts elsewhere (not chloroplast or mito) 	
Central Carbon	Photorespiration (oxidative_C2_cycle)	Serine hydroxymethyltransferase (EC 2.1.2.1)	rxn19870	AT4G13890		c	c	m			c	SUBAcon cytosol; PPDB: targetP prediciton cytosolic; No signal peptide according to signal 3L	
Central Carbon	Photorespiration (oxidative_C2_cycle)	Serine hydroxymethyltransferase (EC 2.1.2.1)	rxn19870	AT4G13930		c	c	m			c	SUBA: MS data plasma membrane location; TMHMM clasifies it as no membrane protein. PPDB: targetP predicition cytosolic and no plastid according to inhouse experiments;	
Central Carbon	Photorespiration (oxidative_C2_cycle)	Phosphoglycolate phosphatase (EC 3.1.3.18)	rxn19871	AT5G36790		"c, d, n"	d	d			"c, d, n"	"SUBA: GFP: cytosol and nucleous; MS plastid, multiple results; PPDB: plastid, curated, in house experiments and targetP; Predotar: plastid, mito and elsewhere; WolfPsort: chlo: 12, nucl: 1; has signal peptide "	
Central Carbon	Photorespiration (oxidative_C2_cycle)	Serine hydroxymethyltransferase (EC 2.1.2.1)	rxn19870	AT4G37930		"c, m, d"	m	m			"c, m, d"	"SUBA: GFP cytosol and mito; MS data plasma membrane; mito and plastid; PPDB: mito; According to signal 3L peptide does not have signal, so analyzing the other data probably is in several locations"	
Amino acids	"Alanine, serine, glycine metabolism"	D-serine dehydratase (EC 4.3.1.18) 	rxn00166	AT4G11640		c	c			PMID:18546053	c	SUBAcon: cytosolic; PPDB: targetP predicted cytosolic; Signal-3L: enzyme lacks signal peptide.	
Amino acids	"Alanine, serine, glycine metabolism"	Low-specificity L-threonine aldolase (EC 4.1.2.48) 	rxn00541	AT1G08630		c	c			PMID:17172352	c	SUBAcon: cytosol;PPDB: predicted cytosolic by TargetP; Predotar: cytosolic; Signal 3-L: no signal peptide	
Amino acids	"Alanine, serine, glycine metabolism"	Low-specificity L-threonine aldolase (EC 4.1.2.48)	rxn00541	AT3G04520		c	c			PMID:17172352	c	SUBAcon: cytosol; MS data one only for plastid and vacuole. PPDB: TargetP predicts cytoplasm; Predotar: cytosol and Signal 3-L no signal peptide. Probably cytosolic.	
Amino acids	"Alanine, serine, glycine metabolism"	Serine hydroxymethyltransferase (EC 2.1.2.1) 	rxn19870	AT1G22020		c	c	m			c	"SUBAcon: cytosol; PPDB targetP predicted cytosol; Signal 3-L no signal peptide; Predotar, not mitochondria"	
Amino acids	"Alanine, serine, glycine metabolism"	Serine hydroxymethyltransferase (EC 2.1.2.1) 	rxn19870	AT1G36370		c	d	m			c	"SUBA: MS cytoskeleton, one result; Predotar elsewhere, contradicts Wolfpsort chloroplast but signal 3_L says no signal peptide, so we will assume it is cytosolic"	
Amino acids	"Alanine, serine, glycine metabolism"	Serine hydroxymethyltransferase (EC 2.1.2.1) 	rxn19870	AT4G13890		c	c	m			c	"SUBAcon: cytosolic: PPDB: targetP cytosol. Predotar no mito, WolfPsort cytoskeleton; signal 3-L no signal peptide"	
Amino acids	"Alanine, serine, glycine metabolism"	Serine hydroxymethyltransferase (EC 2.1.2.1) 	rxn19870	AT4G13930		c		m	c	PMID:10806255; PMID:23800877	c	"GFP showed is cytosolic [PMID:23800877] SUBA: 2 cytosol, 3 plasma membrane"	
Amino acids	"Alanine, serine, glycine metabolism"	Serine racemase (EC 5.1.1.18) 	rxn00425	AT4G11640		c	c			PMID:18546053	c	SUBAcon: cytosolic; PPDB: targetP predicted cytosolic; Signal-3L: enzyme lacks signal peptide.	
Amino acids	"Alanine, serine, glycine metabolism"	Alanine transaminase (EC 2.6.1.2) 	rxn00191	AT1G17290	c	"c, d, m"	m	"c, x"			"c, d, m"	SUBA: GFP : cytosolic; MS data mito and plastid; PPDB: mito predicted	
Amino acids	"Alanine, serine, glycine metabolism"	"Cysteine desulfurase (EC 2.8.1.7), IscS subfamily"	"rxn17731, rxn28649"	AT5G65720		"c, m"	m			PMID:22511606	"c, m"	SUBA: GFP cytosol and mito; MS multiple data mito; PPDB: mito curated	
Amino acids	"Alanine, serine, glycine metabolism"	Serine hydroxymethyltransferase (EC 2.1.2.1)	rxn19870	AT4G37930		"c, d, m"	m	m	m	PMID:10806255 	"c, d, m"	"Photorespiration enzyme; SUBA: GFP cytosol and mito; MS data plasma membrane, mito and plastid. mitochondrial PPDB and [PMID:23800877]; "	
Amino acids	Arginine metabolism and urea cycle	Acetylornithine deacetylase (EC 3.5.1.16)	rxn00469	AT4G17830		c	c	c		PMID:21166475	c	SUBA: 1 result MS cytosol; PPDB: cytosol targetP predicition and not in plastid supported by in house experiments. 	
Amino acids	Arginine metabolism and urea cycle	Urease (EC 3.5.1.5)		AT1G67550 		c	c			PMID:16244137	c	SUBAcon: cytosol; PPDB: targetP cytoplasm.	
Amino acids	Beta alanine biosynthesis	Beta-ureidopropionase (EC 3.5.1.6)	rxn00654	AT5G64370		c	c			PMID:19413687	c	"PPDB: Curated and targetP predicted cytosol; Predotar: elsewhere; WolfPsort: nucl: 4, cyto: 4, cysk: 3, chlo: 1, pero: 1; No signal peptide"	
Amino acids	Branched-chain amino acid metabolism	Branched-chain amino acid aminotransferase (EC 2.6.1.42)	"rxn19240, rxn19241, rxn19242"	AT1G50090		c	c			PMID:22303262	c	SUBAcon: cytosol; TargetP cytoplasm; Predotar and WolfPsort cytoplasm; No signal peptide	
Amino acids	Branched-chain amino acid metabolism	Branched-chain amino acid aminotransferase (EC 2.6.1.42)	"rxn19240, rxn19241, rxn19242"	AT1G50110		c	c			PMID:25851613 	c	SUBA: GFP cytosol; targetP cytoplasm	
Amino acids	Branched-chain amino acid metabolism	Threonine dehydratase biosynthetic (EC 4.3.1.19)	rxn00737	AT3G10050		d	d	c		PMID:19571310	"c, d, m"	"SUBAcon: plastid; MS data one golgi, one plastid. PPDB: proteome curated and targetP plastid. Predotar: elswhere 60%, plastid 30%. chlo: 11, mito: 3; No signal peptide."	
Amino acids	Branched-chain amino acid metabolism	Methionine gamma-lyase (EC 4.4.1.11)		AT1G64660		c	c			PMID:19571310	"c, m"	"SUBAcon: cytosol; PPDB: targetP: cytosol; Predotar: elsewhere; WolfPsort: cyto: 7, mito: 4, pero: 2; Does have signal peptide."	
Amino acids	Chorismate biosynthesis	Shikimate kinase I (EC 2.7.1.71)	rxn01739	AT2G21940			c	c			"c, d"	"PPDB: TargetP cytosol; Predotar: elsewhere and plastid; WolfPsort: cyto: 6, chlo: 4, nucl: 3; No signal peptide"	
Amino acids	"Glutamine, glutamate, aspartate, asparagine metabolism"	Asparagine synthetase [glutamine-hydrolyzing] (EC 6.3.5.4)	rxn00416	AT3G47340		c	c	c		PMID:7846154	c	SUBAcon: cytosol; PPDB: targetP cytosolic; Predotar: elsewhere; Signal 3-L: no signal peptide	
Amino acids	"Glutamine, glutamate, aspartate, asparagine metabolism"	Asparagine synthetase [glutamine-hydrolyzing] (EC 6.3.5.4)	rxn00416	AT5G10240		c	c	c		PMID: 9881155	c	SUBA: One MS data cytosol; PPDB: targetP cytosolic.	
Amino acids	"Glutamine, glutamate, aspartate, asparagine metabolism"	Asparagine synthetase [glutamine-hydrolyzing] (EC 6.3.5.4)	rxn00416	AT5G65010		"c, g, v"		c		PMID:22789031	c	"SUBAcon: cytosol; MS data unclear: cytosol, Golgi and vacuole.PPDB: not plastid supported by in house experiments.Predptar: elsewhere. Signal 3-L no signal peptide."	
Amino acids	"Glutamine, glutamate, aspartate, asparagine metabolism"	Aspartate aminotransferase (EC 2.6.1.1)	"rxn00260, rxn00527"	AT1G62800		x	c	"c, d, m"	c	PMID:7894512	c	SUBAcon: peroxisome; PPDB: targetP cytoplasm; Predotar: cytoplasmic; Signal 3-L no signal peptide. Cytosolic: experimental data [PMID:7894512] 	
Amino acids	"Glutamine, glutamate, aspartate, asparagine metabolism"	Aspartate aminotransferase (EC 2.6.1.1) 	"rxn00260, rxn00527"	AT5G19550	c	c	c	"c, d, m"	c	PMID:21676488	c	"SUBA: SUBAcon cytosol, GFP unclear; MS several different compartments; PPDB: curated cytosolic; Experimental data cytosolic [PMID:7894512] "	
Amino acids	"Glutamine, glutamate, aspartate, asparagine metabolism"	"Glutamine synthetase type II, eukaryotic (EC 6.3.1.2)"	rxn00187	AT1G48470	c	"c, d"		"c, d"		No direct evidence	c	SUBA: MS two data plastid; PPDB: proteomes chloroplast stroma;TargetP cytosolic; Predotar cytosolic; Signal 3-L no signal peptide; Cytosolic [PMID:14757761]	
Amino acids	"Glutamine, glutamate, aspartate, asparagine metabolism"	"Glutamine synthetase type II, eukaryotic (EC 6.3.1.2)"	rxn00187	AT1G66200	c	"c, d"	c	"c, d"	c		c	"SUBA: cytosol, plasma membrane and plastid; PPDB: not plastid: Experimental cytosolic [PMID:14757761]"	
Amino acids	"Glutamine, glutamate, aspartate, asparagine metabolism"	"Glutamine synthetase type II, eukaryotic (EC 6.3.1.2)"	rxn00187	AT3G17820	c	"c,d"	c	"c, d"	c	PMID:14757761	c	SUBA: MS 4 data plastid; 2 data cytosol; PPDB: curation cytosol; TargetP cytosol; Predotar cytosol; Signal 3-L no signal peptide; Literature cytosol: [PMID:14757761]	
Amino acids	"Glutamine, glutamate, aspartate, asparagine metabolism"	"Glutamine synthetase type II, eukaryotic (EC 6.3.1.2)"	rxn00187	AT5G16570	c	c	c	"c, d"	c	PMID:14757761	c	SUBAcon: cytosol; PPDB: targetP cytoplasm; Literature cytosolic [PMID:14757761]	
Amino acids	"Glutamine, glutamate, aspartate, asparagine metabolism"	"Glutamine synthetase type II, eukaryotic (EC 6.3.1.2)"	rxn00187	AT5G37600	c	c	c	"c, d"		"PMID:14757761
"	c	SUBA: GFP and MS data cytosolic; PPDB: curated location cytosol.	
Amino acids	"Glutamine, glutamate, aspartate, asparagine metabolism"	Isocitrate dehydrogenase [NAD] (EC 1.1.1.41)	rxn27955	AT1G32480		c	c	m			c	"SUBAcon cytosol; PPDB: targetP predicted cytosol; Predotar, WolfPsort cytosolic; Signal 3-L no signal peptide"	
Amino acids	"Glutamine, glutamate, aspartate, asparagine metabolism"	NADP-specific glutamate dehydrogenase (EC 1.4.1.4)	rxn00184	AT1G51720		c	c				c	SUBAcon cytosol; PPDB: tragetP cytosolic; Predotar: elsewhere; WolfPsort nucleous and cytosolic; Signal 3-L no signal peptide	
Amino acids	"Glutamine, glutamate, aspartate, asparagine metabolism"	Phosphoenolpyruvate carboxylase (EC 4.1.1.31)	rxn20508	AT1G53310		c	c				c	"SUBA: plasma membrane; PPDB: targetP cytoplasm; TMHMM outside membrane; Predotar: elsewhere, WolfPsort: cytoplasm."	
Amino acids	"Glutamine, glutamate, aspartate, asparagine metabolism"	Phosphoenolpyruvate carboxylase (EC 4.1.1.31)	rxn20508	AT1G68750		c	c			"PMID:12805623
"	c	"SUBAcon: cytosol; PPDB: targetP cytoplasm. Predotar: elsewhere; WolfPsort nucleous, cytoplasm."	
