OG0006824	Athaliana_TAIR10||AT1G63970.1	2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase (EC 4.6.1.12) # plastid
OG0000074	Athaliana_TAIR10||AT1G66800.1	Uncurated
OG0000074	Athaliana_TAIR10||AT1G76470.1	Uncurated
OG0000074	Athaliana_TAIR10||AT1G25460.1	Uncurated
OG0000074	Athaliana_TAIR10||AT1G15950.1	Cinnamoyl-CoA reductase (EC 1.2.1.44)
OG0004115	Athaliana_TAIR10||AT5G67590.1	NADH dehydrogenase [ubiquinone] iron-sulfur protein 4 # mitointer
OG0004317	Athaliana_TAIR10||AT4G02620.1	V-type ATP synthase subunit F (EC 3.6.3.14) # vacuole
OG0007600	Athaliana_TAIR10||AT5G46180.1	Ornithine aminotransferase (EC 2.6.1.13) # mitochondria
OG0004463	Athaliana_TAIR10||AT3G51160.1	GDP-mannose 4,6-dehydratase (EC 4.2.1.47)
OG0004463	Athaliana_TAIR10||AT5G66280.1	GDP-mannose 4,6-dehydratase (EC 4.2.1.47)
OG0005063	Athaliana_TAIR10||AT4G25970.1	Phosphatidylserine decarboxylase (EC 4.1.1.65)
OG0005063	Athaliana_TAIR10||AT5G57190.1	Phosphatidylserine decarboxylase (EC 4.1.1.65)
OG0006430	Athaliana_TAIR10||AT4G20960.1	5-amino-6-(5-phosphoribosylamino)uracil reductase (EC 1.1.1.193) / Diaminohydroxyphosphoribosylaminopyrimidine deaminase (EC 3.5.4.26) # plastid
OG0007031	Athaliana_TAIR10||AT5G66380.1	10-Formyltetrahydrofolate transport / 5-Formyltetrahydrofolate transport / 5-Methylenetetrahydrofolate transport / 5-Methylenyltetrahydrofolate transport / 5-Methyltetrahydrofolate transport / Tetrahydrofolate transport # plastid
OG0005877	Athaliana_TAIR10||AT5G13420.1	Transaldolase (EC 2.2.1.2) # plastid
OG0006413	Athaliana_TAIR10||AT2G44520.1	Heme O synthase, protoheme IX farnesyltransferase (EC 2.5.1.-) COX10-CtaB
OG0004751	Athaliana_TAIR10||AT1G25210.1	UDP-3-O-[3-hydroxymyristoyl] N-acetylglucosamine deacetylase (EC 3.5.1.108)
OG0004751	Athaliana_TAIR10||AT1G24793.1	UDP-3-O-[3-hydroxymyristoyl] N-acetylglucosamine deacetylase (EC 3.5.1.108)
OG0004751	Athaliana_TAIR10||AT1G25145.1	UDP-3-O-[3-hydroxymyristoyl] N-acetylglucosamine deacetylase (EC 3.5.1.108)
OG0004751	Athaliana_TAIR10||AT1G25054.1	UDP-3-O-[3-hydroxymyristoyl] N-acetylglucosamine deacetylase (EC 3.5.1.108)
OG0007045	Athaliana_TAIR10||AT1G68010.2	NADH-dependent hydroxypyruvate reductase (EC 1.1.1.29) # plastid # peroxisome
OG0003485	Athaliana_TAIR10||AT1G67070.1	Mannose-6-phosphate isomerase (EC 5.3.1.8)
OG0003485	Athaliana_TAIR10||AT3G02570.1	Mannose-6-phosphate isomerase (EC 5.3.1.8)
OG0000737	Athaliana_TAIR10||AT5G47650.1	NUDIX hydrolase, NAD diphosphatase (EC 3.6.1.22)
OG0000737	Athaliana_TAIR10||AT4G25434.2	NADH pyrophosphatase (EC 3.6.1.22)
OG0000737	Athaliana_TAIR10||AT2G04440.1	Uncurated
OG0000737	Athaliana_TAIR10||AT2G04430.1	Uncurated
OG0000737	Athaliana_TAIR10||AT4G12720.4	NUDIX hydrolase, NAD diphosphatase (EC 3.6.1.22)
OG0000737	Athaliana_TAIR10||AT5G47240.1	Uncurated
OG0000737	Athaliana_TAIR10||AT2G04450.1	NUDIX hydrolase, NAD diphosphatase (EC 3.6.1.22)
OG0005038	Athaliana_TAIR10||AT1G52230.1	photosystem I subunit VI (PsaH) # plastid
OG0005038	Athaliana_TAIR10||AT3G16140.1	photosystem I subunit VI (PsaH) # plastid
OG0002708	Athaliana_TAIR10||AT1G11990.1	1-deoxy-D-xylulose 5-phosphate reductoisomerase (EC 1.1.1.267)
OG0002708	Athaliana_TAIR10||AT1G29200.2	Uncurated
OG0002708	Athaliana_TAIR10||AT1G62330.1	1-deoxy-D-xylulose 5-phosphate reductoisomerase (EC 1.1.1.267)
OG0004428	Athaliana_TAIR10||AT1G48850.1	Chorismate synthase (EC 4.2.3.5) # plastid
OG0002212	Athaliana_TAIR10||AT1G56190.1	Phosphoglycerate kinase (EC 2.7.2.3) # plastid
OG0002212	Athaliana_TAIR10||AT3G12780.1	Phosphoglycerate kinase (EC 2.7.2.3) # cytosol # plastid
OG0002212	Athaliana_TAIR10||AT1G79550.1	Phosphoglycerate kinase (EC 2.7.2.3) # cytosol
OG0002724	Athaliana_TAIR10||AT4G35260.1	Isocitrate dehydrogenase [NAD] regulatory subunit (EC 1.1.1.41) # mitochondria
OG0002724	Athaliana_TAIR10||AT4G35650.1	Isocitrate dehydrogenase [NAD] regulatory subunit (EC 1.1.1.41) # mitochondria
OG0002724	Athaliana_TAIR10||AT1G32480.1	Uncurated
OG0002724	Athaliana_TAIR10||AT2G17130.1	Isocitrate dehydrogenase [NAD] regulatory subunit (EC 1.1.1.41) # mitochondria
OG0005095	Athaliana_TAIR10||AT2G20420.1	Succinyl-CoA ligase [ADP-forming] beta chain (EC 6.2.1.5) # mitochondria
OG0000247	Athaliana_TAIR10||AT1G55120.1	Beta-fructofuranosidase, fructan exohydrolase (EC 3.2.1.80)
OG0000247	Athaliana_TAIR10||AT3G13790.1	Uncurated
OG0000247	Athaliana_TAIR10||AT1G12240.1	Uncurated
OG0000247	Athaliana_TAIR10||AT5G11920.1	Beta-fructofuranosidase, fructan exohydrolase (EC 3.2.1.80)
OG0000247	Athaliana_TAIR10||AT1G62660.1	Uncurated
OG0000247	Athaliana_TAIR10||AT2G36190.1	Uncurated
OG0000247	Athaliana_TAIR10||AT3G13784.1	Uncurated
OG0000247	Athaliana_TAIR10||AT3G52600.1	Uncurated
OG0002372	Athaliana_TAIR10||AT1G23190.1	Phosphoglucomutase (EC 5.4.2.2) # cytosol
OG0002372	Athaliana_TAIR10||AT5G51820.1	Phosphoglucomutase (EC 5.4.2.2) # plastid
OG0002372	Athaliana_TAIR10||AT1G70730.3	Phosphoglucomutase (EC 5.4.2.2)
OG0000870	Athaliana_TAIR10||AT5G05260.1	Phenylalanine N-monooxygenase (EC 1.14.13.124)
OG0000870	Athaliana_TAIR10||AT1G58260.1	Uncurated
OG0000870	Athaliana_TAIR10||AT2G22330.1	Tryptophan N-monooxygenase (EC 1.14.13.125)
OG0000870	Athaliana_TAIR10||AT4G39950.1	Tryptophan N-monooxygenase (EC 1.14.13.125) # plastid
OG0000870	Athaliana_TAIR10||AT1G79370.1	Uncurated
OG0000870	Athaliana_TAIR10||AT5G35917.1	Uncurated
OG0002734	Athaliana_TAIR10||ATCG00580.1	Cytochrome b559 alpha chain (PsbE) # plastid
OG0002621	Athaliana_TAIR10||ATCG00710.1	Photosystem II 10 kDa phosphoprotein (PsbH) # plastid
OG0005345	Athaliana_TAIR10||AT3G53900.2	Uracil phosphoribosyltransferase (EC 2.4.2.9) # plastid
OG0005147	Athaliana_TAIR10||AT2G47690.1	NADH dehydrogenase [ubiquinone] iron-sulfur protein 5 # mitointer
OG0005147	Athaliana_TAIR10||AT3G62790.1	NADH dehydrogenase [ubiquinone] iron-sulfur protein 5 # mitointer
OG0006100	Athaliana_TAIR10||AT2G20690.1	Riboflavin synthase eubacterial/eukaryotic (EC 2.5.1.9) # plastid
OG0000808	Athaliana_TAIR10||AT5G24300.1	Starch synthase, ADP-glucose transglucosylase (EC 2.4.1.21) # plastid
OG0000808	Athaliana_TAIR10||AT3G01180.1	Starch synthase, ADP-glucose transglucosylase (EC 2.4.1.21) # plastid
OG0000808	Athaliana_TAIR10||AT1G32900.1	Starch synthase, ADP-glucose transglucosylase (EC 2.4.1.21) # plastid
OG0000835	Athaliana_TAIR10||AT4G23590.1	Uncurated
OG0000835	Athaliana_TAIR10||AT2G24850.1	Tyrosine aminotransferase (EC 2.6.1.5) # plastid
OG0000835	Athaliana_TAIR10||AT4G28420.2	Uncurated
OG0000835	Athaliana_TAIR10||AT5G36160.1	Tyrosine aminotransferase (EC 2.6.1.5) # plastid
OG0000835	Athaliana_TAIR10||AT4G23600.1	Uncurated
OG0000835	Athaliana_TAIR10||AT5G53970.1	Tyrosine aminotransferase (EC 2.6.1.5) # plastid
OG0000835	Athaliana_TAIR10||AT2G20610.1	S-alkyl-thiohydroximate lyase (EC 4.4.1.-)
OG0000835	Athaliana_TAIR10||AT4G28410.1	Uncurated
OG0004353	Athaliana_TAIR10||AT1G18640.2	Phosphoserine phosphatase (EC 3.1.3.3) # plastid
OG0004937	Athaliana_TAIR10||AT2G26830.1	Ethanolamine kinase (EC 2.7.1.82)
OG0001833	Athaliana_TAIR10||AT3G08860.1	L-alanine:glyoxylate aminotransferase (EC 2.6.1.44) # mitochondria
OG0001833	Athaliana_TAIR10||AT2G38400.2	L-alanine:glyoxylate aminotransferase (EC 2.6.1.44) # mitochondria
OG0001833	Athaliana_TAIR10||AT4G39660.1	L-alanine:glyoxylate aminotransferase (EC 2.6.1.44) # mitochondria # peroxisome
OG0000013	Athaliana_TAIR10||AT2G47550.1	Uncurated
OG0000013	Athaliana_TAIR10||AT3G60730.1	Uncurated
OG0000013	Athaliana_TAIR10||AT1G02810.1	Uncurated
OG0000013	Athaliana_TAIR10||AT5G04960.1	Uncurated
OG0000013	Athaliana_TAIR10||AT5G51490.1	Uncurated
OG0000013	Athaliana_TAIR10||AT3G05610.1	Uncurated
OG0000013	Athaliana_TAIR10||AT1G53830.1	Pectinesterase (EC 3.1.1.11)
OG0000013	Athaliana_TAIR10||AT4G00190.1	Pectinesterase (EC 3.1.1.11)
OG0000013	Athaliana_TAIR10||AT4G02330.1	Pectinesterase (EC 3.1.1.11)
OG0000013	Athaliana_TAIR10||AT4G33230.1	Uncurated
OG0000013	Athaliana_TAIR10||AT5G51500.1	Uncurated
OG0000013	Athaliana_TAIR10||AT3G05620.1	Uncurated
OG0000013	Athaliana_TAIR10||AT2G47030.1	Pectinesterase (EC 3.1.1.11)
OG0000013	Athaliana_TAIR10||AT2G26440.1	Uncurated
OG0000013	Athaliana_TAIR10||AT2G43050.1	Uncurated
OG0000013	Athaliana_TAIR10||AT1G11370.1	Uncurated
OG0000013	Athaliana_TAIR10||AT3G14310.1	Pectinesterase (EC 3.1.1.11)
OG0000013	Athaliana_TAIR10||AT4G02300.1	Uncurated
OG0000013	Athaliana_TAIR10||AT3G59010.1	Pectinesterase (EC 3.1.1.11)
OG0000013	Athaliana_TAIR10||AT5G49180.1	Uncurated
OG0000013	Athaliana_TAIR10||AT2G47040.1	Pectinesterase (EC 3.1.1.11)
OG0000013	Athaliana_TAIR10||AT4G02320.1	Uncurated
OG0000013	Athaliana_TAIR10||AT3G10720.2	Uncurated
OG0000013	Athaliana_TAIR10||AT1G23200.1	Uncurated
OG0000013	Athaliana_TAIR10||AT3G47400.1	Uncurated
OG0000013	Athaliana_TAIR10||AT1G11580.1	Uncurated
OG0000013	Athaliana_TAIR10||AT1G53840.1	Pectinesterase (EC 3.1.1.11)
OG0000013	Athaliana_TAIR10||AT5G27870.1	Uncurated
OG0000013	Athaliana_TAIR10||AT3G10710.1	Uncurated
OG0000013	Athaliana_TAIR10||AT3G06830.1	Uncurated
OG0000013	Athaliana_TAIR10||AT2G45220.1	Uncurated
OG0000013	Athaliana_TAIR10||AT3G43270.1	Uncurated
OG0000013	Athaliana_TAIR10||AT5G04970.1	Uncurated
OG0000013	Athaliana_TAIR10||AT4G15980.1	Uncurated
OG0000013	Athaliana_TAIR10||AT3G62170.1	Pectinesterase (EC 3.1.1.11)
OG0000013	Athaliana_TAIR10||AT5G53370.1	Uncurated
OG0000013	Athaliana_TAIR10||AT3G49220.1	Uncurated
OG0000013	Athaliana_TAIR10||AT4G33220.1	Uncurated
OG0000013	Athaliana_TAIR10||AT2G26450.1	Uncurated
OG0000750	Athaliana_TAIR10||AT1G09420.2	Glucose-6-phosphate 1-dehydrogenase (EC 1.1.1.49) # cytosol
OG0000750	Athaliana_TAIR10||AT5G13110.1	Glucose-6-phosphate 1-dehydrogenase (EC 1.1.1.49) # plastid
OG0000750	Athaliana_TAIR10||AT5G40760.1	Glucose-6-phosphate 1-dehydrogenase (EC 1.1.1.49) # cytosol
OG0000750	Athaliana_TAIR10||AT3G27300.1	Glucose-6-phosphate 1-dehydrogenase (EC 1.1.1.49) # cytosol
OG0000750	Athaliana_TAIR10||AT5G35790.1	Glucose-6-phosphate 1-dehydrogenase (EC 1.1.1.49) # plastid
OG0000750	Athaliana_TAIR10||AT1G24280.1	Glucose-6-phosphate 1-dehydrogenase (EC 1.1.1.49) # plastid
OG0004527	Athaliana_TAIR10||AT4G23900.1	Nucleoside diphosphate kinase (EC 2.7.4.6) # mitochondria
OG0004527	Athaliana_TAIR10||AT4G23895.3	Nucleoside diphosphate kinase (EC 2.7.4.6) # cytosol
OG0004527	Athaliana_TAIR10||AT4G11010.1	Nucleoside diphosphate kinase (EC 2.7.4.6) # mitochondria
OG0003979	Athaliana_TAIR10||AT1G43670.1	Fructose-1,6-bisphosphatase, type I (EC 3.1.3.11) # cytosol
OG0004022	Athaliana_TAIR10||AT3G42050.1	V-type ATP synthase subunit H (EC 3.6.3.14) # vacuole
OG0000648	Athaliana_TAIR10||AT5G14130.1	Peroxidase (EC 1.11.1.7)
OG0000648	Athaliana_TAIR10||AT5G67400.1	Peroxidase (EC 1.11.1.7)
OG0000648	Athaliana_TAIR10||AT4G30170.1	Peroxidase (EC 1.11.1.7)
OG0000648	Athaliana_TAIR10||AT4G37530.1	Peroxidase (EC 1.11.1.7)
OG0000648	Athaliana_TAIR10||AT3G49960.1	Peroxidase (EC 1.11.1.7)
OG0000648	Athaliana_TAIR10||AT2G18980.1	Peroxidase (EC 1.11.1.7)
OG0000648	Athaliana_TAIR10||AT4G37520.1	Peroxidase (EC 1.11.1.7)
OG0004339	Athaliana_TAIR10||AT3G07270.1	GTP cyclohydrolase I (EC 3.5.4.16) type 1 # cytosol
OG0002356	Athaliana_TAIR10||AT4G01950.1	Glycerol-3-phosphate 2-O-acyltransferase (EC 2.3.1.198) / Glycerol-3-phosphate acyltransferase (EC 2.3.1.15)
OG0002356	Athaliana_TAIR10||AT1G02390.1	Glycerol-3-phosphate 2-O-acyltransferase (EC 2.3.1.198) / Glycerol-3-phosphate acyltransferase (EC 2.3.1.15)
OG0005332	Athaliana_TAIR10||AT2G17630.1	Phosphoserine aminotransferase (EC 2.6.1.52) # plastid
OG0005332	Athaliana_TAIR10||AT4G35630.1	Phosphoserine aminotransferase (EC 2.6.1.52) # plastid
OG0002611	Athaliana_TAIR10||AT1G73600.2	Phosphoethanolamine N-methyltransferase (EC 2.1.1.103)
OG0002611	Athaliana_TAIR10||AT1G48600.2	Phosphoethanolamine N-methyltransferase (EC 2.1.1.103)
OG0002611	Athaliana_TAIR10||AT3G18000.1	Phosphoethanolamine N-methyltransferase (EC 2.1.1.103)
OG0000291	Athaliana_TAIR10||AT5G15180.1	Peroxidase (EC 1.11.1.7)
OG0000291	Athaliana_TAIR10||AT3G01190.1	Peroxidase (EC 1.11.1.7)
OG0000291	Athaliana_TAIR10||AT2G39040.1	Peroxidase (EC 1.11.1.7)
OG0000291	Athaliana_TAIR10||AT1G05250.1	Peroxidase (EC 1.11.1.7)
OG0000291	Athaliana_TAIR10||AT4G11290.1	Peroxidase (EC 1.11.1.7)
OG0000291	Athaliana_TAIR10||AT3G21770.1	Peroxidase (EC 1.11.1.7)
OG0000291	Athaliana_TAIR10||AT1G05260.1	Peroxidase (EC 1.11.1.7) # cellwall
OG0000291	Athaliana_TAIR10||AT1G05240.1	Peroxidase (EC 1.11.1.7)
OG0005506	Athaliana_TAIR10||AT1G11860.1	Aminomethyltransferase (glycine cleavage system T protein) (EC 2.1.2.10) # mitochondria
OG0005768	Athaliana_TAIR10||AT4G32770.1	2,3-dimethyl-6-phytyl-1,4-benzoquinone cyclase / 2-methyl-6-phytyl-1,4-benzoquinone cyclase # plastid
OG0007173	Athaliana_TAIR10||AT3G55800.1	Sedoheptulose-1,7-bisphosphatase (EC 3.1.3.37) # plastid
OG0003791	Athaliana_TAIR10||AT5G50950.1	Fumarate hydratase class II (EC 4.2.1.2) # mitochondria
OG0003791	Athaliana_TAIR10||AT2G47510.1	Fumarate hydratase class II (EC 4.2.1.2) # mitochondria
OG0000482	Athaliana_TAIR10||AT4G37930.1	5,10-methenyltetrahydrofolate to 5-formyltetrahydrofolate hydrolase / Serine hydroxymethyltransferase (EC 2.1.2.1) # cytosol # plastid # mitochondria
OG0000482	Athaliana_TAIR10||AT1G36370.1	5,10-methenyltetrahydrofolate to 5-formyltetrahydrofolate hydrolase / Serine hydroxymethyltransferase (EC 2.1.2.1) # cytosol # plastid
OG0000482	Athaliana_TAIR10||AT1G22020.1	5,10-methenyltetrahydrofolate to 5-formyltetrahydrofolate hydrolase / Serine hydroxymethyltransferase (EC 2.1.2.1) # cytosol
OG0000482	Athaliana_TAIR10||AT4G32520.1	5,10-methenyltetrahydrofolate to 5-formyltetrahydrofolate hydrolase / Serine hydroxymethyltransferase (EC 2.1.2.1) # plastid
OG0000482	Athaliana_TAIR10||AT5G26780.2	5,10-methenyltetrahydrofolate to 5-formyltetrahydrofolate hydrolase / Serine hydroxymethyltransferase (EC 2.1.2.1) # cytosol
OG0000482	Athaliana_TAIR10||AT4G13890.1	5,10-methenyltetrahydrofolate to 5-formyltetrahydrofolate hydrolase / Serine hydroxymethyltransferase (EC 2.1.2.1) # cytosol
OG0000482	Athaliana_TAIR10||AT4G13930.1	5,10-methenyltetrahydrofolate to 5-formyltetrahydrofolate hydrolase / Serine hydroxymethyltransferase (EC 2.1.2.1) # cytosol
OG0004946	Athaliana_TAIR10||AT1G09830.1	Phosphoribosylamine--glycine ligase (EC 6.3.4.13) # plastid
OG0009540	Athaliana_TAIR10||AT1G55180.1	Phospholipase D (EC 3.1.4.4)
OG0006081	Athaliana_TAIR10||AT5G49970.1	NAD(P)H-hydrate epimerase (EC 5.1.99.6) / Pyridoxamine 5'-phosphate oxidase (EC 1.4.3.5) # plastid
OG0001144	Athaliana_TAIR10||AT1G62600.1	Uncurated
OG0001144	Athaliana_TAIR10||AT1G62620.1	Uncurated
OG0001144	Athaliana_TAIR10||AT1G63390.1	Uncurated
OG0001144	Athaliana_TAIR10||AT1G12130.1	Uncurated
OG0001144	Athaliana_TAIR10||AT1G62540.1	Flavin-containing glucosinolate S-oxygenase (no EC)
OG0001144	Athaliana_TAIR10||AT1G12200.1	Uncurated
OG0001144	Athaliana_TAIR10||AT1G62570.1	Flavin-containing glucosinolate S-oxygenase (no EC)
OG0001144	Athaliana_TAIR10||AT1G63370.1	Uncurated
OG0001144	Athaliana_TAIR10||AT1G62560.1	Flavin-containing glucosinolate S-oxygenase (no EC)
OG0001144	Athaliana_TAIR10||AT1G62580.1	Uncurated
OG0001144	Athaliana_TAIR10||AT1G12160.1	Uncurated
OG0001144	Athaliana_TAIR10||AT1G65860.1	Flavin-containing glucosinolate S-oxygenase (no EC) # cytosol
OG0001144	Athaliana_TAIR10||AT1G12140.1	Flavin-containing glucosinolate S-oxygenase (no EC)
OG0001144	Athaliana_TAIR10||AT1G63340.1	Uncurated
OG0002632	Athaliana_TAIR10||AT4G38510.5	V-type ATP synthase subunit B (EC 3.6.3.14) # vacuole
OG0002632	Athaliana_TAIR10||AT1G20260.1	V-type ATP synthase subunit B (EC 3.6.3.14) # vacuole
OG0002632	Athaliana_TAIR10||AT1G76030.1	V-type ATP synthase subunit B (EC 3.6.3.14) # vacuole
OG0005080	Athaliana_TAIR10||AT5G04590.1	Ferredoxin--sulfite reductase (EC 1.8.7.1) # plastid
OG0014836	Athaliana_TAIR10||AT1G44980.1	Pectinesterase (EC 3.1.1.11)
OG0014836	Athaliana_TAIR10||AT4G03930.1	Uncurated
OG0014836	Athaliana_TAIR10||AT3G27980.1	Uncurated
OG0014836	Athaliana_TAIR10||AT1G11590.1	Uncurated
OG0004427	Athaliana_TAIR10||AT3G58730.1	V-type ATP synthase subunit D (EC 3.6.3.14) # vacuole
OG0005733	Athaliana_TAIR10||AT1G63660.1	GMP synthase [glutamine-hydrolyzing] (EC 6.3.5.2) # cytosol
OG0001681	Athaliana_TAIR10||AT1G69370.1	Chorismate mutase III (EC 5.4.99.5) # plastid
OG0001681	Athaliana_TAIR10||AT3G29200.1	Chorismate mutase III (EC 5.4.99.5) # plastid
OG0001681	Athaliana_TAIR10||AT5G10870.1	Chorismate mutase III (EC 5.4.99.5) # cytosol
OG0002093	Athaliana_TAIR10||AT5G44480.1	UDP-arabinose 4-epimerase (EC 5.1.3.5)
OG0002093	Athaliana_TAIR10||AT4G20460.1	UDP-arabinose 4-epimerase (EC 5.1.3.5)
OG0002093	Athaliana_TAIR10||AT1G30620.1	UDP-arabinose 4-epimerase (EC 5.1.3.5) # golgi
OG0002093	Athaliana_TAIR10||AT2G34850.1	UDP-arabinose 4-epimerase (EC 5.1.3.5)
OG0008572	Athaliana_TAIR10||ATCG00220.1	Photosystem II protein PsbM # plastid
OG0001261	Athaliana_TAIR10||ATCG00490.1	Ribulose bisphosphate carboxylase large chain (EC 4.1.1.39) # plastid
OG0001261	Athaliana_TAIR10||ATMG00280.1	Uncurated
OG0001261	Athaliana_TAIR10||AT2G07732.1	Uncurated
OG0004125	Athaliana_TAIR10||AT5G11770.1	NADH dehydrogenase [ubiquinone] iron-sulfur protein 7 (EC 1.6.5.3) (EC 1.6.99.3) # mitointer
OG0003188	Athaliana_TAIR10||AT1G48320.1	1,4-dihydroxy-2-naphthoyl-CoA hydrolase (EC 3.1.2.28), plant type # peroxisome
OG0003188	Athaliana_TAIR10||AT5G48950.1	1,4-dihydroxy-2-naphthoyl-CoA hydrolase (EC 3.1.2.28), plant type # peroxisome
OG0006836	Athaliana_TAIR10||AT2G01350.1	Quinolinate phosphoribosyltransferase [decarboxylating] (EC 2.4.2.19) # plastid
OG0000795	Athaliana_TAIR10||AT1G66200.3	Glutamine synthetase type II, eukaryotic (EC 6.3.1.2) # cytosol
OG0000795	Athaliana_TAIR10||AT3G17820.1	Glutamine synthetase type II, eukaryotic (EC 6.3.1.2) # cytosol
OG0000795	Athaliana_TAIR10||AT5G16570.1	Glutamine synthetase type II, eukaryotic (EC 6.3.1.2) # cytosol
OG0000795	Athaliana_TAIR10||AT5G35630.1	Glutamine synthetase type II, eukaryotic (EC 6.3.1.2) # plastid # mitochondria
OG0000795	Athaliana_TAIR10||AT5G37600.1	Glutamine synthetase type II, eukaryotic (EC 6.3.1.2) # cytosol
OG0000795	Athaliana_TAIR10||AT1G48470.1	Glutamine synthetase type II, eukaryotic (EC 6.3.1.2) # cytosol
OG0000982	Athaliana_TAIR10||AT1G14290.1	Sphinganine C(4)-monooxygenase (EC 1.14.13.169)
OG0000982	Athaliana_TAIR10||AT1G69640.1	Sphinganine C(4)-monooxygenase (EC 1.14.13.169)
OG0004203	Athaliana_TAIR10||AT1G48030.1	Dihydrolipoamide dehydrogenase of 2-oxoglutarate dehydrogenase (EC 1.8.1.4) / Dihydrolipoamide dehydrogenase of branched-chain alpha-keto acid dehydrogenase (EC 1.8.1.4) / Dihydrolipoamide dehydrogenase of glycine cleavage system, L protein (EC 1.8.1.4) / Dihydrolipoamide dehydrogenase of pyruvate dehydrogenase complex (EC 1.8.1.4) # mitochondria
OG0004203	Athaliana_TAIR10||AT3G17240.1	Dihydrolipoamide dehydrogenase of 2-oxoglutarate dehydrogenase (EC 1.8.1.4) / Dihydrolipoamide dehydrogenase of branched-chain alpha-keto acid dehydrogenase (EC 1.8.1.4) / Dihydrolipoamide dehydrogenase of glycine cleavage system, L protein (EC 1.8.1.4) / Dihydrolipoamide dehydrogenase of pyruvate dehydrogenase complex (EC 1.8.1.4) # mitochondria
OG0008986	Athaliana_TAIR10||ATCG00630.1	photosystem I subunit IX (PsaJ) # plastid
OG0003617	Athaliana_TAIR10||ATCG01090.1	NADH dehydrogenase [ubiquinone] iron-sulfur protein 8 (EC 1.6.5.3) (EC 1.6.99.3) # mitointer
OG0011064	Athaliana_TAIR10||AT2G46505.1	Succinate dehydrogenase (ubiquinone) membrane anchor subunit SDH4/SDHD # mitochondria
OG0003086	Athaliana_TAIR10||AT1G67810.1	Uncurated
OG0003086	Athaliana_TAIR10||AT5G50210.1	Quinolinate synthetase (EC 2.5.1.72) # plastid
OG0000020	Athaliana_TAIR10||AT5G58390.1	Peroxidase (EC 1.11.1.7)
OG0000020	Athaliana_TAIR10||AT3G49120.1	Peroxidase (EC 1.11.1.7) # cellwall
OG0000020	Athaliana_TAIR10||AT3G49110.1	Peroxidase (EC 1.11.1.7) # cellwall
OG0000020	Athaliana_TAIR10||AT3G32980.1	Peroxidase (EC 1.11.1.7)
OG0000020	Athaliana_TAIR10||AT4G08780.1	Peroxidase (EC 1.11.1.7)
OG0000020	Athaliana_TAIR10||AT1G44970.1	Peroxidase (EC 1.11.1.7)
OG0000020	Athaliana_TAIR10||AT2G18140.1	Peroxidase (EC 1.11.1.7)
OG0000020	Athaliana_TAIR10||AT2G22420.1	Uncurated
OG0000020	Athaliana_TAIR10||AT4G36430.1	Peroxidase (EC 1.11.1.7)
OG0000020	Athaliana_TAIR10||AT4G08770.1	Peroxidase (EC 1.11.1.7)
OG0000020	Athaliana_TAIR10||AT2G38380.1	Peroxidase (EC 1.11.1.7)
OG0000020	Athaliana_TAIR10||AT4G16270.1	Peroxidase (EC 1.11.1.7)
OG0000020	Athaliana_TAIR10||AT5G06720.1	Peroxidase (EC 1.11.1.7)
OG0000020	Athaliana_TAIR10||AT5G05340.1	Peroxidase (EC 1.11.1.7)
OG0000020	Athaliana_TAIR10||AT5G66390.1	Peroxidase (EC 1.11.1.7)
OG0000020	Athaliana_TAIR10||AT1G14540.1	Peroxidase (EC 1.11.1.7)
OG0000020	Athaliana_TAIR10||AT2G35380.1	Peroxidase (EC 1.11.1.7)
OG0000020	Athaliana_TAIR10||AT5G19880.1	Peroxidase (EC 1.11.1.7)
OG0000020	Athaliana_TAIR10||AT1G14550.1	Peroxidase (EC 1.11.1.7)
OG0000020	Athaliana_TAIR10||AT5G19890.1	Peroxidase (EC 1.11.1.7)
OG0000020	Athaliana_TAIR10||AT2G18150.1	Peroxidase (EC 1.11.1.7)
OG0000020	Athaliana_TAIR10||AT5G58400.1	Peroxidase (EC 1.11.1.7)
OG0000020	Athaliana_TAIR10||AT5G06730.1	Peroxidase (EC 1.11.1.7)
OG0000020	Athaliana_TAIR10||AT3G50990.1	Peroxidase (EC 1.11.1.7)
OG0000020	Athaliana_TAIR10||AT2G38390.1	Peroxidase (EC 1.11.1.7)
OG0004553	Athaliana_TAIR10||AT1G06780.2	Polygalacturonate 4-alpha-galacturonosyltransferase (EC 2.4.1.43)
OG0004553	Athaliana_TAIR10||AT2G30575.1	Polygalacturonate 4-alpha-galacturonosyltransferase (EC 2.4.1.43)
OG0008914	Athaliana_TAIR10||AT4G29540.2	Acyl-[acyl-carrier-protein]--UDP-N-acetylglucosamine O-acyltransferase (EC 2.3.1.129) # mitochondria
OG0005848	Athaliana_TAIR10||AT5G13630.1	Protoporphyrin IX Mg-chelatase subunit H (EC 6.6.1.1) # plastid
OG0002258	Athaliana_TAIR10||AT5G51890.1	Peroxidase (EC 1.11.1.7)
OG0002258	Athaliana_TAIR10||AT5G42180.1	Peroxidase (EC 1.11.1.7)
OG0007013	Athaliana_TAIR10||AT1G68850.1	Peroxidase (EC 1.11.1.7)
OG0001157	Athaliana_TAIR10||AT3G21230.1	4-coumarate--CoA ligase (EC 6.2.1.12)
OG0001157	Athaliana_TAIR10||AT1G51680.1	4-coumarate--CoA ligase (EC 6.2.1.12)
