Role	Aly	Ath	Bdi	Cre	Gma	Ogl	Osa	Ptr	Sbi	Vvi	Zma
Beta-glucosidase (EC 3.2.1.21)	Al_scaffold_0001_200|Al_scaffold_0003_2134|Al_scaffold_0006_2354|fgenesh1_pm.C_scaffold_1002939|fgenesh1_pm.C_scaffold_2000354|fgenesh1_pm.C_scaffold_2001550|fgenesh1_pm.C_scaffold_3001732|fgenesh1_pm.C_scaffold_6000738|fgenesh2_kg.1__176__AT1G02640.1|fgenesh2_kg.1__2707__AT1G26560.1|fgenesh2_kg.1__4318__AT1G52400.1|fgenesh2_kg.2__277__AT1G61820.1|fgenesh2_kg.2__278__AT1G61810.1|fgenesh2_kg.2__862__AT1G66280.1|fgenesh2_kg.3__1996__AT3G18070.1|fgenesh2_kg.3__1998__AT3G18080.1|fgenesh2_kg.3__309__AT3G03640.1|fgenesh2_kg.3__942__AT3G09260.1|fgenesh2_kg.4__2632__AT2G44470.3|fgenesh2_kg.4__2633__AT2G44480.1|fgenesh2_kg.4__474__AT2G25630.1|fgenesh2_kg.5__2469__AT3G60120.1|fgenesh2_kg.5__2471__AT3G60130.1|fgenesh2_kg.5__2473__AT3G60140.1|fgenesh2_kg.5__2766__AT4G27830.1|fgenesh2_kg.5__2767__AT3G62750.1|fgenesh2_kg.6__1023__AT5G10560.1|fgenesh2_kg.7__1432__AT4G27830.1|fgenesh2_kg.7__2097__AT4G22100.1|fgenesh2_kg.7__2132__AT4G21760.1|fgenesh2_kg.7__3118__AT5G36890.1|fgenesh2_kg.8__1352__AT5G54570.1|fgenesh2_kg.8__336__AT5G44640.1|scaffold_202772.1|scaffold_302551.1|scaffold_401852.1|scaffold_403368.1|scaffold_403369.1|scaffold_503554.1	AT1G02640|AT1G02850|AT1G26560|AT1G45191|AT1G52400|AT1G60090|AT1G61810|AT1G61820|AT1G66270|AT1G66280|AT1G75940|AT1G78060|AT2G25630|AT2G32860|AT2G44450|AT2G44460|AT2G44470|AT2G44480|AT3G03640|AT3G09260|AT3G18070|AT3G18080|AT3G19620|AT3G21370|AT3G60120|AT3G60130|AT3G60140|AT3G62740|AT3G62750|AT4G21760|AT4G22100|AT4G27820|AT4G27830|AT5G09700|AT5G09730|AT5G10560|AT5G24540|AT5G24550|AT5G28510|AT5G36890|AT5G42260|AT5G44640|AT5G54570	BRADI1G10917|BRADI1G10930|BRADI1G10940|BRADI1G19270|BRADI1G33040|BRADI1G70170|BRADI2G57640|BRADI3G00650|BRADI3G59020|BRADI4G08040|BRADI4G16026|BRADI4G20197|BRADI5G16557		GLYMA01G06980|GLYMA02G01660|GLYMA02G02230|GLYMA02G17490|GLYMA03G37710|GLYMA05G24830|GLYMA06G11040|GLYMA06G41200|GLYMA07G11310|GLYMA07G38840|GLYMA09G00550|GLYMA09G30910|GLYMA09G33580|GLYMA10G01710|GLYMA11G16220|GLYMA12G36870|GLYMA13G01950|GLYMA14G34480|GLYMA14G39230|GLYMA15G11290|GLYMA19G40300|GLYMA20G03210|GLYMA20G27011	ORGLA01G0344200|ORGLA02G0282800|ORGLA03G0079200|ORGLA03G0285000|ORGLA03G0287400|ORGLA04G0129000|ORGLA04G0129100|ORGLA04G0167200|ORGLA05G0117700|ORGLA06G0289700|ORGLA07G0192200|ORGLA07G0268200|ORGLA10G0047200|ORGLA11G0088400|ORGLA12G0092800	OS01G0508000|OS01G0813800|OS01G0897600|OS02G0752200|OS03G0212800|OS03G0703000|OS03G0703100|OS04G0474800|OS04G0530700|OS06G0320200|OS06G0683300|OS10G0323500|OS12G0420100	POPTR_0001s10850|POPTR_0001s23430|POPTR_0001s23450|POPTR_0001s30190|POPTR_0001s44040|POPTR_0002s09440|POPTR_0002s09450|POPTR_0002s19830|POPTR_0004s01880|POPTR_0004s01890|POPTR_0004s01900|POPTR_0004s01910|POPTR_0004s01920|POPTR_0005s16650|POPTR_0005s16660|POPTR_0005s16670|POPTR_0008s09380|POPTR_0009s09190|POPTR_0010s16740|POPTR_0010s18600|POPTR_0012s04670|POPTR_0014s11730|POPTR_0015s04280	Sb01g010825|Sb01g010830|Sb01g010840|Sb01g013360|Sb01g043030|Sb02g041550|Sb03g008350|Sb03g042690|Sb04g027700|Sb06g019840|Sb06g019860|Sb06g019880|Sb06g023450|Sb10g027600|Sb10g028060	Vv00s0220g00070|Vv00s0415g00080|Vv01s0011g00750|Vv01s0011g00760|Vv03s0091g00750|Vv07s0005g00360|Vv07s0005g00390|Vv07s0005g00410|Vv07s0005g01300|Vv10s0116g00780|Vv13s0064g00520|Vv13s0064g01760|Vv14s0006g01790|Vv17s0000g02680|Vv18s0001g05160|Vv18s0001g05180|Vv19s0014g04750	AC155376.2_FG005|AC217401.3_FG001|AC217401.3_FG002|AC234160.1_FG003|GRMZM2G015804|GRMZM2G035503|GRMZM2G044092|GRMZM2G112704|GRMZM2G118003|GRMZM2G148176|GRMZM2G163544|GRMZM2G177923|GRMZM5G829293|GRMZM5G845736
Betaine aldehyde dehydrogenase (EC 1.2.1.8)	scaffold_202433.1|scaffold_501758.1	AT1G74920|AT3G48170	BRADI3G36150|BRADI5G12617	CHLREDRAFT_24394	GLYMA05G01770|GLYMA06G19820|GLYMA17G10120	ORGLA04G0122100|ORGLA08G0132000	OS04G0464200|OS08G0424500	POPTR_0012s07730|POPTR_0015s08190	Sb06g019200|Sb07g020650	Vv14s0066g02410|Vv17s0000g07650|Vv17s0000g07660	GRMZM2G016189|GRMZM2G135470|GRMZM2G146754
Biosynthetic arginine decarboxylase (EC 4.1.1.19)	fgenesh2_kg.7__616__AT4G34710.1|scaffold_304290.1	AT2G16500|AT4G34710	BRADI1G50067		GLYMA04G00960|GLYMA06G00990	ORGLA06G0019600		POPTR_0004s17020	Sb10g002070	Vv00s0308g00020|Vv00s0336g00010|Vv03s0038g00760|Vv06s0009g00280	GRMZM2G396553
Broad-substrate range phospholipase C (EC 3.1.4.3)	scaffold_100728.1	AT1G07230	BRADI1G03250		GLYMA11G24620|GLYMA15G21444|GLYMA18G07130|GLYMA18G07146	ORGLA03G0363300	OS03G0826600	POPTR_0001s25760|POPTR_0009s04970	Sb01g002750	Vv06s0004g06510	GRMZM2G116876|GRMZM2G139041
Carbonic anhydrase (EC 4.2.1.1)	Al_scaffold_0001_2487|fgenesh1_pg.C_scaffold_1000662|fgenesh1_pm.C_scaffold_4000628|fgenesh1_pm.C_scaffold_7001727|fgenesh1_pm.C_scaffold_7001728|fgenesh1_pm.C_scaffold_8001287|fgenesh2_kg.1__816__AT1G08065.1|fgenesh2_kg.2__1291__AT1G70410.2|fgenesh2_kg.2__558__AT1G58180.2|fgenesh2_kg.3__72__AT3G01500.2|fgenesh2_kg.5__1633__AT3G52720.1|fgenesh2_kg.6__1453__AT5G14740.2|fgenesh2_kg.6__332__AT5G04180.1|fgenesh2_kg.8__2771__AT5G66510.2|scaffold_104291.1|scaffold_104468.1|scaffold_700799.1|scaffold_800318.1	AT1G08065|AT1G08080|AT1G23730|AT1G47260|AT1G58180|AT1G70410|AT2G28210|AT3G01500|AT3G52720|AT4G20990|AT4G21000|AT4G33580|AT5G04180|AT5G14740|AT5G56330|AT5G66510	BRADI1G19770|BRADI2G44856	CHLREDRAFT_192148	GLYMA01G03720|GLYMA01G37780|GLYMA02G03990|GLYMA05G08590|GLYMA08G39510|GLYMA11G07540|GLYMA11G20290|GLYMA18G19080|GLYMA19G01050	ORGLA06G0257800|ORGLA07G0186400|ORGLA12G0040100	OS07G0642900|OS12G0169700	POPTR_0001s34950|POPTR_0004s22280|POPTR_0005s12280|POPTR_0008s19410|POPTR_0009s01540|POPTR_0010s05030|POPTR_0010s05080	Sb02g041030|Sb03g029180|Sb03g029190|Sb03g029200	Vv01s0127g00720|Vv04s0023g02060|Vv06s0004g02590|Vv14s0066g01210	GRMZM2G037177|GRMZM2G348512
Carotene epsilon-monooxygenase, chloroplastic (EC 1.14.99.45) (Cytochrome P450 97C1) (Protein LUTEIN DEFICIENT 1)	fgenesh2_kg.5__1680__AT3G53130.1	AT3G53130									
Carotenoid beta-ring hydroxylase (EC 1.14.13.129)	fgenesh2_kg.7__1687__AT4G25700.1	AT4G25700		CHLREDRAFT_164400	GLYMA09G24530|GLYMA16G29790			POPTR_0001s09770|POPTR_0004s07230		Vv02s0025g00240	GRMZM2G152135
Carotenoid cis-trans isomerase (EC 5.2.1.13)	fgenesh2_kg.1__658__AT1G06820.1	AT1G06820	BRADI1G67480|BRADI4G16010	CHLREDRAFT_196597	GLYMA02G34060|GLYMA10G10990	ORGLA11G0146600	OS11G0572700	POPTR_0006s21410|POPTR_0016s06630	Sb05g022240	Vv08s0032g00800	GRMZM2G106531|GRMZM2G108457
Carotenoid cleavage dioxygenase (EC 1.14.99.-)	scaffold_702485.1	AT4G19170	BRADI3G52680		GLYMA01G35910	ORGLA02G0251700	OS02G0704000	POPTR_0019s12320	Sb04g030640	Vv02s0087g00910|Vv02s0087g00930	GRMZM2G110192|GRMZM2G150363
Carotenoid cleavage dioxygenase 8, chloroplastic (EC 1.13.11.69) (EC 1.13.11.70)	fgenesh1_pg.C_scaffold_7000720	AT4G32810	BRADI2G49670		GLYMA04G08910|GLYMA06G09000	ORGLA01G0163300|ORGLA01G0250600	OS01G0566500|OS01G0746400	POPTR_0006s25490|POPTR_0018s08010	Sb03g034400|Sb05g000370	Vv04s0008g03380	
Catalase (EC 1.11.1.6)	fgenesh1_pm.C_scaffold_1001757|fgenesh2_kg.7__577__AT4G35090.1	AT1G20620|AT1G20630|AT4G35090	BRADI3G01470	CHLREDRAFT_150104	GLYMA04G01920|GLYMA06G02040|GLYMA14G39810|GLYMA17G38140	ORGLA02G0010500	OS02G0115700	POPTR_0002s01080|POPTR_0005s10340|POPTR_0005s27300|POPTR_0007s08910	Sb04g001130	Vv00s0698g00010|Vv04s0044g00020|Vv18s0122g01320	GRMZM2G079348
Cathasterone 23alpha-hydroxylase (EC 1.14.-.-)	scaffold_600542.1	AT5G05690	BRADI4G43110		GLYMA02G42390|GLYMA11G35150|GLYMA14G06530|GLYMA18G03211	ORGLA11G0024300|ORGLA12G0022400	OS11G0143200|OS12G0139300	POPTR_0008s06740|POPTR_0010s19710	Sb05g002580	Vv13s0067g00660	GRMZM2G012391|GRMZM2G162737
Chalcone--flavonone isomerase (EC 5.5.1.6)	Al_scaffold_0008_3306	AT5G66220									
Chitobiosyldiphosphodolichol beta-mannosyltransferase (EC 2.4.1.142)	Al_scaffold_0001_1715|fgenesh2_kg.6__3502__AT1G16570.1|scaffold_604070.1	AT1G16570	BRADI1G72620	CHLREDRAFT_108570	GLYMA08G18130|GLYMA15G40830	ORGLA03G0057100|ORGLA06G0155400	OS03G0180700|OS06G0564800	POPTR_0001s40470	Sb01g045200	Vv18s0001g08980	GRMZM2G045979|GRMZM2G049484
Chlorophyll b reductase (EC 1.1.1.294)	fgenesh2_kg.6__410__AT5G04900.1|fgenesh2_kg.9__30__AT4G13250.1	AT4G13250|AT5G04900	BRADI1G13416|BRADI2G07550		GLYMA07G09430|GLYMA09G32370|GLYMA15G29900	ORGLA01G0071700|ORGLA03G0258500	OS01G0227100|OS03G0654600	POPTR_0008s01480|POPTR_0018s08790	Sb01g013080|Sb03g001100	Vv01s0010g00590|Vv11s0016g03890	GRMZM2G065194|GRMZM2G170013
Chlorophyllase (EC 3.1.1.14)	fgenesh2_kg.1__2147__AT1G19670.1|fgenesh2_kg.8__435__AT5G43860.1	AT1G19670|AT5G43860			GLYMA10G00570			POPTR_0010s09240		Vv05s0020g04040	
Chlorophyllide a oxygenase (EC 1.14.13.122)	fgenesh2_kg.1__3766__AT1G44446.1	AT1G44446	BRADI2G61500	CHLREDRAFT_195951	GLYMA04G42840|GLYMA06G11920|GLYMA13G03430|GLYMA14G23860	ORGLA10G0141300|ORGLA10G0141500	OS10G0567100|OS10G0567400	POPTR_0002s08380|POPTR_0005s20060	Sb03g046660	Vv18s0001g02700	GRMZM2G038487|GRMZM2G171390
Choline monooxygenase (EC 1.14.15.7)	Al_scaffold_0007_1121	AT4G29890	BRADI1G33960		GLYMA17G06510	ORGLA06G0218800		POPTR_0006s07230	Sb10g028700	Vv11s0052g00330	GRMZM2G156162
Cobalt-containing nitrile hydratase subunit alpha (EC 4.2.1.84)	Al_scaffold_0006_2098|fgenesh1_pm.C_scaffold_5000676|fgenesh2_kg.5__841__AT3G44320.1	AT3G44320	BRADI3G49620|BRADI3G49630		GLYMA11G18620|GLYMA12G09750		OS02G0635000|OS02G0635200	POPTR_0004s20980|POPTR_0006s22420|POPTR_0009s16260	Sb04g026930|Sb04g026940|Sb04g026950|Sb06g023120	Vv02s0033g00630|Vv02s0033g00660|Vv02s0033g00670|Vv02s0033g00700|Vv02s0033g00770|Vv02s0033g00790|Vv02s0033g00800|Vv02s0033g00850|Vv02s0033g00870|Vv02s0109g00430|Vv06s0080g00940|Vv06s0080g00950	GRMZM2G111225|GRMZM2G178517
Copper-translocating P-type ATPase (EC 3.6.3.4)	Al_scaffold_0007_725|fgenesh2_kg.2__138__AT1G63440.1|fgenesh2_kg.8__317__AT5G44790.1|scaffold_602231.1	AT1G63440|AT4G33520|AT5G21930|AT5G44790	BRADI1G31987|BRADI1G72790|BRADI3G05340|BRADI3G38790|BRADI5G17990	CHLREDRAFT_205938|CHLREDRAFT_206047	GLYMA01G42790|GLYMA01G42800|GLYMA04G05897|GLYMA04G05904|GLYMA05G24520|GLYMA05G26330|GLYMA06G05890|GLYMA08G01680|GLYMA08G07710|GLYMA08G09240|GLYMA09G05710|GLYMA11G02661|GLYMA15G17000|GLYMA19G32190	ORGLA02G0050900|ORGLA03G0054800|ORGLA04G0182900|ORGLA06G0201500|ORGLA08G0162100	OS02G0172600|OS03G0178100|OS04G0556000|OS06G0665800|OS08G0486100	POPTR_0001s09210|POPTR_0001s15900|POPTR_0001s21280|POPTR_0001s21290|POPTR_0003s01850|POPTR_0003s07320|POPTR_0003s07330|POPTR_0003s12570|POPTR_0003s12580|POPTR_0006s23690|POPTR_0018s08380	Sb01g045340|Sb04g004820|Sb06g024900|Sb06g024910|Sb07g029010|Sb10g026600	Vv01s0011g01360|Vv02s0025g03630|Vv02s0025g03640|Vv04s0008g01960|Vv12s0142g00330|Vv12s0142g00400	GRMZM2G010152|GRMZM2G143512|GRMZM2G144083|GRMZM2G151406|GRMZM2G315931|GRMZM2G404702|GRMZM5G855347
Cyanate hydratase (EC 4.2.1.104)	Al_scaffold_0242_2|fgenesh2_kg.3__2560__AT3G23490.1	AT3G23490	BRADI3G28470		GLYMA10G00790	ORGLA10G0114800	OS10G0471300	POPTR_0010s07880	Sb01g019580	Vv05s0049g01520	GRMZM2G134747
Cyanohydrin beta-glucosyltransferase (EC 2.4.1.85)	Al_scaffold_0003_1142|Al_scaffold_0003_129|Al_scaffold_0005_1460|Al_scaffold_0008_2452|fgenesh1_pg.C_scaffold_1002043|fgenesh1_pm.C_scaffold_1001903|fgenesh1_pm.C_scaffold_6000432|fgenesh2_kg.1__2430__AT1G22360.2|fgenesh2_kg.1__2432__AT1G22370.2|fgenesh2_kg.1__2434__AT1G22400.1|fgenesh2_kg.2__2124__AT1G78270.1|fgenesh2_kg.4__566__AT2G26480.1|fgenesh2_kg.4__985__AT2G30140.2|fgenesh2_kg.5__1032__AT3G46670.1|fgenesh2_kg.5__1034__AT3G46690.1|fgenesh2_kg.6__520__AT5G05860.1|fgenesh2_kg.6__521__AT5G05890.1|fgenesh2_kg.6__523__AT5G05900.1|fgenesh2_kg.7__3607__AT5G38040.1|fgenesh2_kg.7__3612__AT5G37950.2|fgenesh2_kg.8__1910__AT5G59590.1|scaffold_501578.1|scaffold_704317.1	AT1G22340|AT1G22360|AT1G22370|AT1G22380|AT1G22400|AT1G78270|AT2G26480|AT2G30140|AT3G02100|AT3G11340|AT3G46660|AT3G46670|AT3G46690|AT3G46720|AT5G05860|AT5G05870|AT5G05880|AT5G05890|AT5G05900|AT5G37950|AT5G38010|AT5G38040|AT5G59580|AT5G59590	BRADI1G20190|BRADI3G46855|BRADI3G58680|BRADI3G58700		GLYMA02G35121|GLYMA06G10733|GLYMA08G19000|GLYMA13G01690|GLYMA14G35160|GLYMA14G35190|GLYMA14G35220|GLYMA14G35270|GLYMA15G05980|GLYMA15G37520	ORGLA02G0285700|ORGLA02G0285800|ORGLA02G0285900	OS02G0755500|OS02G0755600|OS02G0755900|OS04G0319700	POPTR_0001s31950|POPTR_0001s31960|POPTR_0001s32000|POPTR_0002s09850|POPTR_0002s09860|POPTR_0006s02440|POPTR_0016s02170|POPTR_0017s07880|POPTR_0017s07890|POPTR_0017s07900|POPTR_0017s07910|POPTR_0017s07920|POPTR_0017s07930|POPTR_0017s07940|POPTR_0098s00320|POPTR_0140s00200|POPTR_0140s00210	Sb04g027460|Sb06g018460	Vv00s0324g00060|Vv00s0324g00080|Vv00s0324g00100|Vv03s0017g01130|Vv03s0017g01140|Vv03s0017g01360|Vv03s0017g01370|Vv13s0019g02950|Vv18s0001g05910|Vv18s0001g05950|Vv18s0001g05990|Vv18s0001g06060|Vv18s0001g06080|Vv18s0001g06090|Vv18s0001g06120	GRMZM2G009125|GRMZM2G089241|GRMZM2G169628
Cycloartenol synthase (EC 5.4.99.8)	fgenesh2_kg.3__2932__AT2G07050.1	AT2G07050	BRADI1G17890|BRADI3G03490|BRADI3G03497|BRADI3G22786|BRADI3G22802	CHLREDRAFT_196409	GLYMA01G00430|GLYMA08G47450	ORGLA02G0030700|ORGLA02G0030900|ORGLA11G0203500	OS02G0139500|OS02G0139700|OS11G0189600	POPTR_0006s07900|POPTR_0006s07910|POPTR_0007s15200|POPTR_0018s14560	Sb04g001396|Sb04g003190|Sb04g003200|Sb05g008010|Sb05g011010|Sb05g011020	Vv00s0208g00080|Vv09s0018g00630|Vv09s0054g01090|Vv09s0054g01110|Vv09s0054g01120|Vv09s0054g01180|Vv09s0054g01250|Vv09s0054g01550|Vv11s0065g00640	GRMZM2G023798|GRMZM2G065494|GRMZM2G341010|GRMZM2G390429
Cycloeucalenol cycloisomerase (EC 5.5.1.9) (Cycloeucalenol--obtusifoliol isomerase) (Cyclopropyl sterol isomerase)	fgenesh2_kg.8__917__AT5G50375.1	AT5G50375	BRADI4G20160	CHLREDRAFT_193038	GLYMA04G37000|GLYMA06G17990	ORGLA11G0206800		POPTR_0015s10560	Sb09g002170	Vv17s0000g01650	GRMZM2G053397
Cysteinyl-tRNA synthetase (EC 6.1.1.16)	Al_scaffold_0005_2539|fgenesh2_kg.7__3525__AT5G38830.1	AT3G56300|AT5G38830	BRADI3G28090		GLYMA10G41880|GLYMA20G25160			POPTR_0008s12180|POPTR_0010s13240		Vv00s0265g00020|Vv03s0017g01640	
Cytidine deaminase (EC 3.5.4.5)	fgenesh1_pm.C_scaffold_7000980|fgenesh2_kg.3__3216__AT2G19570.1|fgenesh2_kg.7__1231__AT4G29650.1|fgenesh2_kg.7__1232__AT4G29620.1|fgenesh2_kg.7__1233__AT4G29600.1|scaffold_68200001.1|scaffold_701277.1|scaffold_701280.1	AT2G19570|AT4G29570|AT4G29580|AT4G29600|AT4G29610|AT4G29620|AT4G29630|AT4G29640|AT4G29650		CHLREDRAFT_127415	GLYMA05G36320|GLYMA07G15510|GLYMA08G03280			POPTR_0006s15510|POPTR_0018s07020		Vv11s0016g02340	
Cytokinin dehydrogenase (EC 1.5.99.12)	Al_scaffold_0005_3304|Al_scaffold_0007_1141|fgenesh1_pg.C_scaffold_52000005|fgenesh2_kg.2__1825__AT1G75450.1|fgenesh2_kg.3__3223__AT2G19500.1|fgenesh2_kg.4__2288__AT2G41510.1|fgenesh2_kg.6__2168__AT5G21482.1|scaffold_802256.1	AT1G75450|AT2G19500|AT2G41510|AT3G63440|AT4G29740|AT5G21482|AT5G56970	BRADI2G27170|BRADI2G51530|BRADI2G60456		GLYMA03G28910|GLYMA04G03130|GLYMA04G05840|GLYMA06G03180|GLYMA09G35950|GLYMA11G20860|GLYMA12G01390|GLYMA14G11280|GLYMA17G06220|GLYMA17G34330|GLYMA19G31620	ORGLA01G0268400|ORGLA01G0372500|ORGLA05G0122100	OS01G0775400|OS01G0940000|OS05G0374200	POPTR_0001s05830|POPTR_0002s03190|POPTR_0003s20240|POPTR_0005s25380|POPTR_0006s04650|POPTR_0006s23760|POPTR_0016s04340	Sb03g036160|Sb03g045410|Sb09g018640	Vv00s0252g00040|Vv00s2191g00010|Vv00s2520g00010|Vv04s0008g01880|Vv13s0158g00320|Vv18s0001g13200	GRMZM2G024476|GRMZM2G050997|GRMZM2G167220|GRMZM5G817173
Cytokinin hydroxylase (EC 1.14.13.-) (Cytochrome P450 35A1)	fgenesh2_kg.7__3565__AT5G38450.1	AT5G38450			GLYMA08G48030|GLYMA13G07580|GLYMA18G53450	ORGLA09G0072200		POPTR_0004s09950|POPTR_0005s15710		Vv14s0006g02970	
Cytokinin hydroxylase (EC 1.14.13.-) (Cytochrome P450 35A2)	fgenesh2_kg.2__938__AT1G67110.1	AT1G67110	BRADI4G29860						Sb02g024330|Sb07g020940		GRMZM2G022904
Deoxyhypusine hydroxylase (EC 1.14.99.29)	scaffold_502996.1	AT3G58180|AT3G62530	BRADI3G55700	CHLREDRAFT_135382	GLYMA03G31800|GLYMA19G34570	ORGLA12G0037400|ORGLA12G0167400	OS12G0163300|OS12G0626100	POPTR_0002s04230|POPTR_0005s24310	Sb04g037570	Vv07s0005g03050	GRMZM2G101502
Deoxyhypusine synthase (EC 2.5.1.46)	fgenesh2_kg.6__526__AT5G05920.1	AT5G05920	BRADI1G09210	CHLREDRAFT_128965|CHLREDRAFT_175692	GLYMA07G15330	ORGLA03G0305900|ORGLA09G0078100	OS03G0740600|OS09G0421100	POPTR_0003s18570	Sb01g008630|Sb06g011780|Sb07g001640	Vv17s0000g02070	GRMZM2G703077
Deoxyuridine 5'-triphosphate nucleotidohydrolase (EC 3.6.1.23)	scaffold_501626.1	AT3G46940	BRADI1G12830	CHLREDRAFT_100842	GLYMA14G38871|GLYMA18G05501	ORGLA03G0267500	OS03G0669100	POPTR_0014s18070|POPTR_0014s18160	Sb01g012360	Vv06s0009g02710|Vv18s0001g12360	GRMZM2G044762
Dihydropyrimidinase (EC 3.5.2.2)	fgenesh2_kg.6__1196__AT5G12200.1	AT5G12200	BRADI2G52850	CHLREDRAFT_97227	GLYMA02G44690|GLYMA08G18920|GLYMA14G04030|GLYMA15G06100		OS01G0807900	POPTR_0001s28020|POPTR_0009s07200	Sb03g037550	Vv06s0009g02790|Vv13s0047g00920|Vv15s0024g01090	GRMZM2G020002
Dihydropyrimidine dehydrogenase [NADP+] (EC 1.3.1.2)	fgenesh2_kg.3__1966__AT3G17810.1	AT3G17810	BRADI3G59890	CHLREDRAFT_134846	GLYMA07G11890|GLYMA09G30320	ORGLA02G0272200	OS02G0736400	POPTR_0012s04020|POPTR_0015s05410	Sb04g028610	Vv17s0000g01950	GRMZM2G181505
Dimethylallyltransferase (EC 2.5.1.1)	fgenesh2_kg.7__2590__AT4G17190.1|scaffold_800101.1	AT4G17190|AT5G47770	BRADI2G17990|BRADI2G47310|BRADI2G47610	CHLREDRAFT_137019	GLYMA04G34770|GLYMA09G01820|GLYMA11G31085|GLYMA15G12780|GLYMA20G11177	ORGLA01G0226700|ORGLA01G0230300|ORGLA05G0210300	OS01G0695300|OS01G0703400|OS05G0543400	POPTR_0006s00530|POPTR_0016s00570	Sb03g032280|Sb09g027190	Vv19s0015g01010	GRMZM2G079836|GRMZM2G098569|GRMZM2G147721|GRMZM2G168681
Diphthine synthase (EC 2.1.1.98)	Al_scaffold_0007_926	AT4G31790	BRADI1G62230	CHLREDRAFT_122908	GLYMA07G34130|GLYMA20G01730	ORGLA03G0168300	OS03G0355800	POPTR_0002s02530	Sb01g035110	Vv18s0001g14080	
Dol-P-Man:Man(5)GlcNAc(2)-PP-Dol alpha-1,3-mannosyltransferase (EC 2.4.1.258) (Alpha-1,3-mannosyltransferase ALG3) (Asparagine-linked glycosylation protein 3) (AtALG3) (Not56-like protein)	scaffold_403751.1	AT2G47760	BRADI2G04440		GLYMA03G37130|GLYMA19G39740	ORGLA01G0042800|ORGLA11G0209300	OS01G0172000	POPTR_0014s12610	Sb03g004440	Vv07s0005g00130	GRMZM2G066362
Dol-P-Man:Man(6)GlcNAc(2)-PP-Dol alpha-1,2-mannosyltransferase (EC 2.4.1.259)	fgenesh2_kg.1__1846__AT1G16900.1|fgenesh2_kg.1__1847__AT1G16905.1	AT1G16900|AT1G16905	BRADI2G06627		GLYMA12G35831|GLYMA13G34570		OS01G0209000	POPTR_0011s11200	Sb03g002210	Vv19s0014g01410	GRMZM2G051262
Dol-P-Man:Man(8)GlcNAc(2)-PP-Dol alpha-1,2-mannosyltransferase (EC 2.4.1.261)	fgenesh2_kg.1__1846__AT1G16900.1|fgenesh2_kg.1__1847__AT1G16905.1	AT1G16900|AT1G16905	BRADI2G06627		GLYMA12G35831|GLYMA13G34570		OS01G0209000	POPTR_0011s11200	Sb03g002210	Vv19s0014g01410	GRMZM2G051262
Dolichol-phosphate mannosyltransferase (EC 2.4.1.83)	scaffold_102303.1	AT1G20575	BRADI2G19800	CHLREDRAFT_138210	GLYMA07G32560|GLYMA13G24040	ORGLA03G0361600	OS03G0824400	POPTR_0002s01130|POPTR_0005s27230	Sb01g002910	Vv18s0001g00050	
Dolichyl-phosphate beta-glucosyltransferase (EC 2.4.1.117)	fgenesh2_kg.4__2043__AT2G39630.1	AT2G39630	BRADI1G03660	CHLREDRAFT_18353	GLYMA02G10150|GLYMA18G52810	ORGLA03G0359500	OS03G0821800	POPTR_0008s05580|POPTR_0010s21150	Sb01g003140	Vv13s0019g01230	GRMZM2G129620|GRMZM2G144059
Enoyl-CoA hydratase (EC 4.2.1.17)	Al_scaffold_0007_2619|fgenesh2_kg.3__707__AT3G06860.1|fgenesh2_kg.7__1290__AT4G29010.1	AT3G06860|AT4G16210|AT4G29010	BRADI1G64320|BRADI2G43020|BRADI3G10180|BRADI4G28310	CHLREDRAFT_132158	GLYMA07G09370|GLYMA07G36770|GLYMA07G37570|GLYMA07G37590|GLYMA09G32430|GLYMA17G03070|GLYMA17G03080|GLYMA17G03760|GLYMA20G12165	ORGLA01G0120500|ORGLA02G0108000|ORGLA03G0143900|ORGLA05G0035800|ORGLA05G0115200	OS01G0348600|OS02G0274100|OS03G0310400|OS05G0155000|OS05G0362100	POPTR_0008s10410|POPTR_0008s22410|POPTR_0010s01560|POPTR_0010s01570|POPTR_0010s15640|POPTR_0018s08940	Sb01g037310|Sb03g013790|Sb04g010370|Sb09g017970	Vv05s0077g00860|Vv05s0077g02140|Vv11s0016g03690	GRMZM2G033491|GRMZM2G117357|GRMZM2G132903|GRMZM2G177404|GRMZM5G854613
Ent-copalyl diphosphate synthase (EC 5.5.1.13)	fgenesh1_pg.C_scaffold_6003139	AT4G02780						POPTR_0005s23190	Sb05g022290		
Ent-kaurene synthase (EC 4.2.3.19)	fgenesh2_kg.2__2243__AT1G79460.1	AT1G79460						POPTR_0008s08190|POPTR_0008s08220		Vv19s0085g00830	
Epithiospecifier protein (AtESP) (Protein EPITHIOSPECIFYING SENESCENCE REGULATOR) (AtESR)	fgenesh1_pg.C_scaffold_1004130|fgenesh1_pm.C_scaffold_3002850	AT1G54040									
Farnesol kinase (2.7.1.-)	fgenesh1_pm.C_scaffold_8001488	AT5G58560					OS01G0832000	POPTR_0001s28680|POPTR_1135s00200|POPTR_1135s00210		Vv06s0004g06980	GRMZM2G046293|GRMZM2G112908
