Role	Aly	Ath	Bdi	Cre	Gma	Ogl	Osa	Ptr	Sbi	Vvi	Zma
Citrate synthase (si) (EC 2.3.3.1)	Al_scaffold_0005_2796|fgenesh2_kg.4__2436__AT2G42790.1|fgenesh2_kg.4__2620__AT2G44350.2|fgenesh2_kg.5__2321__AT3G58750.1|fgenesh2_kg.5__2467__AT3G60100.1	AT2G42790|AT2G44350|AT3G58740|AT3G58750|AT3G60100	BRADI3G06930|BRADI3G08910	CHLREDRAFT_194915|CHLREDRAFT_24263	GLYMA02G45790|GLYMA08G16770|GLYMA08G42400|GLYMA14G03000|GLYMA15G42301|GLYMA18G12393	ORGLA02G0066900|ORGLA02G0088000|ORGLA11G0136200	OS02G0194100|OS02G0232400|OS11G0538900	POPTR_0001s23760|POPTR_0009s02880|POPTR_0014s13850|POPTR_0016s09070	Sb04g006440|Sb04g008330	Vv12s0142g00610|Vv13s0156g00180	GRMZM2G063851|GRMZM2G063909|GRMZM2G064023|GRMZM2G135588
Coniferyl-alcohol and sinapyl-alcohol glucosyltransferase (EC 2.4.1.111)	fgenesh2_kg.5__1412__AT3G50740.1	AT3G50740|AT5G66690						POPTR_0007s12400			
Coniferyl-aldehyde dehydrogenase (EC 1.2.1.68)	fgenesh2_kg.3__2661__AT3G24503.1	AT3G24503	BRADI1G37090|BRADI2G42360|BRADI2G42380		GLYMA05G35340|GLYMA05G35350|GLYMA07G09630|GLYMA07G09640|GLYMA07G09650|GLYMA08G04370|GLYMA08G04380|GLYMA09G32160|GLYMA09G32170|GLYMA09G32180	ORGLA01G0169500|ORGLA01G0169600|ORGLA06G0163800	OS01G0591000|OS01G0591300|OS06G0592400	POPTR_0018s06060	Sb03g026550|Sb03g026570|Sb10g023000		GRMZM2G071021|GRMZM2G097706|GRMZM2G122172|GRMZM2G407949
Coproporphyrinogen III oxidase, aerobic (EC 1.3.3.3)	scaffold_100294.1|scaffold_603939.1	AT1G03475|AT4G03205	BRADI3G18050|BRADI5G21310	CHLREDRAFT_205686|CHLREDRAFT_53583	GLYMA14G00620	ORGLA04G0219800	OS04G0610800	POPTR_0011s00650|POPTR_2119s00200	Sb06g028140|Sb07g006160	Vv03s0017g02330	GRMZM2G032282
Cyanoalanine nitrilase (EC 3.5.5.4)	Al_scaffold_0006_2098|fgenesh1_pm.C_scaffold_5000676|fgenesh2_kg.5__841__AT3G44320.1	AT5G22300	BRADI3G49620|BRADI3G49630		GLYMA11G18620|GLYMA12G09750		OS02G0635000|OS02G0635200	POPTR_0004s20980|POPTR_0006s22420|POPTR_0009s16260	Sb04g026930|Sb04g026940|Sb04g026950|Sb06g023120	Vv02s0033g00630|Vv02s0033g00660|Vv02s0033g00670|Vv02s0033g00700|Vv02s0033g00770|Vv02s0033g00790|Vv02s0033g00800|Vv02s0033g00850|Vv02s0033g00870|Vv02s0109g00430|Vv06s0080g00940|Vv06s0080g00950	GRMZM2G111225|GRMZM2G178517
Cyclopropane-fatty-acyl-phospholipid synthase (EC 2.1.1.79), plant type	scaffold_302835.1	AT3G23460|AT3G23470|AT3G23480|AT3G23510|AT3G23530	BRADI5G02490		GLYMA10G33310|GLYMA20G34340	ORGLA07G0225400|ORGLA12G0075500	OS07G0474600|OS12G0267200	POPTR_0008s17020|POPTR_0010s07800|POPTR_0010s07820|POPTR_0010s07830|POPTR_0010s07840|POPTR_0010s07850	Sb01g031685|Sb02g029350|Sb05g026900|Sb05g026910	Vv05s0049g01610|Vv05s0049g01620|Vv05s0049g01650	GRMZM2G079805|GRMZM2G178917
Cystathionine beta-lyase (EC 4.4.1.8)	fgenesh2_kg.5__2142__AT3G57050.2	AT3G57050	BRADI1G47910	CHLREDRAFT_196483	GLYMA03G28530|GLYMA19G31280	ORGLA06G0045600	OS06G0175800	POPTR_0006s03970|POPTR_0016s03770	Sb10g005100	Vv08s0007g05410	GRMZM2G167156
Cystathionine gamma-synthase, O-phospho-L-homoserine dependent (EC 2.5.1.-)	fgenesh2_kg.3__118__AT3G01120.1	AT1G33320|AT3G01120	BRADI1G61260	CHLREDRAFT_24268	GLYMA09G37020|GLYMA18G49660	ORGLA03G0180200	OS03G0376100	POPTR_0017s12240	Sb01g034130	Vv14s0108g01110	GRMZM2G075153|GRMZM2G113873
Cysteine desulfurase (EC 2.8.1.7), IscS subfamily	scaffold_803316.1	AT5G65720	BRADI4G28300	CHLREDRAFT_191269	GLYMA01G40510|GLYMA11G04800	ORGLA09G0045400	OS09G0338400	POPTR_0007s15360|POPTR_0008s00570	Sb02g022360	Vv00s0199g00130|Vv00s0199g00170|Vv17s0000g03490	GRMZM2G322314
Cysteine desulfurase (EC 2.8.1.7), SufS subfamily	fgenesh2_kg.1__864__AT1G08490.1	AT1G08490	BRADI4G25680	CHLREDRAFT_196776	GLYMA04G32810|GLYMA09G02450|GLYMA15G13350	ORGLA12G0084100	OS12G0287300	POPTR_0009s07040	Sb04g012430|Sb05g001270	Vv06s0009g02300	GRMZM2G060470
Cysteine synthase (EC 2.5.1.47)	fgenesh1_pm.C_scaffold_3001993|fgenesh1_pm.C_scaffold_5001977|fgenesh2_kg.5__2612__AT3G61440.1|fgenesh2_kg.6__2759__AT5G28020.4|fgenesh2_kg.7__2838__AT4G14880.2|scaffold_300520.1|scaffold_403279.1	AT2G43750|AT3G04940|AT3G22460|AT3G59760|AT3G61440|AT4G14880|AT5G28020	BRADI2G03800|BRADI4G01130|BRADI5G00610|BRADI5G09970	CHLREDRAFT_175651|CHLREDRAFT_189320|CHLREDRAFT_196886	GLYMA01G06131|GLYMA01G44833|GLYMA02G15640|GLYMA03G40490|GLYMA07G32790|GLYMA08G17555|GLYMA09G39390|GLYMA10G30130|GLYMA10G30140|GLYMA10G39320|GLYMA11G00810|GLYMA15G41600|GLYMA18G46920|GLYMA19G43150|GLYMA20G28631|GLYMA20G37280|GLYMA20G37290	ORGLA01G0396800|ORGLA03G0311300|ORGLA04G0017100|ORGLA12G0167000	OS01G0978100|OS03G0747800|OS04G0165700|OS12G0625000	POPTR_0002s16220|POPTR_0005s04960|POPTR_0005s04990|POPTR_0005s05000|POPTR_0005s05020|POPTR_0005s05040|POPTR_0008s15320|POPTR_0013s13150|POPTR_0014s08210|POPTR_0030s00390	Sb03g009260|Sb06g001610|Sb06g016480|Sb08g022280	Vv04s0044g00250|Vv05s0094g00780|Vv14s0030g01490|Vv14s0030g01520|Vv14s0030g01540|Vv14s0030g01550|Vv14s0030g01560|Vv15s0046g02300	GRMZM2G005887|GRMZM2G036708|GRMZM2G082185|GRMZM2G328893|GRMZM2G362803
Cytochrome b559 alpha chain (PsbE)	scaffold_201022.1|scaffold_201109.1	ATCG00580	BRADI1G05759|BRADI1G39215|BRADI3G03945|BRADI3G27345|BRADI5G06936|BRADI5G23866	DAA00941	GLYMA12G36132|GLYMA15G38110	ORGLA03G0399000|ORGLA06G0240500|ORGLA06G0261600|ORGLA06G0270000|ORGLA08G0205500|ORGLA09G0177300|ORGLA10G0035800|ORGLA10G0154200|ORGLA11G0192200	OS03G0659233				GRMZM2G062044|GRMZM2G108467|GRMZM2G117572|GRMZM2G125575|GRMZM2G433927
Cytochrome b559 beta chain (PsbF)		ATCG00570		DAA00944							
Cytochrome b6-f complex iron-sulfur subunit PetC1 (Rieske iron sulfur protein EC 1.10.9.1)	fgenesh2_kg.6__3365__AT4G03280.1	AT4G03280	BRADI1G24980	CHLREDRAFT_193296	GLYMA12G32580|GLYMA13G37880	ORGLA07G0147600	OS07G0556200	POPTR_0013s14520|POPTR_0019s14100	Sb09g020820	Vv03s0017g00940|Vv12s0134g00510|Vv19s0014g03850	GRMZM2G038365|GRMZM2G162748
Cytochrome b6-f complex subunit IV (PetD)	fgenesh2_kg.2__685__ATCG00730.1|fgenesh2_kg.2__741__ATCG00730.1	ATCG00730	BRADI1G05758	DAA00905	GLYMA15G12130	ORGLA03G0182800|ORGLA06G0247200|ORGLA06G0260200|ORGLA06G0269200|ORGLA08G0206100|ORGLA10G0153700|ORGLA11G0102100|ORGLA11G0191400			Sb01g044805|Sb03g017575		GRMZM2G103103|GRMZM2G427557|GRMZM5G884960
Cytochrome b6-f complex subunit V (PetG)		ATCG00600			GLYMA12G36123|GLYMA15G38113						
Cytochrome b6-f complex subunit, apocytochrome f	fgenesh2_kg.2__690__ATCG00540.1|fgenesh2_kg.2__736__ATCG00540.1	ATCG00540	BRADI1G05770|BRADI2G13074|BRADI3G17187|BRADI3G20800|BRADI3G27332	DAA00904	GLYMA12G36150|GLYMA14G12202	ORGLA01G0107800|ORGLA03G0398900|ORGLA06G0261700|ORGLA06G0270100|ORGLA08G0205400|ORGLA09G0177200|ORGLA10G0154300|ORGLA11G0192300		POPTR_0013s09930|POPTR_0016s11450|POPTR_3041s00200		Vv11s0016g02030	GRMZM2G413972|GRMZM2G448174
Cytochrome b6-f complex subunit, cytochrome b6	Al_scaffold_0002_944|scaffold_201118.1	ATCG00720	BRADI1G05757|BRADI2G41285	DAA00911	GLYMA01G07130	ORGLA03G0182900|ORGLA03G0399700|ORGLA06G0239700|ORGLA06G0260300|ORGLA06G0269300|ORGLA08G0206000|ORGLA10G0153800|ORGLA11G0191500		POPTR_0001s18860|POPTR_0009s01040	Sb03g017580		GRMZM2G060898|GRMZM2G463640|GRMZM5G800780
Cytochrome c oxidase polypeptide I (EC 1.9.3.1)		ATMG01360	BRADI1G17527	AAB93443	GLYMA03G23306	ORGLA10G0024300		POPTR_0003s00500		Vv03s0110g00190|Vv12s0028g02450	GRMZM2G016180|GRMZM2G450825
Cytochrome c oxidase polypeptide II (EC 1.9.3.1)	fgenesh1_pg.C_scaffold_8000176	AT2G07695|ATMG00160|ATMG01280		CHLREDRAFT_190125	GLYMA04G32430|GLYMA09G04480	ORGLA07G0114500|ORGLA12G0189400				Vv00s0438g00010	GRMZM2G109332|GRMZM2G142109|GRMZM5G862955
Cytochrome c oxidase polypeptide III (EC 1.9.3.1)	fgenesh2_kg.5__730__AT2G07687.1	AT2G07687|ATMG00730			GLYMA0405S00330|GLYMA12G24991						GRMZM2G156536|GRMZM2G369522|GRMZM5G820250|GRMZM5G884538
Cytochrome c oxidase subunit 5b	fgenesh2_kg.2__2361__AT1G80230.1|fgenesh2_kg.3__1717__AT3G15640.1	AT1G80230|AT3G15640			GLYMA08G22410|GLYMA15G01360	ORGLA01G0180200		POPTR_0003s05880	Sb10g002915		
Cytochrome c oxidase subunit 6a	scaffold_700288.1	AT4G37830	BRADI1G07230		GLYMA05G23220|GLYMA17G16840	ORGLA03G0327600	OS03G0772800	POPTR_0007s14540	Sb01g006750	Vv00s0386g00020	
Cytochrome c oxidase subunit 6b	scaffold_102547.1|scaffold_701459.1	AT1G22450|AT4G28060	BRADI1G21290|BRADI1G60710		GLYMA02G37150|GLYMA14G35430	ORGLA02G0307400|ORGLA03G0187000|ORGLA10G0116800	OS02G0791400|OS03G0390400	POPTR_0005s17330	Sb01g033560		GRMZM2G067417|GRMZM2G152925
D-3-phosphoglycerate dehydrogenase (EC 1.1.1.95)	fgenesh2_kg.1__1940__AT1G17745.1	AT1G17745	BRADI1G31270|BRADI3G37240		GLYMA07G00540|GLYMA08G23860|GLYMA13G44970	ORGLA06G0194800|ORGLA08G0144500	OS06G0655100|OS08G0447000	POPTR_0008s01000|POPTR_0010s25600	Sb07g021980|Sb10g026070	Vv09s0018g01870	GRMZM2G073814|GRMZM2G098423
D-glycerate 3-kinase (EC 2.7.1.31), plant type	Al_scaffold_0002_2757	AT1G80380	BRADI2G46690		GLYMA01G06465|GLYMA13G43820|GLYMA15G01540	ORGLA01G0218900	OS01G0682500	POPTR_0001s17750|POPTR_0003s05720	Sb09g000560	Vv09s0002g05200	GRMZM2G054663
D-serine dehydratase (EC 4.3.1.18)	fgenesh2_kg.6__3118__AT4G11640.1	AT4G11640	BRADI5G17980	CHLREDRAFT_24355	GLYMA05G37930|GLYMA08G01670	ORGLA04G0182800	OS04G0555900	POPTR_0001s09190	Sb06g024890	Vv02s0025g03670	GRMZM2G171556
Delta-1-pyrroline-5-carboxylate dehydrogenase (EC 1.5.1.12)	fgenesh2_kg.8__2248__AT5G62530.1	AT5G62530	BRADI2G18550	CHLREDRAFT_150809	GLYMA05G01300|GLYMA05G01305|GLYMA17G10595|GLYMA17G10610|GLYMA20G21726			POPTR_0015s07550	Sb09g026810	Vv17s0000g05800	GRMZM2G090087
Delta-8-sphingolipid desaturase (EC 1.14.19.4)	fgenesh2_kg.4__2828__AT2G46210.1|scaffold_503403.1	AT2G46210|AT3G61580	BRADI4G28320		GLYMA01G05470|GLYMA02G11820|GLYMA08G41120|GLYMA18G15261	ORGLA09G0045500	OS09G0338500	POPTR_0002s16740|POPTR_0014s08750	Sb02g022420|Sb03g025270	Vv01s0026g00450|Vv15s0046g01680	GRMZM2G129453|GRMZM2G179120
Dephospho-CoA kinase (EC 2.7.1.24)	fgenesh1_pm.C_scaffold_8000419|fgenesh2_kg.4__710__AT2G27490.2	AT2G27490	BRADI1G22630|BRADI3G06370	CHLREDRAFT_182932	GLYMA03G37050|GLYMA19G39680	ORGLA01G0124900	OS01G0360600	POPTR_0008s05370|POPTR_0010s21390	Sb03g014440|Sb07g021590	Vv07s0005g00040	GRMZM2G043819|GRMZM2G102015
Desulfoglucosinolate sulfotransferase (EC 2.8.2.-)	Al_scaffold_0002_2117|fgenesh2_kg.1__2033__AT1G18590.1|scaffold_202357.1	AT1G18590|AT1G74090|AT1G74100									
Dethiobiotin synthetase (EC 6.3.3.3)	fgenesh2_kg.8__1672__AT5G57590.1	AT5G57590	BRADI3G18970		GLYMA09G15575|GLYMA13G01170	ORGLA08G0065400	OS08G0245400	POPTR_0006s18590|POPTR_0018s10350|POPTR_0018s10360	Sb01g043690	Vv11s0052g01390	GRMZM2G102156
Diacylglycerol O-acyltransferase (EC 2.3.1.20)	Al_scaffold_0001_4111|fgenesh1_pm.C_scaffold_7002494|fgenesh2_kg.3__3229__AT2G19450.1|fgenesh2_kg.5__1495__AT3G51520.1|scaffold_72600001.1|scaffold_801818.1	AT1G48300|AT2G19450|AT3G51520|AT5G37300|AT5G53390	BRADI1G37750|BRADI1G42650|BRADI2G33180|BRADI3G53247		GLYMA01G36011|GLYMA09G07520|GLYMA09G32790|GLYMA11G09411|GLYMA13G16560|GLYMA16G21960|GLYMA16G21970|GLYMA17G06120	ORGLA02G0255900|ORGLA05G0056400|ORGLA06G0117900|ORGLA06G0154800	OS02G0714100|OS05G0196800|OS06G0326700|OS06G0563900	POPTR_0006s14970|POPTR_0006s14980|POPTR_0011s14890|POPTR_0018s07060|POPTR_0018s07070	Sb04g030010|Sb09g006110|Sb10g022270	Vv04s0044g01940|Vv11s0016g01930	GRMZM2G042356|GRMZM2G050641|GRMZM2G130749|GRMZM2G169089
Diacylglycerol cholinephosphotransferase (EC 2.7.8.2)	fgenesh1_pm.C_scaffold_990000001|fgenesh2_kg.1__1469__AT1G13560.1|fgenesh2_kg.5__310__AT3G25585.1	AT1G13560|AT3G25585	BRADI1G46440|BRADI3G01810		GLYMA02G14211|GLYMA12G08720	ORGLA02G0013600|ORGLA06G0060200	OS06G0204400	POPTR_0008s10930|POPTR_0010s14380	Sb04g001550|Sb10g006680	Vv01s0010g00950	GRMZM2G466281|GRMZM2G701058
Diaminohydroxyphosphoribosylaminopyrimidine deaminase (EC 3.5.4.26)	Al_scaffold_0005_1547|fgenesh2_kg.7__2224__AT4G20960.1	AT3G47390|AT4G20960	BRADI3G43370	CHLREDRAFT_103066|CHLREDRAFT_205591	GLYMA09G38520|GLYMA18G47790	ORGLA02G0142500		POPTR_0014s07870|POPTR_0019s08120	Sb04g018500	Vv04s0023g00680|Vv15s0046g02860	GRMZM2G090068
Diaminopimelate decarboxylase (EC 4.1.1.20)	fgenesh2_kg.3__1557__AT3G14390.1|fgenesh2_kg.6__1162__AT5G11880.1	AT3G14390|AT5G11880	BRADI3G11130	CHLREDRAFT_146886	GLYMA03G33830|GLYMA10G06090|GLYMA13G20390|GLYMA19G36580	ORGLA02G0131600	OS02G0440000	POPTR_0004s16490|POPTR_0009s12210	Sb08g003330	Vv03s0038g04490|Vv08s0056g00530|Vv09s0070g00580	GRMZM2G020446|GRMZM2G090722
Diaminopimelate epimerase (EC 5.1.1.7)	scaffold_502452.1	AT3G53580	BRADI4G04040	CHLREDRAFT_150957	GLYMA03G33080|GLYMA19G35780	ORGLA12G0141500|ORGLA12G0206200		POPTR_0006s10360|POPTR_0016s12840|POPTR_0016s12850	Sb08g018570	Vv08s0040g02540	AC182617.3_FG001|GRMZM2G130332
Digalactosyldiacylglycerol synthase (EC 2.4.1.241)	Al_scaffold_0222_2|fgenesh2_kg.6__3644__AT4G00550.1|scaffold_301339.1	AT3G11670|AT4G00550	BRADI1G66940|BRADI1G69930|BRADI3G45180|BRADI4G25010|BRADI5G09680	CHLREDRAFT_196553	GLYMA01G26325|GLYMA03G36050|GLYMA07G27350|GLYMA09G39911|GLYMA14G29081|GLYMA18G46300|GLYMA19G03180|GLYMA19G38720	ORGLA02G0167500|ORGLA03G0080600|ORGLA03G0115000|ORGLA04G0092000|ORGLA11G0034900	OS02G0539100|OS03G0214400|OS03G0268300|OS04G0416900|OS11G0158400	POPTR_0006s21970|POPTR_0014s07530|POPTR_0016s07090	Sb01g039910|Sb01g042870|Sb04g022040|Sb05g003730|Sb06g016250	Vv08s0105g00260|Vv11s0016g00030|Vv15s0046g03730	AC233887.1_FG006|GRMZM2G092588|GRMZM2G098667|GRMZM2G100766|GRMZM2G160452|GRMZM2G175453
Dihydrofolate reductase (EC 1.5.1.3)	Al_scaffold_0004_72|Al_scaffold_0007_595|fgenesh2_kg.3__3501__AT2G16370.1	AT2G16370|AT2G21550|AT4G34570	BRADI4G07810	CHLREDRAFT_139742	GLYMA04G01244|GLYMA06G01280|GLYMA11G12280|GLYMA12G04480	ORGLA11G0116900|ORGLA12G0101900	OS11G0484400|OS12G0446900	POPTR_0004s16470|POPTR_0005s25200|POPTR_0009s12200	Sb05g016730	Vv03s0038g04500|Vv18s0001g12940|Vv18s0075g01010	GRMZM2G005990|GRMZM2G072608|GRMZM2G139880
Dihydrofolate synthase (EC 6.3.2.12)	fgenesh1_pm.C_scaffold_7002602	AT5G41480			GLYMA10G07590|GLYMA14G31620			POPTR_0015s06150		Vv16s0050g02490	
Dihydrolipoamide acetyltransferase component of pyruvate dehydrogenase complex (EC 2.3.1.12)	Al_scaffold_0001_4869|fgenesh2_kg.1__3551__AT1G34430.1|fgenesh2_kg.3__1501__AT3G13930.1|fgenesh2_kg.5__1576__AT3G52200.1|scaffold_500466.1	AT1G34430|AT1G54220|AT3G13930|AT3G25860|AT3G52200	BRADI1G52260|BRADI3G00857|BRADI3G17280|BRADI3G36520|BRADI4G29920|BRADI4G41000	CHLREDRAFT_149709|CHLREDRAFT_196500	GLYMA01G20720|GLYMA07G03930|GLYMA10G35960|GLYMA16G00590|GLYMA20G24830|GLYMA20G31630|GLYMA20G33080	ORGLA02G0004100|ORGLA06G0003000|ORGLA06G0133300|ORGLA07G0096900|ORGLA08G0136500|ORGLA09G0074000|ORGLA12G0046700	OS02G0105200|OS06G0105400|OS06G0499900|OS07G0410100|OS08G0431300|OS09G0408600|OS12G0182200	POPTR_0001s20510|POPTR_0003s04140|POPTR_0008s02770|POPTR_0008s11820|POPTR_0010s13650|POPTR_0013s11870|POPTR_0019s11470	Sb01g004375|Sb02g024380|Sb04g007700|Sb07g021070|Sb08g005050	Vv01s0011g03380|Vv09s0002g01800|Vv11s0016g01870|Vv13s0074g00150|Vv18s0072g01000	GRMZM2G015132|GRMZM2G036534|GRMZM2G058702|GRMZM2G082664|GRMZM2G117786|GRMZM2G121200|GRMZM2G161969|GRMZM2G165176
Dihydrolipoamide acyltransferase component of branched-chain alpha-keto acid dehydrogenase complex (EC 2.3.1.168)	scaffold_300800.1	AT3G06850	BRADI2G11900	CHLREDRAFT_101057	GLYMA07G37540|GLYMA17G03110	ORGLA01G0109000	OS01G0314100	POPTR_0008s22480|POPTR_0010s01480	Sb03g012910	Vv05s0077g02080	GRMZM2G033644
Dihydrolipoamide dehydrogenase of 2-oxoglutarate dehydrogenase (EC 1.8.1.4)	fgenesh2_kg.1__3892__AT1G48030.2|scaffold_302028.1	AT1G48030|AT3G17240	BRADI2G12310|BRADI2G34770	CHLREDRAFT_57890	GLYMA07G36040|GLYMA17G04210	ORGLA01G0115300|ORGLA05G0039000	OS01G0328700	POPTR_0008s10020|POPTR_0010s16120	Sb03g013290|Sb09g004610	Vv05s0020g00380	GRMZM2G335657|GRMZM2G462140
Dihydrolipoamide dehydrogenase of branched-chain alpha-keto acid dehydrogenase (EC 1.8.1.4)	fgenesh2_kg.1__3892__AT1G48030.2|scaffold_302028.1	AT1G48030|AT3G17240	BRADI2G12310|BRADI2G34770	CHLREDRAFT_57890	GLYMA07G36040|GLYMA17G04210	ORGLA01G0115300|ORGLA05G0039000	OS01G0328700	POPTR_0008s10020|POPTR_0010s16120	Sb03g013290|Sb09g004610	Vv05s0020g00380	GRMZM2G335657|GRMZM2G462140
Dihydrolipoamide dehydrogenase of glycine cleavage system, L protein (EC 1.8.1.4)	fgenesh2_kg.1__3892__AT1G48030.2|scaffold_302028.1	AT1G48030|AT3G17240	BRADI2G12310|BRADI2G34770	CHLREDRAFT_57890	GLYMA07G36040|GLYMA17G04210	ORGLA01G0115300|ORGLA05G0039000	OS01G0328700	POPTR_0008s10020|POPTR_0010s16120	Sb03g013290|Sb09g004610	Vv05s0020g00380	GRMZM2G335657|GRMZM2G462140
Dihydrolipoamide dehydrogenase of pyruvate dehydrogenase complex (EC 1.8.1.4)	fgenesh2_kg.3__1864__AT3G16950.2|scaffold_702892.1	AT3G16950|AT4G16155	BRADI2G12520|BRADI2G34970	CHLREDRAFT_205763	GLYMA07G37050|GLYMA09G04270|GLYMA15G15310|GLYMA17G03560	ORGLA05G0037200	OS01G0337900|OS05G0156700	POPTR_0008s10700|POPTR_0010s15200	Sb03g013540|Sb09g004430	Vv05s0077g01210	GRMZM2G073774|GRMZM2G145595|GRMZM2G152958
Dihydrolipoamide succinyltransferase component (E2) of 2-oxoglutarate dehydrogenase complex (EC 2.3.1.61)	fgenesh2_kg.7__1541__AT4G26910.1|fgenesh2_kg.8__1406__AT5G55070.1	AT4G26910|AT5G55070	BRADI1G14410	CHLREDRAFT_145987	GLYMA02G46200|GLYMA14G02530	ORGLA02G0156200|ORGLA02G0357400|ORGLA04G0078000	OS04G0394200	POPTR_0001s36710|POPTR_0011s09150|POPTR_0011s09160|POPTR_0014s15280	Sb01g043660	Vv10s0116g01480|Vv19s0090g00750	GRMZM2G079538|GRMZM5G807639
Dihydroneopterin aldolase (EC 4.1.2.25)	Al_scaffold_0003_2329|fgenesh1_pm.C_scaffold_8001866|fgenesh2_kg.3__1222__AT3G11750.1	AT3G11750|AT3G21730|AT5G62980	BRADI3G42650|BRADI4G37970	CHLREDRAFT_155610	GLYMA03G36210|GLYMA07G07420	ORGLA08G0186800|ORGLA09G0157800	OS08G0556200|OS09G0560500	POPTR_0016s06750	Sb07g024490	Vv07s0005g04700	GRMZM2G015588|GRMZM2G095579
Dihydroneopterin triphosphate diphosphatase (EC 3.6.1.n4)	fgenesh2_kg.2__1133__AT1G68760.1	AT1G68760			GLYMA01G22830			POPTR_0008s11340|POPTR_0008s11350		Vv01s0011g02750	
Dihydroorotase (EC 3.5.2.3)	fgenesh2_kg.7__2005__AT4G22930.1	AT4G22930	BRADI2G49710	CHLREDRAFT_178140	GLYMA06G44630|GLYMA12G12950|GLYMA16G08285	ORGLA01G0251300	OS01G0747500	POPTR_0007s00940	Sb03g034450|Sb06g026683	Vv12s0028g03490	GRMZM2G021704
Dihydroorotate dehydrogenase [quinone] (EC 1.3.5.2)	scaffold_602399.1	AT5G23300	BRADI5G26080	CHLREDRAFT_152239	GLYMA10G43220|GLYMA20G23670	ORGLA03G0402400|ORGLA04G0258200	OS04G0676300	POPTR_0005s09200|POPTR_0007s07430	Sb06g032850	Vv10s0042g00140	GRMZM2G043776
Dihydropteroate synthase (EC 2.5.1.15)	fgenesh2_kg.2__1173__AT1G69190.1|scaffold_701230.1	AT1G69190|AT4G30000	BRADI1G15020|BRADI1G21050	CHLREDRAFT_96683	GLYMA01G07791|GLYMA02G13270	ORGLA07G0172300	OS07G0618500	POPTR_0008s09700	Sb02g039380|Sb03g012700	Vv01s0011g00230	GRMZM2G095806
Dihydrosphingosine delta-4 desaturase (EC 1.14.99.-)	scaffold_603811.1	AT4G04930	BRADI5G16510		GLYMA13G31440|GLYMA15G07900		OS02G0639600	POPTR_0004s04150|POPTR_0011s05040	Sb06g023400	Vv00s0583g00030	GRMZM2G078373
Dihydroxy-acid dehydratase (EC 4.2.1.9)	scaffold_302965.1	AT3G23940	BRADI3G42960	CHLREDRAFT_129639	GLYMA13G27810	ORGLA08G0189800	OS08G0559600	POPTR_0001s14300|POPTR_0003s17520	Sb07g024070	Vv05s0051g00830	AC234528.1_FG005|GRMZM2G014069
Diphosphomevalonate decarboxylase (EC 4.1.1.33)	fgenesh2_kg.4__1941__AT2G38700.1|scaffold_502535.1	AT2G38700|AT3G54250	BRADI2G61850		GLYMA10G42630|GLYMA20G24400	ORGLA02G0006700	OS02G0107200|OS02G0109100	POPTR_0008s02200|POPTR_0010s24440	Sb04g035950	Vv13s0106g00790	GRMZM2G070351|GRMZM2G396451
Divinyl (proto)chlorophyllide a 8-vinyl-reductase (EC 1.3.1.75)	fgenesh2_kg.6__1887__AT5G18660.1	AT5G18660	BRADI1G62410	CHLREDRAFT_195952	GLYMA13G28670|GLYMA15G10440	ORGLA03G0165700	OS03G0351200	POPTR_0008s20940	Sb01g035390	Vv05s0020g01840	GRMZM2G063048
Endo-1,4-beta-xylanase A precursor (EC 3.2.1.8)	fgenesh2_kg.1__1072__AT1G10050.1|fgenesh2_kg.2__522__AT1G58370.1|fgenesh2_kg.6__2863__AT4G08160.1|fgenesh2_kg.7__61__AT4G38650.1	AT1G10050|AT1G58370|AT4G08160|AT4G38650	BRADI1G12710|BRADI1G68310|BRADI5G04640		GLYMA04G00610|GLYMA04G05220|GLYMA06G00680|GLYMA06G05290|GLYMA14G10456|GLYMA17G35060	ORGLA03G0098400|ORGLA03G0270000|ORGLA05G0093800	OS03G0243700|OS03G0672900	POPTR_0002s11370|POPTR_0002s11380|POPTR_0004s17900|POPTR_0009s13520	Sb01g012210|Sb01g041310|Sb06g003350	Vv03s0038g02180|Vv18s0001g08370	AC204711.3_FG002|GRMZM2G002260|GRMZM2G108032
Enolase (EC 4.2.1.11)	Al_scaffold_0004_1374|scaffold_202344.1|scaffold_402272.1	AT1G74030|AT2G29560|AT2G36530	BRADI1G51540|BRADI1G67090|BRADI1G68080|BRADI3G22550|BRADI4G29250	CHLREDRAFT_83064	GLYMA02G47430|GLYMA03G34830|GLYMA04G24920|GLYMA04G34195|GLYMA06G23081|GLYMA09G28100|GLYMA14G01320|GLYMA15G25390|GLYMA16G32960|GLYMA18G22780|GLYMA19G12490|GLYMA19G37520	ORGLA03G0101800|ORGLA03G0113500|ORGLA06G0023200|ORGLA09G0060100|ORGLA10G0028300	OS03G0248600|OS03G0266200|OS06G0136600|OS09G0375000|OS10G0167300	POPTR_0006s11800|POPTR_0009s04540|POPTR_0012s05410|POPTR_0012s14370|POPTR_0015s06620|POPTR_0015s14380	Sb01g040040|Sb02g023480|Sb10g002460	Vv06s0004g05900|Vv08s0007g03960|Vv11s0016g01570|Vv16s0022g01770|Vv17s0000g04540	GRMZM2G009030|GRMZM2G034848|GRMZM2G048371|GRMZM2G064302|GRMZM2G131539|GRMZM2G446253|GRMZM2G481529
